#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.08752     3.08752           0
           2     2.96627      3.0269   0.0428669
           3      3.2299     3.09457    0.062205
           4      3.1933     3.11925   0.0513179
           5     3.11097     3.11759    0.041081
           6     3.05914     3.10785   0.0353706
           7     3.00652     3.09337   0.0331479
           8     2.94104     3.07433   0.0340373
           9     2.78411     3.04209   0.0428921
          10     2.70569     3.00845   0.0500861
          11     2.65146     2.97599   0.0550519
          12     2.60054     2.94471   0.0586853
          13     2.52406     2.91235   0.0624577
          14     2.52108      2.8844   0.0639443
          15     2.44416     2.85505   0.0660743
          16     2.39374     2.82622   0.0679445
          17     2.35269     2.79836   0.0694229
          18     2.27871     2.76949   0.0713168
          19     2.25586     2.74246    0.072506
          20      2.2387     2.71727    0.073125
          21     2.20506     2.69288   0.0735984
          22     2.20661     2.67078   0.0734972
          23     2.20025     2.65032   0.0730934
          24       2.198     2.63147   0.0724369
          25      2.2404     2.61583   0.0712084
          26     2.24498     2.60157   0.0698836
          27     2.26264     2.58902   0.0684134
          28     2.23799     2.57648   0.0671089
          29     2.24717     2.56512   0.0657485
          30     2.25294     2.55472   0.0643751
          31     2.21116     2.54363   0.0632453
          32     2.24952     2.53444   0.0619331
          33     2.22863     2.52518   0.0607457
          34     2.23721     2.51671   0.0595465
          35     2.20956     2.50793   0.0584883
          36     2.19718      2.4993   0.0574971
          37     2.16351     2.49022   0.0566548
          38     2.16807     2.48175   0.0557946
          39     2.15953     2.47348   0.0549723
          40     2.13413       2.465   0.0542487
          41     2.14157     2.45711    0.053496
          42     2.14011     2.44956   0.0527521
          43     2.07408     2.44083    0.052243
          44      2.0953     2.43298   0.0516425
          45     2.06632     2.42483   0.0511336
          46     2.02942     2.41624   0.0507394
          47     2.02339     2.40788   0.0503436
          48     2.04972     2.40042   0.0498446
          49     2.02025     2.39266   0.0494275
          50     2.04712     2.38575   0.0489197
          51     2.06188      2.3794   0.0483709
          52     2.04829     2.37303    0.047858
          53     2.07285     2.36736   0.0472889
          54     2.04734     2.36144   0.0467831
          55     2.02979     2.35541   0.0463195
          56     2.04153      2.3498   0.0458302
          57     2.05638     2.34466   0.0453144
          58     2.05409     2.33965   0.0448091
          59      2.0784     2.33522   0.0442679
          60     2.06687     2.33075   0.0437555
          61     2.05602     2.32624   0.0432693
          62      2.0582     2.32192   0.0427868
          63     2.02552     2.31721   0.0423655
          64     2.02488     2.31265   0.0419491
          65      2.0232     2.30819   0.0415394
          66     2.01778     2.30379   0.0411424
          67     2.04234     2.29989    0.040713
          68     2.02169      2.2958   0.0403193
          69     2.06044     2.29239    0.039879
          70     2.03638     2.28873   0.0394766
          71     2.00272      2.2847   0.0391256
          72     2.02492     2.28109   0.0387482
          73     1.99188     2.27713   0.0384194
          74     1.99915     2.27338   0.0380835
          75     2.01145     2.26988   0.0377355
          76     1.99788      2.2663   0.0374083
          77     2.00085     2.26286    0.037081
          78     2.03032     2.25988   0.0367253
          79     2.01935     2.25683   0.0363864
          80     2.03654     2.25408   0.0360356
          81     2.03384     2.25136   0.0356931
          82     2.06739     2.24912   0.0353283
          83     2.09038      2.2472   0.0349544
          84     2.07864      2.2452   0.0345958
          85      2.0838      2.2433   0.0342409
          86     2.05804     2.24114   0.0339104
          87     2.03283     2.23875   0.0336051
          88     2.02844     2.23636    0.033308
          89     2.02237     2.23395   0.0330205
          90     1.99528      2.2313   0.0327599
          91     1.99644     2.22872   0.0325014
          92     1.99328     2.22616   0.0322487
          93     2.00564     2.22379    0.031989
          94     1.98635     2.22127   0.0317483
          95     1.99575     2.21889   0.0315027
          96     1.99551     2.21656   0.0312604
          97     1.95435     2.21386   0.0310548
          98     1.96906     2.21136   0.0308382
          99      1.9539     2.20876   0.0306362
         100      1.9543     2.20622   0.0304353
