#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -1.499      -1.499           0
           2    -1.37325    -1.43612     0.04446
           3     -1.6418    -1.50468   0.0633418
           4    -1.60095    -1.52875   0.0518769
           5    -1.51874    -1.52675   0.0415401
           6    -1.46814    -1.51698    0.035747
           7    -1.41427    -1.50231   0.0335163
           8     -1.3474    -1.48294   0.0344693
           9    -1.18968    -1.45036   0.0433889
          10    -1.11302    -1.41662   0.0504887
          11    -1.05766    -1.38399    0.055451
          12    -1.00647    -1.35253   0.0590843
          13   -0.929093    -1.31996   0.0628799
          14    -0.92667    -1.29187   0.0643584
          15   -0.848732    -1.26232   0.0665035
          16   -0.798247    -1.23332   0.0683802
          17   -0.757442    -1.20533   0.0698529
          18   -0.682646    -1.17629   0.0717543
          19   -0.660185    -1.14913   0.0729383
          20   -0.642915    -1.12382   0.0735519
          21   -0.609114    -1.09931   0.0740205
          22   -0.610705     -1.0771   0.0739127
          23   -0.604431    -1.05655   0.0735006
          24   -0.602123    -1.03761    0.072836
          25   -0.644476    -1.02189      0.0716
          26   -0.648594    -1.00753   0.0702709
          27   -0.666805   -0.994909   0.0687921
          28    -0.64105   -0.982272   0.0674861
          29   -0.651013   -0.970849   0.0661186
          30   -0.656561   -0.960373   0.0647393
          31   -0.614383   -0.949212   0.0636057
          32    -0.65314   -0.939959   0.0622874
          33   -0.631637   -0.930616   0.0610966
          34   -0.640711    -0.92209   0.0598917
          35   -0.612827   -0.913254   0.0588287
          36   -0.600458   -0.904565   0.0578326
          37    -0.56633   -0.895423   0.0569875
          38   -0.571363   -0.886895   0.0561223
          39   -0.563165   -0.878595   0.0552937
          40    -0.53718   -0.870059   0.0545662
          41   -0.544947    -0.86213   0.0538083
          42   -0.542973   -0.854531   0.0530611
          43   -0.477416   -0.845761   0.0525469
          44   -0.498975   -0.837879   0.0519403
          45   -0.469031   -0.829682   0.0514288
          46   -0.432961   -0.821058   0.0510288
          47   -0.426549   -0.812664   0.0506287
          48   -0.453227   -0.805176   0.0501247
          49   -0.423593   -0.797389    0.049703
          50    -0.45104   -0.790462   0.0491892
          51   -0.464852   -0.784077   0.0486373
          52   -0.452118   -0.777693   0.0481191
          53   -0.475682   -0.771995   0.0475474
          54    -0.45071   -0.766045   0.0470377
          55   -0.432995    -0.75999   0.0465706
          56   -0.445037   -0.754366   0.0460773
          57   -0.459925     -0.7492   0.0455576
          58   -0.457655   -0.744173   0.0450486
          59    -0.48184   -0.739727   0.0445039
          60   -0.470174   -0.735234   0.0439883
          61   -0.459402   -0.730713    0.043499
          62   -0.461813   -0.726376   0.0430131
          63   -0.428752   -0.721651    0.042589
          64   -0.428331   -0.717068   0.0421694
          65   -0.426486   -0.712598   0.0417569
          66   -0.421386   -0.708185   0.0413567
          67   -0.445996   -0.704272   0.0409242
          68   -0.425386   -0.700171   0.0405273
          69   -0.463609   -0.696742   0.0400847
          70   -0.439638    -0.69307     0.03968
          71   -0.405798   -0.689023   0.0393269
          72   -0.428452   -0.685404   0.0389468
          73   -0.395377   -0.681431   0.0386154
          74   -0.402448   -0.677661   0.0382772
          75   -0.415149   -0.674161   0.0379265
          76   -0.401211    -0.67057   0.0375972
          77   -0.404175    -0.66711   0.0372677
          78   -0.433985   -0.664121   0.0369096
          79   -0.422541   -0.661063   0.0365688
          80   -0.440007     -0.6583    0.036216
          81   -0.437561   -0.655575   0.0358712
          82   -0.470954   -0.653324   0.0355044
          83   -0.493722   -0.651401   0.0351286
          84   -0.481892   -0.649383   0.0347684
          85   -0.487286   -0.647476   0.0344116
          86   -0.461171   -0.645309   0.0340796
          87   -0.436069   -0.642904   0.0337726
          88   -0.431554   -0.640503   0.0334741
          89    -0.42558   -0.638088    0.033185
          90    -0.39864   -0.635427   0.0329228
          91   -0.399603   -0.632836   0.0326628
          92   -0.396676   -0.630269   0.0324085
          93   -0.409122   -0.627891   0.0321471
          94   -0.389633   -0.625356   0.0319049
          95   -0.398789   -0.622971   0.0316581
          96   -0.398859   -0.620637   0.0314142
          97   -0.357676   -0.617926   0.0312071
          98   -0.372213   -0.615418   0.0309893
          99   -0.357369   -0.612812   0.0307857
         100   -0.357441   -0.610258   0.0305835
