#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.22063     3.22063           0
           2     3.24658      3.2336  0.00917679
           3     3.25246     3.23989  0.00798573
           4     3.27666     3.24908   0.0099628
           5     3.29025     3.25732   0.0108515
           6      3.2848      3.2619   0.0099626
           7     3.26846     3.26283  0.00858344
           8     3.28772     3.26595  0.00805459
           9     3.25548     3.26478   0.0072431
          10     3.30357     3.26866   0.0074854
          11     3.28888      3.2705  0.00702699
          12     3.29609     3.27263  0.00675738
          13     3.26854     3.27232  0.00624492
          14     3.30493     3.27465  0.00621807
          15     3.26057     3.27371  0.00587391
          16     3.30056     3.27539  0.00574156
          17     3.28207     3.27578  0.00541725
          18      3.2149      3.2724  0.00608124
          19     3.28207     3.27291  0.00578247
          20     3.30206     3.27436  0.00567415
          21     3.27186     3.27424   0.0054052
          22     3.26803     3.27396  0.00516689
          23     3.27355     3.27394  0.00494228
          24      3.3229     3.27598  0.00514015
          25      3.2892     3.27651  0.00496164
          26     3.33496     3.27876  0.00525546
          27      3.3436     3.28116   0.0055826
          28     3.37257     3.28443  0.00626548
          29     3.32641     3.28587  0.00621444
          30     3.32875      3.2873  0.00616947
          31     3.27996     3.28707  0.00597501
          32     3.30953     3.28777  0.00582936
          33     3.32701     3.28896  0.00577275
          34     3.32086      3.2899   0.0056787
          35     3.34869     3.29158  0.00575956
          36     3.31777      3.2923  0.00564536
          37     3.25019     3.29117  0.00560637
          38     3.26131     3.29038  0.00551362
          39     3.25087     3.28937  0.00546453
          40     3.25304     3.28846  0.00540285
          41     3.31942     3.28921  0.00532358
          42     3.32461     3.29006   0.0052631
          43     3.30486      3.2904  0.00515195
          44     3.25878     3.28968  0.00508475
          45     3.33214     3.29063  0.00505852
          46     3.30526     3.29094  0.00495854
          47     3.27295     3.29056   0.0048678
          48      3.3469     3.29173  0.00490584
          49     3.35596     3.29305  0.00497775
          50     3.36894     3.29456  0.00510439
