# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        0.08       0.003       0.003           0
        0.24       0.862       0.862           0
         0.4       1.949       1.949           0
        0.56       2.673       2.673           0
        0.72       1.875       1.875           0
        0.88       0.864       0.864           0
        1.04       3.116       3.116           0
         1.2       5.754       5.754           0
        1.36       6.735       6.735           0
        1.52       6.204       6.204           0
        1.68       6.059       6.059           0
        1.84       7.757       7.757           0
           2       7.866       7.866           0
        2.16       7.364       7.364           0
        2.32       5.527       5.527           0
        2.48       5.736       5.736           0
        2.64       7.478       7.478           0
         2.8       6.033       6.033           0
        2.96       2.957       2.957           0
        3.12       2.588       2.588           0
        3.28       2.386       2.386           0
        3.44       3.637       3.637           0
         3.6        2.83        2.83           0
        3.76       1.147       1.147           0
        3.92       1.236       1.236           0
        4.08       0.695       0.695           0
        4.24       0.514       0.514           0
         4.4       0.181       0.181           0
        4.56       0.421       0.421           0
        4.72       0.474       0.474           0
        4.88       2.202       2.202           0
        5.04       0.638       0.638           0
         5.2       0.079       0.079           0
        5.36       0.446       0.446           0
        5.52       0.048       0.048           0
        5.68       0.542       0.542           0
        5.84       0.429       0.429           0
           6        0.12        0.12           0
        6.16       0.004       0.004           0
        6.32       0.004       0.004           0
        6.48       0.437       0.437           0
        6.64        0.13        0.13           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0      0.0015  0.00106066
        0.24       0.075      0.4685    0.278247
         0.4       1.469       1.709    0.169706
        0.56       2.535       2.604   0.0487904
        0.72       3.412      2.6435    0.543412
        0.88       2.832       1.848    0.695793
        1.04       3.176       3.146   0.0212132
         1.2       3.995      4.8745      0.6219
        1.36       4.637       5.686    0.741755
        1.52       5.588       5.896    0.217789
        1.68       6.922      6.4905    0.305117
        1.84       7.714      7.7355   0.0152028
           2       7.898       7.882   0.0113137
        2.16       6.556        6.96    0.285671
        2.32       5.921       5.724      0.1393
        2.48         6.1       5.918    0.128693
        2.64         5.6       6.539    0.663973
         2.8       7.171       6.602    0.402344
        2.96       4.611       3.784    0.584777
        3.12       3.748       3.168    0.410122
