#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.14708     2.14708           0
           2     2.16439     2.15574  0.00611786
           3     2.16831     2.15993  0.00532382
           4     2.18444     2.16606  0.00664187
           5      2.1935     2.17154  0.00723437
           6     2.18986      2.1746  0.00664173
           7     2.17898     2.17522  0.00572229
           8     2.19182      2.1773  0.00536973
           9     2.17032     2.17652  0.00482873
          10     2.20238     2.17911  0.00499027
          11     2.19259     2.18033  0.00468466
          12      2.1974     2.18175  0.00450492
          13     2.17902     2.18154  0.00416328
          14     2.20328      2.1831  0.00414538
          15     2.17371     2.18247  0.00391594
          16     2.20037     2.18359   0.0038277
          17     2.18805     2.18385   0.0036115
          18     2.14326      2.1816  0.00405416
          19     2.18805     2.18194  0.00385498
          20     2.20138     2.18291  0.00378276
          21     2.18124     2.18283  0.00360346
          22     2.17868     2.18264   0.0034446
          23     2.18237     2.18263  0.00329485
          24     2.21527     2.18399  0.00342676
          25      2.1928     2.18434  0.00330776
          26     2.22331     2.18584  0.00350364
          27     2.22907     2.18744  0.00372173
          28     2.24838     2.18962  0.00417699
          29     2.21761     2.19058  0.00414296
          30     2.21917     2.19154  0.00411298
          31     2.18664     2.19138  0.00398334
          32     2.20635     2.19185  0.00388624
          33     2.21801     2.19264   0.0038485
          34     2.21391     2.19326   0.0037858
          35     2.23246     2.19438   0.0038397
          36     2.21185     2.19487  0.00376357
          37     2.16679     2.19411  0.00373758
          38     2.17421     2.19359  0.00367575
          39     2.16725     2.19291  0.00364302
          40     2.16869     2.19231   0.0036019
          41     2.21295     2.19281  0.00354906
          42      2.2164     2.19337  0.00350873
          43     2.20324      2.1936  0.00343463
          44     2.17252     2.19312  0.00338983
          45     2.22142     2.19375  0.00337234
          46      2.2035     2.19396  0.00330569
          47     2.18197     2.19371   0.0032452
          48     2.23127     2.19449  0.00327056
          49     2.23731     2.19536   0.0033185
          50     2.24596     2.19638  0.00340292
