#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.449914   -0.449914           0
           2   -0.423602   -0.436758  0.00930297
           3   -0.452886   -0.442134  0.00759822
           4   -0.426988   -0.438348  0.00657478
           5   -0.432698   -0.437218  0.00535602
           6   -0.470489   -0.442763  0.00674876
           7   -0.498432   -0.450716  0.00936338
           8   -0.477599   -0.454076  0.00877528
           9   -0.543954   -0.464063   0.0122267
          10    -0.54493   -0.472149   0.0134143
          11   -0.537869   -0.478124   0.0134597
          12   -0.562708   -0.485172   0.0140631
          13   -0.571555   -0.491817   0.0144662
          14   -0.567526   -0.497225   0.0144083
          15   -0.600691   -0.504123   0.0150083
          16   -0.613009   -0.510928   0.0155368
          17   -0.640409   -0.518545   0.0163837
          18   -0.632348   -0.524867   0.0166488
          19   -0.652722   -0.531596   0.0170784
          20    -0.61488    -0.53576   0.0167244
          21   -0.656395   -0.541505   0.0168858
          22   -0.650507    -0.54646   0.0168295
          23   -0.642216   -0.550623   0.0166047
          24   -0.665938   -0.555428   0.0165935
          25   -0.648966   -0.559169   0.0163461
          26   -0.644014   -0.562433   0.0160399
          27   -0.601728   -0.563888   0.0155117
          28   -0.604138   -0.565325   0.0150241
          29   -0.610739   -0.566891   0.0145875
          30   -0.609571   -0.568314   0.0141704
          31    -0.64332   -0.570734   0.0139183
          32   -0.660591   -0.573542   0.0137637
          33   -0.684161   -0.576894   0.0137488
          34   -0.757733   -0.582213   0.0143364
          35   -0.799475    -0.58842   0.0152114
          36   -0.850479   -0.595699   0.0164386
          37   -0.926875    -0.60465   0.0182693
          38   -0.931036   -0.613239   0.0197044
          39    -1.00727   -0.623343   0.0216349
          40    -1.05861   -0.634224    0.023673
          41    -1.11251    -0.64589   0.0258103
          42    -1.19352   -0.658929   0.0282982
          43    -1.35055   -0.675013   0.0318851
          44    -1.41546   -0.691841   0.0353233
          45    -1.46752   -0.709079   0.0385151
          46    -1.52107    -0.72673   0.0415264
          47    -1.60375    -0.74539   0.0446388
          48    -1.63623    -0.76395   0.0474102
          49     -1.3777   -0.776475   0.0480688
          50     -1.4941   -0.790828   0.0492035
