#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      1.5972      1.5972           0
           2     1.59665     1.59693 0.000196064
           3     1.59683     1.59689 0.000133231
           4      1.5964     1.59677 0.000146883
           5     1.59673     1.59676 0.000117788
           6     1.59583     1.59661  0.00017179
           7     1.59687     1.59665 0.000151387
           8     1.59648     1.59662 0.000133921
           9     1.59615     1.59657 0.000128871
          10     1.59664     1.59658 0.000116169
          11     1.59626     1.59655 0.000109173
          12     1.59682     1.59657 0.000102388
          13     1.59651     1.59657 9.46106e-05
          14     1.59599     1.59653 9.65501e-05
          15     1.59649     1.59652 9.01515e-05
          16     1.59655     1.59653 8.45367e-05
          17      1.5968     1.59654 8.11187e-05
          18     1.59628     1.59653 7.78603e-05
          19      1.5968     1.59654 7.50931e-05
          20     1.59628     1.59653  7.2435e-05
          21     1.59655     1.59653 6.89899e-05
          22     1.59666     1.59654  6.6109e-05
          23     1.59578      1.5965 7.10128e-05
          24      1.5967     1.59651 6.85335e-05
          25     1.59602     1.59649 6.85769e-05
          26     1.59639     1.59649 6.60526e-05
          27     1.59627     1.59648 6.40787e-05
          28     1.59611     1.59647 6.31062e-05
          29     1.59587     1.59645 6.42224e-05
          30     1.59549     1.59641  6.9526e-05
          31     1.59538     1.59638 7.48285e-05
          32     1.59527     1.59635 8.01019e-05
          33     1.59455     1.59629 9.44442e-05
          34     1.59496     1.59625 9.94392e-05
          35     1.59427      1.5962 0.000111563
          36     1.59368     1.59613 0.000128448
          37      1.5942     1.59607 0.000135075
          38     1.59302     1.59599 0.000153528
          39     1.59327     1.59592  0.00016468
          40     1.59285     1.59585 0.000177629
          41     1.59319     1.59578 0.000184771
          42     1.59058     1.59566 0.000217921
          43     1.59049     1.59554 0.000243764
          44     1.59105     1.59544 0.000258652
          45     1.59162     1.59535 0.000266448
          46      1.5899     1.59523 0.000285755
          47     1.58955     1.59511 0.000304185
          48     1.59368     1.59508 0.000299309
          49     1.58857     1.59495 0.000321357
          50     1.59342     1.59492 0.000316387
