#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.07856     3.07856           0
           2     3.18657     3.13256   0.0381879
           3     3.25145     3.17219   0.0411726
           4     3.31907     3.20891   0.0443257
           5     3.25728     3.21859   0.0365008
           6     3.28057     3.22892   0.0318455
           7     3.26968     3.23474   0.0278234
           8     3.25928     3.23781   0.0245141
           9     3.22647     3.23655   0.0218226
          10     3.26497     3.23939   0.0198246
          11     3.30916     3.24573     0.01901
          12     3.29025     3.24944   0.0177842
          13     3.30432     3.25366   0.0169098
          14     3.30335     3.25721     0.01607
          15     3.26627     3.25782     0.01501
          16     3.28924     3.25978   0.0141998
          17     3.26122     3.25987   0.0133648
          18     3.27201     3.26054   0.0126393
          19     3.24193     3.25956    0.012012
          20     3.25423     3.25929   0.0114143
          21     3.26729     3.25968   0.0108771
          22     3.27842     3.26053    0.010416
          23     3.31542     3.26291   0.0102329
          24     3.26929     3.26318     0.00981
          25     3.27315     3.26358  0.00942571
          26     3.26708     3.26371  0.00906414
          27      3.2836     3.26445  0.00875829
          28     3.24511     3.26376  0.00847269
          29     3.28168     3.26438  0.00820302
          30       3.316      3.2661   0.0081081
          31     3.26403     3.26603  0.00784682
          32     3.26677     3.26605  0.00760164
          33      3.2917     3.26683  0.00741092
          34     3.32171     3.26845  0.00736661
          35     3.27417     3.26861  0.00715795
          36     3.24506     3.26795  0.00698895
          37     3.27304     3.26809  0.00680141
          38     3.27041     3.26815   0.0066227
          39     3.30404     3.26907  0.00651651
          40      3.2884     3.26956  0.00637149
          41     3.30361     3.27039  0.00626998
          42     3.25548     3.27003  0.00613074
          43     3.28772     3.27044  0.00600195
          44     3.26846      3.2704  0.00586571
          45      3.2848     3.27072  0.00574408
          46     3.29025     3.27114  0.00563488
          47     3.27666     3.27126  0.00551621
          48     3.25246     3.27087  0.00541518
          49     3.24658     3.27037   0.0053273
          50     3.22063     3.26938  0.00531285
