# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        0.08       0.002       0.002           0
        0.24       0.047       0.047           0
         0.4       0.036       0.036           0
        0.56       0.038       0.038           0
        0.72       0.038       0.038           0
        0.88       0.058       0.058           0
        1.04       0.059       0.059           0
         1.2       0.059       0.059           0
        1.36       0.114       0.114           0
        1.52       0.194       0.194           0
        1.68       0.387       0.387           0
        1.84       0.616       0.616           0
           2       0.645       0.645           0
        2.16       1.136       1.136           0
        2.32      46.681      46.681           0
        2.48      12.142      12.142           0
        2.64      37.272      37.272           0
         2.8       6.865       6.865           0
        2.96       1.255       1.255           0
        3.12       0.259       0.259           0
        3.28       0.079       0.079           0
        3.44       0.018       0.018           0
         3.6           0           0           0
        3.76           0           0           0
        3.92           0           0           0
        4.08           0           0           0
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0       0.001 0.000707107
        0.24       0.127       0.087   0.0282843
         0.4       0.248       0.142   0.0749533
        0.56       0.262        0.15    0.079196
        0.72       0.307      0.1725   0.0951059
        0.88        0.58       0.319    0.184555
        1.04       0.639       0.349    0.205061
         1.2       0.856      0.4575    0.281782
        1.36       1.051      0.5825     0.33128
        1.52       0.932       0.563    0.260922
        1.68       2.686      1.5365    0.812819
        1.84       2.684        1.65    0.731148
           2       3.037       1.841      0.8457
        2.16       5.203      3.1695      1.4379
        2.32      23.846     35.2635     8.07339
        2.48      18.027     15.0845     2.08066
        2.64      24.482      30.877     4.52195
         2.8       8.707       7.786    0.651245
        2.96       5.236      3.2455      1.4075
        3.12       3.983       2.121     1.31663
        3.28       1.644      0.8615    0.553311
        3.44       0.973      0.4955    0.337643
         3.6       1.071      0.5355    0.378656
        3.76       0.571      0.2855    0.201879
        3.92       0.115      0.0575   0.0406586
        4.08        0.22        0.11   0.0777817
        4.24       0.409      0.2045    0.144603
         4.4       0.065      0.0325    0.022981
        4.56       0.039      0.0195   0.0137886
        4.72           0           0           0
        4.88           0           0           0
