#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.11114    -0.11114           0
           2   -0.219439    -0.16529   0.0382893
           3   -0.284482    -0.20502   0.0412788
           4   -0.352033   -0.241774   0.0444023
           5   -0.290175   -0.251454   0.0365618
           6   -0.313414    -0.26178   0.0318932
           7   -0.302459   -0.267592   0.0278614
           8   -0.292161   -0.270663   0.0245475
           9   -0.259206    -0.26939   0.0218529
          10   -0.297953   -0.272246   0.0198534
          11   -0.342164   -0.278602   0.0190389
          12   -0.323184   -0.282317   0.0178111
          13   -0.337302   -0.286547   0.0169358
          14   -0.336173   -0.290092   0.0160927
          15   -0.299099   -0.290692   0.0150311
          16   -0.321974   -0.292647   0.0142182
          17   -0.293961   -0.292725   0.0133821
          18   -0.304948   -0.293404   0.0126558
          19   -0.274597   -0.292414   0.0120284
          20   -0.287104   -0.292148   0.0114299
          21   -0.300097   -0.292527   0.0108919
          22   -0.311187   -0.293375   0.0104298
          23   -0.348403   -0.295768    0.010247
          24   -0.302223   -0.296037  0.00982362
          25   -0.306054   -0.296437  0.00943884
          26   -0.299975   -0.296573  0.00907679
          27   -0.316396   -0.297308  0.00877025
          28   -0.277919   -0.296615  0.00848432
          29   -0.314587   -0.297235  0.00821436
          30    -0.34893   -0.298958  0.00811928
          31   -0.296879   -0.298891  0.00785764
          32   -0.299824    -0.29892  0.00761215
          33   -0.324682   -0.299701   0.0074214
          34    -0.35463   -0.301316  0.00737687
          35   -0.307049    -0.30148  0.00716792
          36   -0.277909   -0.300825  0.00699866
          37   -0.305846   -0.300961  0.00681082
          38   -0.303152   -0.301019  0.00663183
          39   -0.336909   -0.301939  0.00652532
          40   -0.321291   -0.302423   0.0063801
          41   -0.336344    -0.30325   0.0062779
          42   -0.288213   -0.302892  0.00613863
          43   -0.320552   -0.303303  0.00600959
          44   -0.301198   -0.303255   0.0058732
          45   -0.317673   -0.303575  0.00575142
          46   -0.323189   -0.304002  0.00564217
          47   -0.309529   -0.304119  0.00552335
          48     -0.2852   -0.303725  0.00542232
          49   -0.279399   -0.303229  0.00533434
          50   -0.253366   -0.302231  0.00532006
