#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.05835     2.05835           0
           2     1.97752     2.01793    0.028578
           3     2.15327     2.06304     0.04147
           4     2.12887      2.0795    0.034212
           5     2.07398      2.0784   0.0273874
           6     2.03942      2.0719   0.0235804
           7     2.00435     2.06225   0.0220986
           8     1.96069     2.04955   0.0226915
           9     1.85607     2.02806   0.0285947
          10      1.8038     2.00563   0.0333907
          11     1.76764       1.984   0.0367012
          12      1.7337     1.96314   0.0391235
          13     1.68271     1.94157   0.0416385
          14     1.68072     1.92293   0.0426295
          15     1.62944     1.90337   0.0440495
          16     1.59583     1.88415   0.0452963
          17     1.56846     1.86558   0.0462819
          18     1.51914     1.84633   0.0475445
          19     1.50391     1.82831   0.0483374
          20     1.49247     1.81152     0.04875
          21     1.47004     1.79526   0.0490656
          22     1.47107     1.78052   0.0489982
          23     1.46683     1.76688    0.048729
          24     1.46533     1.75432   0.0482913
          25      1.4936     1.74389   0.0474723
          26     1.49666     1.73438    0.046589
          27     1.50843     1.72601   0.0456089
          28     1.49199     1.71765   0.0447393
          29     1.49811     1.71008   0.0438323
          30     1.50196     1.70314   0.0429168
          31     1.47411     1.69576   0.0421635
          32     1.49968     1.68963   0.0412887
          33     1.48575     1.68345   0.0404971
          34     1.49147      1.6778   0.0396977
          35     1.47304     1.67195   0.0389922
          36     1.46478      1.6662   0.0383314
          37     1.44234     1.66015   0.0377699
          38     1.44538      1.6545   0.0371964
          39     1.43969     1.64899   0.0366482
          40     1.42275     1.64333   0.0361658
          41     1.42771     1.63807    0.035664
          42     1.42674     1.63304    0.035168
          43     1.38272     1.62722   0.0348287
          44     1.39687     1.62199   0.0344283
          45     1.37755     1.61655   0.0340891
          46     1.35295     1.61082   0.0338263
          47     1.34892     1.60525   0.0335624
          48     1.36648     1.60028   0.0332298
          49     1.34683      1.5951   0.0329517
          50     1.36475      1.5905   0.0326131
