#   N_BLOCK:  ACCEPTANCE:
           1       0.503
           2       0.519
           3    0.507333
           4       0.511
           5      0.5188
           6    0.523167
           7    0.524571
           8    0.522125
           9    0.520111
          10      0.5198
          11    0.519545
          12    0.519333
          13    0.519615
          14       0.518
          15    0.519867
          16    0.520312
          17    0.520647
          18    0.521278
          19    0.519316
          20     0.51805
          21    0.518048
          22    0.517636
          23    0.518435
          24    0.517625
          25     0.51792
          26    0.518385
          27    0.518889
          28    0.518643
          29    0.518552
          30    0.519933
          31    0.520774
          32    0.521437
          33    0.521606
          34    0.521324
          35    0.522286
          36    0.521972
          37    0.521189
          38    0.521421
          39    0.521308
          40    0.520025
          41    0.519805
          42    0.519667
          43    0.520023
          44    0.519682
          45    0.520467
          46    0.520326
          47    0.520277
          48    0.520979
          49    0.521224
          50     0.52146
          51    0.521824
          52    0.521577
          53    0.521528
          54       0.521
          55    0.520436
          56    0.520464
          57    0.520123
          58     0.51981
          59    0.519661
          60     0.52005
          61    0.520213
          62     0.52079
          63    0.521175
          64    0.521687
          65    0.521785
          66    0.521485
          67    0.521836
          68    0.522397
          69    0.522725
          70    0.523114
          71    0.523225
          72    0.523264
          73    0.524233
          74    0.524081
          75    0.524213
          76    0.524684
          77    0.524468
          78    0.524397
          79    0.524684
          80    0.524837
          81    0.524827
          82    0.524634
          83    0.524711
          84    0.524512
          85    0.524365
          86    0.524465
          87    0.524115
          88    0.523841
          89    0.524169
          90    0.524144
          91    0.524462
          92    0.524489
          93    0.524161
          94    0.524043
          95    0.524053
          96    0.524281
          97    0.524206
          98     0.52399
          99    0.524091
         100     0.52411
