#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     5.11566     5.11566           0
           2     4.72076     4.91821    0.139619
           3     4.28625     4.70755    0.195568
           4     4.82078     4.73586    0.148711
           5     5.51617     4.89192    0.183406
           6     4.60573     4.84422     0.15892
           7     5.11973     4.88358    0.141006
           8      5.0199     4.90062    0.124406
           9     4.36848     4.84149    0.123839
          10     5.11353      4.8687    0.114404
          11     5.11499     4.89109    0.106172
          12     4.93374     4.89464    0.097384
          13     5.28226     4.92446   0.0943472
          14     4.36023     4.88416   0.0958302
          15     5.59289     4.93141    0.100416
          16      5.3545     4.95785   0.0975598
          17      5.0688     4.96438    0.092039
          18      4.4674     4.93677   0.0909727
          19     4.68692     4.92362   0.0871299
          20     5.20833     4.93785   0.0839283
          21     4.86422     4.93435   0.0800049
          22     4.74873     4.92591   0.0768119
          23     5.08265     4.93272    0.073774
          24      4.8676     4.93001   0.0707499
          25     4.94043     4.93043   0.0679212
          26     5.20419     4.94096   0.0661199
          27     5.12834      4.9479   0.0640342
          28     4.78922     4.94223   0.0619975
          29       5.054     4.94608   0.0599794
          30     5.06943      4.9502   0.0581208
          31     5.02145     4.95249   0.0562914
          32     5.15932     4.95896   0.0549021
          33     4.75845     4.95288   0.0535735
          34     5.02237     4.95492   0.0520368
          35     5.77982     4.97849   0.0556318
          36     5.15221     4.98332   0.0542954
          37     4.43874      4.9686   0.0547865
          38     5.06023     4.97101   0.0533978
          39     4.49125     4.95871   0.0534268
          40     4.53759     4.94818   0.0531184
          41     5.03559     4.95031   0.0518655
          42     4.80484     4.94685   0.0507462
          43       5.173     4.95211   0.0498378
          44      4.9751     4.95263   0.0487079
          45     4.96692     4.95295   0.0476265
          46     5.47545     4.96431   0.0479265
          47     5.36245     4.97278   0.0476496
          48     5.09007     4.97522   0.0467195
          49     5.18829     4.97957   0.0459679
          50     4.84529     4.97689    0.045127
          51     5.17288     4.98073   0.0444055
          52     5.09661     4.98296   0.0436074
          53      5.5965     4.99453   0.0442945
          54     4.65476     4.98824   0.0439188
          55     4.95627     4.98766   0.0431242
          56     5.08596     4.98942   0.0423898
          57     5.35723     4.99587   0.0421344
          58     4.89241     4.99408   0.0414457
          59     4.67693     4.98871   0.0410904
          60     5.42506     4.99598    0.041044
          61     4.59288     4.98937   0.0408997
          62     5.29666     4.99433   0.0405392
          63      5.0364       4.995   0.0399012
          64     5.21097     4.99837   0.0394202
          65     4.82175     4.99565   0.0389073
          66     4.91141     4.99438   0.0383387
          67     5.05418     4.99527   0.0377769
          68     5.83039     5.00755   0.0391668
          69     5.23004     5.01078   0.0387317
          70     4.79814     5.00774   0.0382973
          71     4.96861     5.00719   0.0377619
          72     4.95833     5.00651   0.0372435
          73     6.05308     5.02085   0.0393961
          74     5.07744     5.02161   0.0388712
          75     4.90497     5.02006    0.038384
          76     5.48181     5.02613   0.0383568
          77     4.65238     5.02128   0.0381645
          78     5.40309     5.02617   0.0379879
          79     5.73745     5.03518   0.0385592
          80     4.87831     5.03321   0.0381271
          81     4.91526     5.03176   0.0376842
          82     5.00369     5.03142   0.0372261
          83     5.59232     5.03817    0.037386
          84     5.64956     5.04545   0.0376428
          85     4.70878     5.04149   0.0374077
          86     5.37836     5.04541   0.0371772
          87     4.53303     5.03952   0.0372135
          88     4.63445     5.03492   0.0370742
          89     5.14577     5.03616   0.0366786
          90     4.77342     5.03324    0.036387
          91     5.63303     5.03983   0.0365792
          92     6.21971     5.05266    0.038364
          93     4.99826     5.05207   0.0379559
          94     5.16105     5.05323   0.0375699
          95     4.41305     5.04649   0.0377739
          96     4.88857     5.04485   0.0374162
          97     5.00359     5.04442   0.0370329
          98     4.70936       5.041   0.0368125
          99     5.03978     5.04099   0.0364407
         100     5.18994     5.04248   0.0361067
