#   N_BLOCK:  ACCEPTANCE:
           1       0.646
           2       0.663
           3    0.665333
           4     0.67125
           5      0.6726
           6    0.674167
           7    0.673571
           8    0.677375
           9    0.679889
          10       0.679
          11    0.675455
          12    0.675083
          13    0.677615
          14    0.677786
          15    0.676333
          16    0.676125
          17    0.677353
          18    0.675222
          19    0.673684
          20      0.6749
          21     0.67381
          22    0.674636
          23    0.675739
          24    0.675625
          25     0.67612
          26    0.676654
          27    0.676778
          28    0.677714
          29    0.678172
          30    0.678533
          31    0.678645
          32    0.678781
          33    0.678333
          34    0.677765
          35    0.677343
          36    0.677694
          37    0.677595
          38       0.678
          39    0.677897
          40    0.677925
          41    0.677707
          42    0.677357
          43    0.677605
          44    0.678295
          45    0.678178
          46    0.678261
          47    0.677617
          48    0.678208
          49    0.678306
          50     0.67876
          51    0.678137
          52    0.678538
          53    0.678415
          54    0.678037
          55    0.677891
          56    0.677929
          57    0.678228
          58    0.677931
          59    0.678153
          60    0.677983
          61    0.677262
          62    0.677097
          63    0.677238
          64    0.677203
          65    0.676954
          66    0.677045
          67     0.67703
          68    0.676897
          69    0.676652
          70    0.676443
          71    0.676479
          72    0.676153
          73    0.676219
          74    0.676122
          75    0.675907
          76    0.675987
          77    0.675935
          78    0.675859
          79    0.675797
          80    0.676025
          81    0.675765
          82    0.675622
          83    0.675867
          84    0.675726
          85    0.675694
          86    0.675593
          87    0.675713
          88    0.675784
          89    0.675764
          90    0.675678
          91    0.675637
          92    0.675913
          93    0.676344
          94    0.676617
          95    0.676379
          96    0.675844
          97    0.675876
          98    0.675959
          99     0.67603
         100      0.6761
