#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     4.55549     4.55549           0
           2     4.77455     4.66502   0.0774494
           3     4.62816     4.65273   0.0525984
           4     4.74392     4.67553   0.0441134
           5     5.05744     4.75191   0.0768947
           6      5.0649     4.80408   0.0798362
           7     4.94797     4.82463   0.0710282
           8     5.55057     4.91538    0.105202
           9     5.68928     5.00137    0.123763
          10     4.69448     4.97068    0.115129
          11     4.75085     4.95069    0.106383
          12     4.81007     4.93897   0.0981607
          13     5.00072     4.94372   0.0907248
          14     5.50887     4.98409   0.0927915
          15      4.8169     4.97295   0.0872723
          16     5.10975      4.9815   0.0822356
          17     5.11476     4.98934    0.077771
          18     4.54537     4.96467   0.0772626
          19     4.64193     4.94768   0.0750401
          20     5.61859     4.98123   0.0784284
          21     4.88144     4.97648   0.0748375
          22     5.34783     4.99336   0.0733147
          23     4.94405     4.99121   0.0701584
          24     5.37949     5.00739   0.0690753
          25     4.93624     5.00455   0.0663709
          26     5.36635     5.01846   0.0652607
          27     5.20259     5.02528   0.0631989
          28     4.74913     5.01542   0.0617066
          29     4.99785     5.01481   0.0595817
          30     5.61819     5.03493   0.0608958
          31       4.459     5.01635   0.0617003
          32     4.69959     5.00645    0.060561
          33     4.77887     4.99955   0.0591172
          34     4.82699     4.99448   0.0575959
          35     4.93371     4.99274   0.0559765
          36     5.51144     5.00715   0.0562454
          37      4.3006     4.98805   0.0578761
          38     5.32129     4.99682   0.0570135
          39     5.47203     5.00901   0.0568388
          40     4.90058      5.0063   0.0554824
          41     5.40087     5.01592   0.0549575
          42     5.09794     5.01787   0.0536837
          43     4.67044     5.00979   0.0530398
          44     5.05177     5.01075   0.0518429
          45     4.93198       5.009   0.0507204
          46     4.97052     5.00816   0.0496247
          47     4.35351     4.99423   0.0504857
          48     5.89424     5.01298   0.0528011
          49     5.30296      5.0189   0.0520541
          50     4.60498     5.01062   0.0516671
          51     4.55671     5.00172   0.0514149
          52     5.41844     5.00974   0.0510469
          53     5.58853     5.02066   0.0512386
          54     4.71499       5.015   0.0506014
          55     4.90977     5.01308   0.0497176
          56     4.71109     5.00769   0.0491214
          57     5.75967     5.02088   0.0499998
          58     4.50821     5.01204   0.0499129
          59      5.0975     5.01349   0.0490879
          60     4.52954     5.00543    0.048928
          61     5.57273     5.01473   0.0490018
          62     5.93394     5.02955   0.0504044
          63      5.8057     5.04187   0.0510878
          64     4.14596     5.02787   0.0521722
          65     5.14953     5.02974   0.0514031
          66     4.77923     5.02595   0.0507642
          67     4.77097     5.02214    0.050149
          68      5.2823     5.02597   0.0495572
          69     4.19364     5.01391   0.0502857
          70     4.57793     5.00768   0.0499515
          71     5.21446     5.01059   0.0493328
          72     4.61375     5.00508   0.0489545
          73     4.85236     5.00299   0.0483286
          74     5.01098     5.00309   0.0476756
          75     4.60956     4.99785   0.0473278
          76     5.23638     5.00099   0.0468091
          77     4.90919     4.99979   0.0462163
          78     5.38449     5.00473   0.0458862
          79     4.64694      5.0002   0.0455283
          80     5.97404     5.01237   0.0465582
          81     4.74232     5.00904   0.0461026
          82     5.20464     5.01142    0.045602
          83     4.72499     5.00797    0.045183
          84     4.53862     5.00238   0.0449893
          85      4.4568     4.99596   0.0449155
          86     5.77047     5.00497   0.0452871
          87     4.98112      5.0047   0.0447674
          88     4.83573     5.00278   0.0442998
          89     4.86869     5.00127   0.0438277
          90     5.20223      5.0035   0.0433976
          91     5.43459     5.00824   0.0431784
          92     5.53939     5.01401   0.0430934
          93     5.76033     5.02204   0.0433707
          94     5.78857     5.03019   0.0436692
          95     4.35711     5.02311   0.0437806
          96     4.05436     5.01302   0.0444723
          97     5.42453     5.01726   0.0442157
          98     4.85222     5.01557   0.0437966
          99      5.0163     5.01558   0.0433542
         100     4.94353     5.01486   0.0429266
