#   N_BLOCK:  ACCEPTANCE:
           1        0.52
           2    0.520909
           3    0.517391
           4       0.515
           5      0.5148
           6    0.514231
           7    0.510741
           8    0.508571
           9    0.508621
          10    0.507333
          11    0.503871
          12    0.501563
          13    0.501818
          14    0.505882
          15    0.506286
          16    0.508056
          17    0.509459
          18    0.512895
          19    0.513077
          20       0.511
          21     0.51122
          22    0.513095
          23    0.513256
          24    0.516591
          25    0.517778
          26    0.517174
          27    0.518511
          28    0.518333
          29     0.51898
          30      0.5188
          31     0.51902
          32    0.519615
          33    0.519434
          34    0.518148
          35    0.519273
          36    0.519286
          37    0.519649
          38    0.520172
          39    0.522712
          40    0.523167
          41    0.523115
          42    0.523065
          43    0.523651
          44    0.523906
          45       0.524
          46    0.522727
          47    0.524179
          48    0.523235
          49    0.523913
          50    0.524571
          51     0.52493
          52    0.524861
          53    0.524384
          54    0.522432
          55       0.522
          56    0.522895
          57    0.523377
          58    0.523846
          59    0.522658
          60    0.522125
          61    0.522346
          62    0.522439
          63     0.52253
          64    0.521548
          65    0.521294
          66    0.520465
          67    0.520575
          68    0.520455
          69    0.520225
          70    0.520111
          71     0.51989
          72    0.519783
          73    0.519462
          74    0.519362
          75    0.519684
          76    0.519583
          77    0.519897
          78    0.520306
          79    0.519495
          80      0.5198
          81    0.520099
          82     0.52049
          83    0.520485
          84    0.520192
          85    0.519143
          86    0.519245
          87    0.519533
          88        0.52
          89    0.519817
          90    0.519545
          91    0.518919
          92     0.51875
          93    0.518761
          94    0.519123
          95    0.519217
          96    0.519052
          97    0.518718
          98    0.518898
          99    0.519496
         100    0.519333
