#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     5.59321     5.59321           0
           2     3.97788     4.78555    0.571105
           3     4.90599      4.8257    0.382145
           4     4.29593     4.69325    0.308707
           5     4.00027     4.55466    0.276332
           6     3.77961     4.42548    0.258713
           7     3.68844     4.32019    0.242234
           8     4.04195     4.28541    0.214437
           9     4.39612     4.29771    0.190963
          10     4.18306     4.28625    0.172211
          11     4.05045     4.26481    0.157884
          12     3.27391     4.18224    0.164913
          13      4.0849     4.17475    0.152397
          14     5.46407     4.26684    0.167036
          15     4.92858     4.31096    0.161621
          16     7.48592     4.50939    0.244691
          17     5.04455     4.54087    0.232314
          18     5.39155     4.58813    0.224163
          19     4.95961     4.60768    0.213216
          20     3.52426     4.55351    0.209324
          21     4.98433     4.57403    0.200359
          22     7.54809     4.70921    0.232425
          23     5.49856     4.74353    0.224839
          24     5.52987      4.7763    0.217845
          25     6.63659     4.85071    0.221475
          26     4.56699      4.8398    0.213226
          27     5.96808     4.88158    0.209383
          28     4.90819     4.88253    0.201908
          29     4.66011     4.87486    0.195091
          30     4.86088      4.8744    0.188588
          31     3.84019     4.84104    0.185432
          32     4.33197     4.82513    0.180319
          33     3.62159     4.78866    0.178505
          34     3.82995     4.76046    0.175467
          35     4.63471     4.75687    0.170491
          36     6.20332     4.79705    0.170424
          37     4.56903     4.79088    0.165929
          38     4.98335     4.79595     0.16164
          39     4.99838     4.80114    0.157578
          40     5.04485     4.80723    0.153757
          41     4.95387     4.81081    0.150048
          42     6.61256     4.85371    0.152485
          43     5.26515     4.86328    0.149238
          44     4.49089     4.85481    0.146086
          45     4.56378     4.84835    0.142983
          46     3.98539     4.82959      0.1411
          47     6.10702     4.85676    0.140691
          48     6.04992     4.88162    0.139939
          49     4.69363     4.87779    0.137136
          50     4.47507     4.86973    0.134629
          51     4.83751      4.8691    0.131991
          52     5.18157     4.87511    0.129589
          53     5.41759     4.88534    0.127548
          54     5.33763     4.89372    0.125461
          55     5.34827     4.90198    0.123451
          56     6.00558     4.92169     0.12281
          57     5.19292     4.92645    0.120747
          58     4.69402     4.92244    0.118732
          59     3.71845     4.90204     0.11846
          60     4.46549     4.89476    0.116709
          61     3.89241     4.87833    0.115947
          62     4.59084     4.87369    0.114169
          63     4.21534     4.86324    0.112835
          64     3.48534     4.84171    0.113107
          65     4.08653     4.83009    0.111962
          66     4.49951     4.82508    0.110377
          67      3.7071      4.8084    0.109984
          68     5.62823     4.82045    0.109025
          69     4.15837     4.81086    0.107867
          70     5.42113     4.81958    0.106678
          71     4.41482     4.81388    0.105327
          72     5.70952     4.82632    0.104596
          73     4.29535     4.81904    0.103416
          74     7.63011     4.85703    0.108772
          75     5.87418     4.87059    0.108164
          76     5.09231     4.87351     0.10678
          77     4.89742     4.87382    0.105394
          78      5.4896     4.88171    0.104338
          79     3.83962     4.86852    0.103848
          80     3.89233     4.85632    0.103264
          81     5.70096     4.86675    0.102514
          82     6.38178     4.88522    0.102915
          83     5.30422     4.89027    0.101799
          84     4.45281     4.88506     0.10072
          85      3.0859      4.8639    0.101735
          86     5.18568     4.86764    0.100621
          87     5.09882      4.8703   0.0994997
          88     7.10113     4.89565    0.101547
          89     4.67047     4.89312    0.100438
          90     4.16818     4.88506    0.099644
          91     5.03111     4.88667    0.098562
          92     6.23676     4.90134   0.0985771
          93     5.72199     4.91017   0.0979112
          94     4.71416     4.90808   0.0968918
          95     4.62849     4.90514   0.0959166
          96     4.10964     4.89685   0.0952748
          97     4.47079     4.89246   0.0943937
          98     4.90343     4.89257   0.0934306
          99     4.73923     4.89102   0.0924997
         100     4.78176     4.88993   0.0915811
