#   N_BLOCK:  ACCEPTANCE:
           1    0.489524
           2    0.487273
           3    0.490435
           4        0.49
           5      0.4928
           6    0.491154
           7    0.492222
           8    0.491786
           9    0.491034
          10    0.486667
          11    0.488065
          12    0.490625
          13    0.494545
          14       0.495
          15    0.494286
          16    0.492222
          17    0.494054
          18    0.493421
          19    0.496923
          20       0.497
          21    0.495122
          22    0.492857
          23    0.493256
          24    0.493636
          25    0.493778
          26    0.491739
          27    0.492766
          28    0.492708
          29    0.493265
          30      0.4958
          31    0.495294
          32    0.494615
          33    0.495283
          34    0.493148
          35    0.493091
          36    0.492857
          37    0.491579
          38    0.490172
          39    0.489322
          40      0.4905
          41     0.49082
          42    0.490161
          43    0.490476
          44    0.490312
          45    0.490462
          46    0.488939
          47    0.488507
          48    0.488971
          49     0.48942
          50    0.488857
          51    0.489155
          52    0.488889
          53        0.49
          54    0.491216
          55    0.491467
          56    0.491447
          57    0.491039
          58    0.490385
          59    0.490886
          60     0.49075
          61    0.491605
          62    0.492561
          63    0.492289
          64    0.492619
          65    0.493412
          66     0.49314
          67    0.493333
          68    0.493068
          69    0.493596
          70    0.493778
          71    0.493626
          72     0.49413
          73    0.493011
          74    0.493723
          75    0.493579
          76    0.493437
          77    0.492577
          78    0.491531
          79    0.492222
          80      0.4922
          81    0.493366
          82    0.494118
          83     0.49466
          84    0.495769
          85    0.495429
          86    0.495566
          87     0.49486
          88     0.49537
          89    0.494771
          90    0.494818
          91    0.494324
          92    0.494464
          93    0.493805
          94    0.494474
          95    0.494957
          96    0.494483
          97    0.493932
          98    0.493983
          99    0.493445
         100     0.49375
