#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     5.69238     5.69238           0
           2      5.9452     5.81879   0.0893847
           3     5.15458     5.59739    0.190343
           4     3.93012     5.18057    0.388177
           5     5.15472      5.1754    0.310576
           6     4.46667     5.05728    0.280378
           7     4.79923     5.02041    0.242735
           8     4.76285     4.98822    0.214518
           9     5.10586     5.00129     0.19108
          10     3.57533     4.85869    0.218803
          11     4.84612     4.85755    0.198915
          12     6.98043     5.03446    0.248868
          13     5.23799     5.05011    0.230216
          14     5.35017     5.07155    0.214768
          15     3.73148     4.98221    0.218241
          16      5.1971     4.99564    0.205014
          17     5.13544     5.00386    0.193119
          18     4.58925     4.98083    0.183759
          19     4.86595     4.97478    0.174187
          20     4.69418     4.96075    0.166042
          21     4.17979     4.92356    0.162246
          22      4.0745     4.88497    0.159395
          23     4.38515     4.86324    0.153939
          24       4.275     4.83873    0.149464
          25     4.51661     4.82584    0.144039
          26     3.86176     4.78876    0.143193
          27     4.74073     4.78698      0.1379
          28     4.23832     4.76739     0.13436
          29      5.0837      4.7783    0.130169
          30     5.46654     4.80124    0.127836
          31      3.9008     4.77219    0.126969
          32     5.20228     4.78563    0.123711
          33     5.55615     4.80898    0.122145
          34      3.2784     4.76396    0.126577
          35     4.16771     4.74693    0.124102
          36     4.40909     4.73754    0.121009
          37     3.82582      4.7129    0.120221
          38     3.82724      4.6896    0.119295
          39     4.34233     4.68069    0.116568
          40     4.74841     4.68238    0.113666
          41     8.17158     4.76749    0.139152
          42     4.37973     4.75825    0.136145
          43     6.21689     4.79218    0.137139
          44     4.60973     4.78803    0.134085
          45     4.41211     4.77968    0.131365
          46     4.05026     4.76382    0.129463
          47     4.78427     4.76425    0.126709
          48      5.0434     4.77007    0.124203
          49       5.187     4.77858    0.121959
          50     5.53265     4.79366    0.120449
          51     6.14254     4.82011    0.120956
          52     4.68796     4.81757    0.118657
          53     5.29567     4.82659     0.11676
          54     5.54189     4.83983    0.115347
          55     6.86122     4.87659    0.118961
          56     3.99392     4.86082    0.117876
          57     5.19901     4.86676    0.115958
          58     3.70766     4.84677    0.115668
          59     3.91244     4.83094    0.114786
          60     3.45257     4.80796    0.115149
          61     5.95167     4.82671    0.114777
          62     4.37756     4.81947    0.113155
          63     5.12429     4.82431    0.111462
          64     6.28663     4.84716    0.112038
          65     4.41539     4.84051    0.110511
          66     3.78341      4.8245    0.109991
          67     4.97343     4.82672    0.108372
          68     4.25194     4.81827    0.107107
          69     5.83486       4.833    0.106563
          70     4.97485     4.83503     0.10506
          71     3.78749     4.82027    0.104611
          72     4.75436     4.81936    0.103163
          73      4.6807     4.81746    0.101767
          74     6.02817     4.83382    0.101698
          75     6.17355     4.85168    0.101899
          76     4.11936     4.84205    0.101013
          77     3.58922     4.82578    0.101003
          78     4.44562      4.8209   0.0998254
          79     6.97886     4.84822    0.102231
          80     8.04699      4.8882    0.108491
          81     4.81157     4.88726    0.107156
          82     6.75966     4.91009    0.108254
          83     6.48017     4.92901     0.10859
          84     5.14737     4.93161    0.107329
          85     4.39421     4.92528    0.106252
          86     5.96657     4.93739    0.105704
          87     4.24453     4.92943    0.104789
          88      8.2552     4.96722    0.110203
          89      5.4482     4.97263    0.109097
          90     5.35231     4.97684    0.107966
          91     4.97497     4.97682     0.10678
          92      5.5987     4.98358    0.105833
          93     4.33704     4.97663    0.104923
          94     4.48415     4.97139    0.103938
          95     6.10379     4.98331    0.103525
          96     3.74824     4.97045    0.103243
          97     4.23397     4.96285    0.102457
          98     6.13442     4.97481    0.102107
          99     3.65924     4.96152    0.101936
         100      4.9868     4.96177    0.100917
