#   N_BLOCK:  ACCEPTANCE:
           1    0.509048
           2    0.506364
           3    0.498696
           4    0.501667
           5      0.5012
           6    0.502692
           7     0.49963
           8    0.492857
           9    0.488621
          10       0.488
          11    0.487097
          12     0.48375
          13    0.481212
          14    0.482353
          15    0.484857
          16    0.488611
          17    0.487568
          18    0.488158
          19    0.488205
          20        0.49
          21    0.491951
          22    0.494286
          23    0.492558
          24    0.492955
          25    0.492667
          26    0.493478
          27    0.493191
          28    0.492292
          29    0.492653
          30      0.4932
          31    0.493725
          32    0.494615
          33    0.494717
          34    0.493148
          35    0.493818
          36    0.494464
          37    0.494561
          38    0.494655
          39    0.494576
          40    0.493167
          41     0.49459
          42    0.495968
          43    0.495238
          44    0.495781
          45    0.495846
          46    0.497121
          47    0.498358
          48    0.497794
          49    0.498551
          50    0.499143
          51    0.498873
          52    0.499028
          53    0.500137
          54    0.499595
          55    0.499333
          56    0.499211
          57     0.49974
          58    0.498974
          59     0.49962
          60       0.499
          61         0.5
          62    0.499268
          63    0.500723
          64    0.499286
          65    0.499529
          66    0.500116
          67    0.500345
          68    0.500568
          69    0.501124
          70       0.501
          71     0.49956
          72    0.498804
          73    0.498817
          74    0.498511
          75    0.498105
          76    0.498333
          77    0.497629
          78    0.497551
          79    0.497677
          80      0.4984
          81    0.498812
          82    0.498922
          83    0.498252
          84    0.498942
          85    0.498286
          86    0.498868
          87    0.498879
          88    0.500926
          89    0.500367
          90    0.500545
          91    0.500811
          92    0.500893
          93    0.500531
          94    0.500965
          95    0.500696
          96    0.501466
          97    0.501795
          98    0.501271
          99    0.500672
         100    0.500417
