#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     1.24267     1.24267           0
           2     1.33036     1.28652   0.0310049
           3      1.1139     1.22898   0.0513257
           4     2.30574     1.49817    0.236283
           5     1.44095     1.48673    0.189303
           6     1.17699      1.4351    0.164641
           7     1.07217     1.38326    0.149061
           8    0.889306     1.32151    0.142644
           9     1.08761     1.29552    0.129141
          10     1.67369     1.33334    0.121637
          11     1.44435     1.34343    0.110997
          12    0.961987     1.31164    0.106202
          13    0.727576     1.26672    0.107115
          14     1.09977     1.25479    0.100125
          15     2.89828     1.36436      0.1412
          16     1.52525     1.37441    0.132732
          17     1.50525     1.38211    0.125147
          18     1.47556      1.3873    0.118302
          19     1.10114     1.37224    0.113031
          20     1.28997     1.36813    0.107454
          21     1.35426     1.36747    0.102339
          22       2.226     1.40649    0.104864
          23    0.969843     1.38751    0.102009
          24     1.18324     1.37899   0.0981127
          25     1.48057     1.38306   0.0942723
          26     1.43872      1.3852   0.0906708
          27     1.79084     1.40022   0.0885485
          28      1.5774     1.40655   0.0856119
          29     1.44547     1.40789   0.0826703
          30     1.14139     1.39901   0.0803905
          31     1.41767     1.39961   0.0777995
          32     1.50142     1.40279   0.0754333
          33     1.30348     1.39978   0.0732074
          34    0.953102     1.38665   0.0722235
          35     1.58748     1.39238   0.0703875
          36     1.60165      1.3982   0.0686719
          37     1.01299     1.38779   0.0676005
          38     1.29205     1.38527   0.0658685
          39     1.22232     1.38109   0.0643119
          40     1.11728     1.37449   0.0630414
          41     2.51812     1.40239   0.0673927
          42     1.58586     1.40675   0.0659296
          43     1.12877     1.40029   0.0647125
          44     1.31351     1.39832   0.0632718
          45     1.58123     1.40238   0.0619962
          46     1.41327     1.40262   0.0606489
          47     2.05831     1.41657   0.0609419
          48     1.70748     1.42263   0.0599729
          49     1.25943      1.4193   0.0588414
          50     1.47218     1.42036    0.057674
          51     1.20228     1.41608   0.0567015
          52     1.41636     1.41609   0.0556111
          53     1.41729     1.41611   0.0545618
          54     1.43801     1.41651   0.0535529
          55     1.84409     1.42429   0.0531405
          56      1.8745     1.43233   0.0527962
          57     1.67208     1.43653   0.0520372
          58     1.30065     1.43419   0.0511927
          59     1.23435      1.4308    0.050437
          60     1.44014     1.43096   0.0495966
          61     1.26976     1.42832   0.0488539
          62     1.38073     1.42755    0.048072
          63     1.89843     1.43502   0.0478865
          64      1.1633     1.43078   0.0473261
          65     1.70515       1.435   0.0467858
          66     1.57251     1.43708   0.0461233
          67     1.23528     1.43407   0.0455332
          68     1.77536     1.43909   0.0451393
          69     2.33687      1.4521   0.0463225
          70     1.31449     1.45014   0.0457024
          71     1.36378     1.44892   0.0450749
          72     1.45611     1.44902    0.044449
          73     1.54771     1.45037   0.0438606
          74     1.29243     1.44824   0.0433198
          75     1.41433     1.44778   0.0427446
          76     1.44035     1.44769   0.0421823
          77     1.15007     1.44382   0.0418111
          78     1.79414     1.44831   0.0415156
          79     1.33573     1.44689   0.0410146
          80     1.73938     1.45054   0.0406645
          81     1.47031     1.45079   0.0401632
          82     1.33777     1.44941   0.0396971
          83     1.35652     1.44829   0.0392345
          84     1.83345     1.45288   0.0390345
          85    0.962862     1.44711   0.0389986
          86     1.84772     1.45177   0.0388224
          87     1.25007     1.44945   0.0384453
          88     1.45873     1.44956   0.0380086
          89     1.00913     1.44461   0.0379023
          90     1.38211     1.44391   0.0374875
          91     2.46937     1.45518   0.0387322
          92     1.43319     1.45494   0.0383119
          93     1.62069     1.45673   0.0379414
          94     1.70987     1.45942   0.0376332
          95     1.24222     1.45713   0.0373065
          96     2.21086     1.46498    0.037735
          97     2.11729     1.47171   0.0379405
          98     1.27824     1.46973   0.0376047
          99     1.35766      1.4686   0.0372418
         100     1.20671     1.46598   0.0369614
