#   N_BLOCK:  ACCEPTANCE:
           1     0.55619
           2    0.556818
           3     0.55913
           4     0.56375
           5      0.5672
           6    0.566154
           7    0.566667
           8    0.570714
           9    0.572759
          10    0.571333
          11    0.570323
          12    0.569375
          13    0.566061
          14    0.570588
          15    0.568857
          16    0.566667
          17    0.565946
          18    0.564737
          19    0.568718
          20       0.568
          21    0.568049
          22    0.567619
          23    0.568837
          24    0.568409
          25    0.567333
          26    0.569565
          27    0.568511
          28      0.5675
          29    0.565306
          30       0.565
          31    0.564902
          32    0.565962
          33    0.565472
          34    0.565185
          35    0.565091
          36    0.565893
          37    0.565614
          38    0.566379
          39    0.565763
          40    0.565333
          41    0.566393
          42    0.566129
          43    0.566349
          44    0.566406
          45    0.565385
          46    0.565455
          47    0.565821
          48    0.567059
          49    0.567536
          50    0.567429
          51    0.567324
          52    0.567083
          53    0.568493
          54    0.567703
          55        0.57
          56    0.569474
          57    0.569221
          58    0.568462
          59    0.568987
          60     0.56825
          61    0.569136
          62    0.568415
          63    0.569398
          64    0.568929
          65    0.569882
          66    0.569884
          67     0.56908
          68    0.568182
          69    0.568315
          70    0.568444
          71    0.568571
          72    0.568696
          73     0.56828
          74    0.567128
          75    0.565789
          76    0.567292
          77    0.567423
          78    0.567143
          79    0.565859
          80      0.5656
          81    0.566238
          82     0.56598
          83    0.565922
          84    0.566827
          85    0.566571
          86     0.56566
          87    0.564766
          88    0.563981
          89    0.564037
          90    0.564545
          91    0.565495
          92    0.565268
          93    0.565044
          94    0.564737
          95    0.564348
          96    0.565172
          97    0.564957
          98    0.565593
          99    0.565882
         100    0.565917
