#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1    0.789312    0.789312           0
           2     2.50429      1.6468    0.606335
           3     1.40776     1.56712    0.409425
           4     1.42545      1.5317    0.308597
           5     1.82509     1.59038    0.252394
           6      1.4117      1.5606    0.212078
           7     1.11354     1.49673    0.191156
           8     2.33316     1.60129    0.193756
           9     1.34533     1.57285    0.174302
          10     1.41796     1.55736    0.157559
          11     1.19852     1.52474    0.146573
          12     1.30452     1.50639    0.135503
          13       1.003     1.46766    0.130495
          14     1.32503     1.45748    0.121571
          15     1.44255     1.45648     0.11347
          16    0.797613      1.4153    0.113605
          17     1.11567     1.39768    0.108281
          18     1.32293     1.39352    0.102345
          19     1.70412     1.40987   0.0982553
          20     1.27591     1.40317   0.0935705
          21     1.31726     1.39908   0.0892042
          22     1.51779     1.40448   0.0853125
          23     1.58437      1.4123    0.081961
          24     1.99063      1.4364   0.0820118
          25    0.981184     1.41819   0.0807274
          26     1.55828     1.42358   0.0778021
          27     1.25148      1.4172   0.0751812
          28     1.69661     1.42718   0.0731553
          29     1.36693      1.4251   0.0706622
          30      1.6344     1.43208   0.0686504
          31     1.91198     1.44756   0.0681589
          32     1.39459      1.4459   0.0660491
          33     1.33787     1.44263   0.0641287
          34     1.13493     1.43358   0.0628779
          35     1.33899     1.43088   0.0611394
          36     1.31307     1.42761   0.0595286
          37      1.8925     1.44017   0.0592309
          38     2.90471     1.47871   0.0690823
          39    0.939107     1.46488   0.0686825
          40     1.18256     1.45782   0.0673271
          41      1.3457     1.45508   0.0657405
          42      1.7942     1.46316   0.0646692
          43     1.07088     1.45403   0.0638055
          44     1.90338     1.46425   0.0631674
          45     1.22257     1.45888   0.0619915
          46     1.20185     1.45329   0.0608952
          47     1.78894     1.46043   0.0600169
          48     2.10471     1.47385   0.0602487
          49     1.95188     1.48361   0.0598038
          50     1.64899     1.48692   0.0586991
          51     1.12429     1.47981   0.0579772
          52     1.82469     1.48644   0.0572403
          53     1.57207     1.48805   0.0561831
          54     1.61236     1.49036   0.0551898
          55     2.23871     1.50396   0.0558385
          56     1.15925     1.49781   0.0551796
          57     1.66138     1.50068   0.0542861
          58     1.11521     1.49403   0.0537554
          59     1.41144     1.49263   0.0528625
          60    0.960956     1.48377    0.052719
          61      1.7254     1.48773   0.0520033
          62     1.37598     1.48593   0.0511958
          63      1.7295     1.48979   0.0505289
          64     1.54534     1.49066   0.0497469
          65     1.94487     1.49765   0.0494699
          66     1.25388     1.49396    0.048858
          67     1.40422     1.49262   0.0481471
          68     0.93109     1.48436    0.048142
          69     1.36833     1.48268   0.0474737
          70     1.14599     1.47787   0.0470385
          71     1.30719     1.47546   0.0464374
          72     1.52315     1.47613   0.0457971
          73     1.13963     1.47152   0.0454012
          74     1.68926     1.47446   0.0448829
          75     1.40084     1.47348   0.0442952
          76     2.65814     1.48907    0.046374
          77     1.29068     1.48649   0.0458432
          78      1.0297     1.48063    0.045628
          79    0.815975     1.47222   0.0458196
          80     1.41296     1.47148   0.0452528
          81     1.39274     1.47051   0.0447046
          82     1.55187      1.4715   0.0441704
          83     1.85267     1.47609   0.0438763
          84     2.14312     1.48403   0.0440667
          85     1.10679     1.47959   0.0437712
          86     1.22508     1.47663   0.0433622
          87     1.21477     1.47362   0.0429681
          88     1.07803     1.46913   0.0427143
          89     1.12955     1.46531   0.0424045
          90     1.52344     1.46596   0.0419382
          91     2.06873     1.47258   0.0419972
          92     1.73449     1.47543   0.0416371
          93     1.43863     1.47503   0.0411912
          94     1.10096     1.47105   0.0409448
          95     1.42637     1.47058   0.0405165
          96     1.64938     1.47245   0.0401372
          97      1.1845     1.46948   0.0398331
          98     2.01139     1.47501   0.0398086
          99     1.39328     1.47418   0.0394151
         100      1.6061      1.4755    0.039043
