#   N_BLOCK:  ACCEPTANCE:
           1        0.52
           2       0.475
           3    0.486667
           4       0.485
           5       0.494
           6    0.498333
           7    0.495714
           8      0.4975
           9    0.498889
          10       0.489
          11    0.492727
          12    0.498333
          13    0.503077
          14    0.508571
          15    0.513333
          16    0.513125
          17    0.511176
          18    0.510556
          19        0.51
          20      0.5065
          21    0.507143
          22    0.508636
          23    0.507826
          24    0.509583
          25      0.5116
          26    0.512308
          27    0.511481
          28    0.511429
          29    0.510345
          30    0.511333
          31    0.512581
          32    0.512188
          33    0.513636
          34    0.516176
          35    0.516857
          36    0.517222
          37    0.517838
          38    0.518158
          39    0.520513
          40      0.5225
          41    0.521951
          42    0.520952
          43    0.520465
          44    0.521818
          45    0.520889
          46    0.520217
          47    0.521489
          48     0.52125
          49    0.520612
          50      0.5202
          51    0.520392
          52    0.518846
          53    0.519623
          54        0.52
          55    0.520364
          56    0.520179
          57    0.522105
          58    0.522586
          59    0.523051
          60       0.523
          61     0.52377
          62    0.525645
          63    0.524921
          64     0.52375
          65    0.524923
          66    0.526818
          67    0.528209
          68    0.527794
          69    0.526667
          70    0.526429
          71    0.526901
          72    0.525694
          73    0.525479
          74    0.524865
          75    0.525067
          76    0.525132
          77    0.524935
          78    0.525385
          79     0.52557
          80     0.52525
          81    0.526543
          82    0.526829
          83    0.526386
          84    0.526071
          85    0.524235
          86    0.524419
          87    0.523908
          88    0.523636
          89    0.523371
          90    0.523667
          91    0.521868
          92    0.520543
          93    0.520968
          94    0.520532
          95    0.519579
          96    0.520208
          97    0.519794
          98        0.52
          99    0.519899
         100      0.5206
