#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     4.19859     4.19859           0
           2     4.35109     4.27484   0.0539147
           3     3.14315     3.89761    0.310097
           4     3.85956      3.8881    0.232719
           5     4.30311      3.9711    0.200432
           6     5.74468      4.2667    0.317353
           7     4.57752      4.3111    0.275105
           8     4.64147      4.3524    0.243797
           9     4.32585     4.34945    0.216726
          10      3.7579     4.29029    0.202966
          11     5.08194     4.36226    0.196861
          12     6.54004     4.54374     0.25051
          13     4.95641     4.57549    0.233243
          14     5.97561      4.6755    0.237056
          15     5.37505     4.72213    0.225793
          16     5.03019     4.74139      0.2125
          17     4.47624     4.72579    0.200572
          18     4.26743     4.70033    0.191038
          19     4.93975     4.71293    0.181399
          20      3.4598     4.65027     0.18283
          21     4.44876     4.64067    0.174375
          22     6.37926      4.7197    0.183485
          23     4.74098     4.72063     0.17551
          24     4.48081     4.71063    0.168481
          25     5.13545     4.72763    0.162596
          26     4.78033     4.72965    0.156355
          27     4.13492     4.70763    0.152108
          28     4.59971     4.70377    0.146724
          29     4.33048      4.6909    0.142228
          30     5.66359     4.72332    0.141135
          31     5.07548     4.73468    0.137038
          32     3.83621     4.70661    0.135602
          33     5.15428     4.72017     0.13217
          34     4.62984     4.71751    0.128309
          35     6.00431     4.75428    0.129803
          36     4.64746     4.75131    0.126232
          37     5.33248     4.76702    0.123793
          38     4.29444     4.75458    0.121159
          39     5.18711     4.76567    0.118559
          40      5.7952     4.79141    0.118355
          41     5.62109     4.81165    0.117186
          42     3.64719     4.78392     0.11763
          43     4.43916     4.77591    0.115167
          44     4.07161      4.7599    0.113657
          45     3.98407     4.74266    0.112431
          46     4.08159     4.72829    0.110901
          47     6.18439     4.75927    0.112786
          48     4.83839     4.76092    0.110449
          49     5.77703     4.78165    0.110124
          50     4.44641     4.77495    0.108125
          51     4.59408      4.7714    0.106064
          52     4.18792     4.76018    0.104616
          53     4.56968     4.75659    0.102704
          54     4.25338     4.74727    0.101223
          55     4.06667     4.73489    0.100137
          56      5.8115     4.75412    0.100177
          57     5.62653     4.76942   0.0995818
          58     4.12876     4.75838   0.0984756
          59     4.68356     4.75711   0.0968147
          60      3.8403     4.74183   0.0963994
          61     5.20577     4.74944   0.0951186
          62     5.01574     4.75373   0.0936814
          63     5.44352     4.76468    0.092832
          64     4.64217     4.76277   0.0914012
          65     5.29642     4.77098    0.090363
          66     5.12883      4.7764   0.0891564
          67     6.11469     4.79637   0.0900355
          68     4.99674     4.79932   0.0887596
          69     3.86251     4.78574   0.0885056
          70     4.56567      4.7826    0.087297
          71     6.04087     4.80032   0.0878479
          72     4.56119       4.797   0.0866906
          73     4.97959      4.7995   0.0855391
          74      4.0256     4.78904   0.0850201
          75     4.43231     4.78429   0.0840194
          76     4.39177     4.77912   0.0830725
          77     4.60322     4.77684   0.0820251
          78     4.52035     4.77355   0.0810393
          79     4.02073     4.76402   0.0805718
          80     5.65706     4.77518   0.0803343
          81     5.26776     4.78126   0.0795723
          82     4.80518     4.78155   0.0786025
          83     4.14011     4.77383   0.0780344
          84     4.27029     4.76783   0.0773354
          85     4.22831     4.76148   0.0766856
          86     5.14946       4.766   0.0759265
          87     7.40687     4.79635   0.0808943
          88      3.9241     4.78644   0.0805801
          89     5.54885     4.79501   0.0801287
          90     4.20593     4.78846   0.0795053
          91      3.1992       4.771   0.0805269
          92     4.56717     4.76878   0.0796821
          93     6.15627      4.7837   0.0802098
          94     6.40472     4.80094   0.0811891
          95     4.29346      4.7956   0.0805101
          96     6.28308      4.8111   0.0811487
          97     4.18398     4.80463   0.0805693
          98     5.13896     4.80804   0.0798193
          99     5.91806     4.81926   0.0797967
         100     4.33775     4.81444   0.0791439
