#   N_BLOCK:  ACCEPTANCE:
           1        0.48
           2       0.475
           3        0.46
           4       0.465
           5       0.472
           6    0.473333
           7    0.461429
           8     0.45375
           9    0.453333
          10       0.472
          11    0.467273
          12    0.470833
          13    0.477692
          14    0.479286
          15    0.476667
          16     0.47875
          17    0.481176
          18    0.476111
          19    0.473158
          20      0.4735
          21    0.477143
          22    0.476818
          23    0.477391
          24      0.4775
          25      0.4788
          26    0.478846
          27    0.482222
          28    0.485357
          29    0.480345
          30    0.475667
          31    0.475484
          32       0.475
          33    0.473939
          34    0.478235
          35       0.478
          36    0.480556
          37    0.481622
          38    0.480526
          39        0.48
          40     0.48175
          41    0.483415
          42    0.483571
          43    0.484186
          44    0.487045
          45    0.488222
          46    0.488261
          47    0.489574
          48    0.491875
          49    0.490408
          50      0.4902
          51    0.490588
          52    0.489038
          53    0.488868
          54    0.488889
          55    0.489455
          56    0.488571
          57    0.489649
          58    0.489483
          59    0.489322
          60        0.49
          61    0.489672
          62        0.49
          63    0.490317
          64     0.49125
          65    0.492154
          66    0.492273
          67    0.491642
          68    0.492059
          69    0.492609
          70    0.492286
          71    0.492958
          72    0.491667
          73    0.491918
          74    0.492703
          75    0.492533
          76    0.493158
          77    0.492727
          78    0.492436
          79    0.493038
          80     0.49425
          81    0.495679
          82    0.496098
          83    0.496627
          84    0.496548
          85    0.495176
          86    0.494651
          87    0.495057
          88    0.494886
          89    0.494157
          90    0.494444
          91    0.494066
          92    0.493152
          93    0.493118
          94    0.492979
          95    0.492842
          96    0.493958
          97    0.494639
          98    0.493776
          99    0.493434
         100      0.4935
