#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     5.60589     5.60589           0
           2     4.46266     5.03428    0.404192
           3     4.94569     5.00475    0.270538
           4     6.79099     5.45131    0.436729
           5     4.79507     5.32006    0.368577
           6     5.28604     5.31439    0.307191
           7     4.73679     5.23188    0.274165
           8     3.90238     5.06569    0.285859
           9     4.54771     5.00814    0.259826
          10     6.19509     5.12683    0.259543
          11     4.93838      5.1097    0.236513
          12     5.14019     5.11224    0.216817
          13     4.38203     5.05607    0.207287
          14     4.94254     5.04796    0.192639
          15     5.36763     5.06927    0.180972
          16     5.27363     5.08204    0.170111
          17     4.82391     5.06686    0.160781
          18      3.4803     4.97872    0.174343
          19     3.67287     4.90999      0.1782
          20     5.41928     4.93545    0.171099
          21     5.87751     4.98031     0.16873
          22     5.70242     5.01314    0.164222
          23     4.95073     5.01042    0.157104
          24     4.11143     4.97297     0.15496
          25     4.56958     4.95683    0.149599
          26     4.72696     4.94799    0.144106
          27     4.50866     4.93172    0.139685
          28     5.95584     4.96829    0.139402
          29     3.72885     4.92555    0.140995
          30      3.6718     4.88376    0.142354
          31     3.27845     4.83198    0.146879
          32     4.78931     4.83064    0.142295
          33     3.65332     4.79497    0.142385
          34     6.08747     4.83298    0.143182
          35     5.81087     4.86092    0.141791
          36     5.05478     4.86631    0.137955
          37     5.01682     4.87037    0.134286
          38     4.48655     4.86027    0.131132
          39     5.88621     4.88658    0.130381
          40     5.66142     4.90595    0.128553
          41     5.22631     4.91376    0.125654
          42     5.48374     4.92734    0.123393
          43     5.54449     4.94169    0.121356
          44     5.27118     4.94918    0.118828
          45     5.80098     4.96811    0.117686
          46     4.18036     4.95098    0.116367
          47     5.00345      4.9521    0.113896
          48     5.62573     4.96613    0.112385
          49     4.32969     4.95314    0.110839
          50     5.22105      4.9585    0.108752
          51     5.45229     4.96818    0.107049
          52     3.28901     4.93589    0.109753
          53     5.18601     4.94061    0.107784
          54      5.5979     4.95278    0.106473
          55     5.66271     4.96569    0.105317
          56     5.66601      4.9782    0.104176
          57      6.3686     5.00259    0.105165
          58       4.399     4.99218    0.103866
          59     4.24914     4.97959    0.102866
          60     4.61515     4.97351    0.101331
          61     5.69311     4.98531    0.100354
          62     5.14626     4.98791   0.0987687
          63     5.76245      5.0002   0.0979631
          64     6.00092     5.01584   0.0976724
          65     6.04522     5.03167   0.0974451
          66     6.34189     5.05153     0.09797
          67     5.74023      5.0618   0.0970455
          68     5.56059     5.06914   0.0958951
          69     4.87395     5.06631   0.0945471
          70     5.19108     5.06809   0.0932132
          71     4.42207     5.05899   0.0923434
          72     4.48414     5.05101   0.0914053
          73     5.53128     5.05759   0.0903896
          74     6.92497     5.08282   0.0926237
          75     4.48594     5.07487     0.09173
          76     4.49531     5.06724   0.0908395
          77     4.31482     5.05747   0.0901838
          78     5.29962     5.06057    0.089081
          79     4.94598     5.05912   0.0879652
          80     5.77137     5.06803    0.087315
          81     8.99722     5.11653   0.0987971
          82     5.48528     5.12103   0.0976945
          83     4.38801      5.1122   0.0969159
          84     5.45026     5.11622   0.0958456
          85     4.23578     5.10587   0.0952761
          86     3.91086     5.09197   0.0951761
          87     5.52451     5.09694   0.0942119
          88     4.48782     5.09002   0.0933952
          89     4.36795     5.08191   0.0926976
          90     4.92764     5.08019   0.0916835
          91     4.26131     5.07119   0.0911165
          92     3.70784     5.05637   0.0913232
          93     5.24503      5.0584   0.0903638
          94     7.19776     5.08116    0.092224
          95     4.82539     5.07847   0.0912925
          96     5.67329     5.08467   0.0905516
          97     6.22313      5.0964   0.0903755
          98     4.11251     5.08636   0.0900092
          99     4.87569     5.08424   0.0891252
         100     3.78593     5.07125   0.0891745
