#   N_BLOCK:  ACCEPTANCE:
           1        0.58
           2       0.535
           3        0.55
           4        0.58
           5       0.572
           6    0.551667
           7    0.537143
           8     0.53125
           9    0.518889
          10       0.508
          11    0.511818
          12    0.510833
          13    0.513846
          14    0.509286
          15    0.504667
          16    0.513125
          17    0.515294
          18    0.515556
          19        0.52
          20      0.5155
          21    0.516667
          22    0.522727
          23    0.526087
          24    0.524583
          25      0.5216
          26    0.521538
          27    0.520741
          28    0.521786
          29     0.51931
          30       0.514
          31    0.513871
          32    0.510938
          33    0.514848
          34    0.512647
          35    0.513143
          36    0.515556
          37    0.514865
          38    0.514737
          39    0.517949
          40     0.51725
          41    0.516829
          42    0.517381
          43    0.516512
          44    0.517273
          45    0.514889
          46    0.516304
          47    0.517021
          48    0.515417
          49    0.516531
          50      0.5182
          51    0.520588
          52    0.520192
          53    0.520566
          54    0.522037
          55    0.520182
          56     0.51875
          57    0.517193
          58    0.517759
          59    0.516441
          60    0.517167
          61    0.517213
          62    0.517581
          63    0.516032
          64     0.51625
          65    0.517385
          66    0.517576
          67     0.51791
          68    0.516471
          69    0.515652
          70       0.515
          71     0.51493
          72    0.515417
          73    0.516027
          74     0.51527
          75    0.515067
          76       0.515
          77    0.515455
          78    0.514103
          79     0.51481
          80      0.5135
          81    0.514198
          82    0.514268
          83    0.514217
          84    0.513571
          85    0.513647
          86    0.513372
          87    0.512414
          88    0.511818
          89     0.51191
          90    0.511667
          91    0.511209
          92    0.509457
          93    0.508387
          94    0.508191
          95    0.507789
          96    0.508333
          97    0.508247
          98    0.507551
          99    0.507778
         100      0.5087
