#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     1.70351     1.70351           0
           2     1.58256     1.64304   0.0427626
           3     2.50224     1.92944    0.235578
           4     3.42063     2.30224    0.368036
           5     1.99959     2.24171    0.299365
           6     1.57655     2.13085    0.269216
           7     1.63338     2.05978    0.239953
           8     1.41817     1.97958     0.22296
           9     1.51951     1.92846    0.203962
          10    0.970393     1.83265    0.204835
          11     2.04529     1.85199    0.187124
          12     1.24697     1.80157    0.178193
          13        1.69     1.79298    0.164692
          14     1.22646     1.75252    0.157822
          15     1.70576      1.7494    0.147331
          16     2.29575     1.78355    0.142025
          17     1.62888     1.77445    0.133962
          18     1.37942      1.7525    0.128304
          19     1.62912     1.74601    0.121716
          20     1.18895     1.71816    0.118774
          21     1.43054     1.70446    0.113905
          22     2.03359     1.71942    0.109706
          23     2.57885     1.75679    0.111117
          24     1.63416     1.75168    0.106605
          25    0.883418     1.71695     0.10785
          26     1.24442     1.69877    0.105222
          27     1.71493     1.69937    0.101326
          28     1.27957     1.68438   0.0988106
          29     1.43434     1.67576   0.0957788
          30     1.29153     1.66295   0.0934386
          31      1.8041      1.6675   0.0905353
          32     1.05424     1.64834   0.0897115
          33     1.92474     1.65671   0.0873831
          34     1.18414     1.64281   0.0859113
          35      1.4758     1.63804   0.0835891
          36      1.2396     1.62698   0.0819967
          37     1.42195     1.62143   0.0799676
          38     1.54564     1.61944    0.077888
          39     2.17973     1.63381   0.0772045
          40     1.19237     1.62277   0.0760591
          41     1.33649     1.61579   0.0745238
          42     1.53419     1.61384   0.0727747
          43     1.59672     1.61345   0.0710834
          44     1.73149     1.61613   0.0695184
          45     1.51538     1.61389   0.0680096
          46     1.54144     1.61232   0.0665494
          47     1.51488     1.61024   0.0651657
          48     1.42445     1.60637    0.063923
          49     1.77283     1.60977   0.0627086
          50     1.52305     1.60803   0.0614784
          51     2.37506     1.62307   0.0620853
          52      1.4205     1.61918   0.0610135
          53     2.23109     1.63072   0.0609448
          54     1.73751      1.6327   0.0598483
          55     1.19751     1.62479   0.0592809
          56     1.24927     1.61808   0.0586004
          57      1.3234     1.61291   0.0577999
          58     1.60488     1.61277   0.0568035
          59     1.22632     1.60622   0.0562171
          60     1.49213     1.60432   0.0553123
          61     2.01306     1.61102   0.0548099
          62     1.49052     1.60908   0.0539603
          63      1.1158     1.60125   0.0536689
          64     1.71721     1.60306   0.0528609
          65     1.25799     1.59775   0.0523135
          66     1.44464     1.59543   0.0515723
          67     1.45054     1.59327   0.0508479
          68     1.15406     1.58681   0.0505087
          69     1.07511      1.5794   0.0503182
          70      1.1625     1.57344   0.0499506
          71     1.45041     1.57171   0.0492771
          72     1.48267     1.57047   0.0486082
          73     2.07371     1.57736   0.0484287
          74     1.87905     1.58144   0.0479455
          75     1.35594     1.57843   0.0474005
          76     1.63267     1.57915   0.0467821
          77     1.67159     1.58035     0.04619
          78    0.916306     1.57184   0.0463757
          79     1.36898     1.56927   0.0458597
          80     1.58451     1.56946   0.0452869
          81     1.18321     1.56469   0.0449781
          82     1.23455     1.56066   0.0446094
          83      1.3479      1.5581   0.0441456
          84     1.22645     1.55415   0.0437962
          85     1.23658     1.55042     0.04344
          86     1.58608     1.55083   0.0429369
          87     1.11246     1.54579    0.042738
          88     1.64605     1.54693   0.0422675
          89     1.40961     1.54539   0.0418208
          90     1.20653     1.54162   0.0415252
          91      1.1705     1.53754   0.0412687
          92     1.07708     1.53254   0.0411225
          93     1.10307     1.52792   0.0409388
          94     1.20103     1.52444   0.0406507
          95     1.50571     1.52425   0.0402233
          96     1.35907     1.52253   0.0398411
          97     1.63314     1.52367   0.0394467
          98       1.475     1.52317   0.0390473
          99     1.19483     1.51985   0.0387934
         100     1.35172     1.51817   0.0384419
