#   N_BLOCK:  ACCEPTANCE:
           1        0.61
           2       0.565
           3    0.576667
           4      0.5575
           5       0.556
           6    0.568333
           7    0.572857
           8      0.5575
           9    0.564444
          10       0.578
          11    0.574545
          12      0.5825
          13    0.583846
          14    0.586429
          15    0.581333
          16    0.579375
          17    0.576471
          18    0.576667
          19    0.576316
          20      0.5725
          21    0.570952
          22    0.575909
          23    0.580435
          24    0.583333
          25       0.586
          26    0.586538
          27     0.59037
          28    0.592143
          29    0.591724
          30    0.591667
          31    0.590323
          32    0.590313
          33    0.592424
          34    0.591471
          35       0.592
          36    0.591111
          37    0.592703
          38    0.593158
          39     0.59359
          40       0.593
          41    0.593171
          42    0.591429
          43    0.588837
          44    0.589773
          45    0.589778
          46    0.589783
          47    0.588298
          48      0.5875
          49    0.587347
          50       0.586
          51    0.582157
          52    0.581538
          53        0.58
          54    0.580556
          55    0.581636
          56    0.582321
          57    0.583684
          58    0.583966
          59    0.582881
          60      0.5835
          61     0.58459
          62    0.585806
          63     0.58619
          64    0.586875
          65    0.586923
          66    0.587121
          67    0.586418
          68    0.586471
          69    0.587826
          70    0.588143
          71    0.588028
          72    0.589167
          73    0.589041
          74    0.588378
          75      0.5896
          76    0.588553
          77    0.588442
          78    0.588205
          79    0.587722
          80    0.587375
          81    0.587037
          82    0.586463
          83    0.585783
          84    0.585476
          85    0.585059
          86    0.583953
          87    0.583793
          88    0.583977
          89    0.584045
          90    0.583556
          91    0.583187
          92      0.5825
          93    0.582258
          94    0.582234
          95    0.581579
          96    0.582604
          97    0.582268
          98    0.581939
          99    0.581414
         100      0.5809
