#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1      1.7805      1.7805           0
           2     1.45683     1.61867    0.114434
           3     1.41483     1.55072   0.0943272
           4      1.1278     1.44499    0.115711
           5     1.22329     1.40065    0.100707
           6     1.43379     1.40617   0.0840735
           7     1.20274     1.37711   0.0769221
           8    0.997707     1.32969   0.0806118
           9     1.71697     1.37272   0.0823431
          10     2.09381     1.44483    0.100856
          11     1.61083     1.45992   0.0928092
          12     1.40762     1.45556   0.0851774
          13      1.2709     1.44136   0.0798008
          14     1.18326     1.42292   0.0762005
          15     1.15419     1.40501   0.0731962
          16     1.09912     1.38589   0.0710743
          17     1.26776     1.37894   0.0672322
          18     1.01956     1.35897   0.0663954
          19     1.47744     1.36521    0.063193
          20     1.86869     1.39038   0.0648541
          21     1.37615     1.38971   0.0617694
          22     4.64712     1.53777    0.156214
          23     1.81527     1.54984    0.149888
          24     1.25854      1.5377    0.144133
          25     1.28394     1.52755    0.138725
          26      1.4275      1.5237    0.133442
          27     1.52601     1.52378      0.1285
          28     1.85878     1.53575    0.124467
          29     1.50712     1.53476    0.120179
          30     1.47414     1.53274     0.11619
          31     1.55707     1.53353    0.112444
          32     2.62365     1.56759    0.113974
          33      1.7499     1.57312    0.110654
          34     1.65738     1.57559    0.107427
          35     1.70674     1.57934    0.104423
          36     1.43449     1.57532      0.1016
          37     1.01954      1.5603   0.0999583
          38     1.81863      1.5671   0.0975587
          39     1.70591     1.57065   0.0951221
          40     2.08816     1.58359   0.0936198
          41      1.8377     1.58979   0.0915413
          42     1.89156     1.59698   0.0896432
          43     1.29065     1.58985   0.0878411
          44     1.51666     1.58819   0.0858605
          45     1.30892     1.58198   0.0841764
          46     1.09715     1.57144   0.0830038
          47     1.36834     1.56712   0.0813501
          48     1.19059     1.55928   0.0800327
          49     1.94007     1.56705   0.0787757
          50     1.26163     1.56094   0.0774367
          51     1.01212     1.55018   0.0766624
          52     1.25848     1.54457   0.0753931
          53    0.958474     1.53351   0.0747772
          54     1.27749     1.52877   0.0735426
          55     1.23621     1.52345   0.0723975
          56     1.34388     1.52024   0.0711757
          57     2.05235     1.52958   0.0705365
          58     2.02335     1.53809   0.0698322
          59     1.18971     1.53219   0.0688978
          60     1.41811     1.53029   0.0677758
          61     1.53079     1.53029   0.0666647
          62      2.3162     1.54297   0.0667837
          63     1.79743     1.54701   0.0658457
          64     1.49799     1.54624   0.0648213
          65      1.6374     1.54765   0.0638392
          66     1.82604     1.55186   0.0630111
          67     1.56118       1.552   0.0620708
          68      1.1453     1.54602   0.0614455
          69     2.04799      1.5533   0.0609841
          70     1.47507     1.55218   0.0601232
          71     1.08042     1.54553   0.0596424
          72     1.72831     1.54807    0.058868
          73     1.47441     1.54706   0.0580702
          74     1.70494      1.5492   0.0573247
          75      1.5777     1.54958   0.0565616
          76     1.54134     1.54947   0.0558175
          77     1.30091     1.54624   0.0551859
          78     1.38923     1.54423    0.054515
          79      1.0792     1.53834   0.0541419
          80     1.23757     1.53458   0.0535955
          81     1.54359     1.53469   0.0529339
          82     1.27759     1.53156   0.0523811
          83     1.01625     1.52535   0.0521167
          84     1.65288     1.52687   0.0515184
          85     1.37582     1.52509   0.0509429
          86     1.14522     1.52067   0.0505417
          87     1.96479     1.52578   0.0502179
          88     1.33566     1.52362   0.0496937
          89     1.72688      1.5259   0.0491878
          90     1.18949     1.52216    0.048783
          91     1.12527      1.5178   0.0484415
          92     1.40948     1.51662   0.0479293
          93      1.1899     1.51311   0.0475425
          94     2.46245     1.52321   0.0480975
          95     1.74756     1.52557   0.0476491
          96     2.44499     1.53515   0.0481057
          97     1.46274      1.5344   0.0476155
          98     1.40422     1.53308   0.0471482
          99     1.27825      1.5305   0.0467421
         100     1.77256     1.53292   0.0463373
