#   N_BLOCK:  ACCEPTANCE:
           1        0.65
           2       0.575
           3    0.576667
           4      0.5725
           5        0.57
           6        0.55
           7    0.545714
           8     0.55625
           9    0.546667
          10       0.539
          11    0.531818
          12       0.535
          13    0.536154
          14    0.538571
          15    0.546667
          16    0.548125
          17    0.543529
          18    0.542222
          19    0.543158
          20      0.5405
          21    0.538571
          22    0.541818
          23    0.536957
          24    0.534167
          25      0.5324
          26    0.535385
          27    0.534444
          28    0.529643
          29     0.52931
          30    0.527667
          31     0.52871
          32     0.52875
          33    0.528788
          34    0.527941
          35    0.528571
          36    0.529167
          37    0.528108
          38    0.531842
          39    0.531538
          40     0.53425
          41        0.53
          42    0.528571
          43    0.529767
          44    0.527727
          45    0.527111
          46    0.526739
          47    0.527021
          48    0.526667
          49    0.527143
          50       0.525
          51    0.525686
          52    0.524423
          53    0.524151
          54    0.524444
          55       0.526
          56    0.523571
          57     0.52386
          58    0.523966
          59    0.525763
          60    0.526333
          61    0.526721
          62       0.525
          63    0.524286
          64     0.52375
          65    0.525077
          66    0.524697
          67    0.524328
          68    0.522794
          69    0.522609
          70       0.523
          71     0.52338
          72    0.522083
          73    0.522055
          74    0.521757
          75    0.521733
          76    0.521579
          77    0.522727
          78    0.523846
          79    0.524304
          80    0.523625
          81    0.524815
          82    0.525854
          83    0.524578
          84    0.524048
          85    0.523059
          86    0.522907
          87    0.522529
          88    0.522727
          89    0.523596
          90    0.522778
          91    0.521868
          92    0.521087
          93     0.52086
          94    0.520532
          95    0.520737
          96        0.52
          97    0.521031
          98    0.521735
          99    0.521313
         100      0.5218
