#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     35.2862     35.2862           0
           2     6.47778      20.882     10.1853
           3     5.78445     15.8495      7.9367
           4      6.6426     13.5478     6.27742
           5     5.76793     11.9918     5.21121
           6     7.89277     11.3086     4.38723
           7     5.45227      10.472     3.83942
           8     5.41288     9.83961     3.41118
           9     4.11715     9.20378     3.09085
          10     4.64549     8.74795     2.81517
          11     4.58489     8.36949     2.58456
          12     4.49272     8.04643     2.38929
          13     3.88517     7.72633     2.22684
          14     4.91135     7.52526     2.07683
          15     4.41894     7.31817     1.94868
          16     5.14159     7.18214     1.83163
          17     3.65983     6.97494     1.73556
          18     4.48475      6.8366     1.64465
          19     4.84239     6.73164     1.56143
          20     5.11798     6.65096     1.48544
          21     4.73483     6.55971     1.41751
          22     11.1292     6.76742     1.36821
          23     4.05602     6.64953     1.31379
          24     5.36202     6.59589     1.26014
          25      3.3357     6.46548     1.21647
          26     6.15954     6.45371     1.16974
          27      3.7941     6.35521     1.13055
          28     4.35047     6.28361     1.09244
          29     4.91293     6.23634     1.05579
          30      3.7496     6.15345     1.02385
          31      5.4093     6.12945    0.991102
          32     4.32492     6.07306    0.961733
          33     4.17724     6.01561    0.934304
          34     3.79158      5.9502    0.909111
          35     5.00926     5.92331    0.883534
          36     4.21951     5.87598    0.860258
          37     4.41469     5.83649    0.837914
          38     6.26407     5.84774    0.815939
          39      4.5175     5.81363     0.79573
          40     5.87629      5.8152    0.775838
          41     3.14698     5.75012     0.75964
          42     4.05505     5.70976    0.742625
          43     6.46162     5.72725     0.72556
          44     3.91438     5.68605    0.710239
          45     3.92347     5.64688    0.695535
          46     4.45141     5.62089      0.6809
          47     6.41722     5.63783    0.666624
          48     6.13119     5.64811    0.652815
          49     6.25851     5.66057    0.639611
          50     3.94111     5.62618    0.627743
          51     5.16716     5.61718    0.615499
          52      4.5348     5.59636    0.604014
          53     5.83946     5.60095    0.592635
          54     4.02697      5.5718    0.582376
          55     4.54967     5.55322    0.572084
          56     3.96372     5.52483    0.562572
          57     4.88447      5.5136    0.552815
          58     4.44541     5.49518     0.54359
          59     4.95438     5.48602    0.534454
          60     5.29737     5.48287    0.525556
          61     4.43401     5.46568    0.517221
          62     4.42759     5.44893     0.50915
          63     4.20491     5.42919    0.501451
          64     4.03344     5.40738     0.49409
          65     5.74414     5.41256    0.486515
          66     3.63572     5.38564    0.479888
          67      4.4871     5.37223    0.472913
          68     4.01978     5.35234    0.466377
          69     5.47881     5.35417    0.459621
          70     3.96499     5.33433    0.453483
          71     4.59744     5.32395    0.447215
          72     4.03254     5.30601    0.441363
          73     6.23245      5.3187    0.435499
          74     6.28589     5.33177     0.42981
          75     4.97851     5.32706    0.424105
          76     3.98815     5.30944    0.418891
          77     6.00404     5.31847    0.413548
          78     6.18923     5.32963    0.408397
          79     4.62015     5.32065    0.403326
          80     6.50831     5.33549    0.398557
          81     6.29349     5.34732    0.393812
          82      5.7828     5.35263    0.389046
          83     4.98689     5.34823    0.384383
          84      4.7547     5.34116    0.379872
          85      4.8412     5.33528    0.375449
          86     4.98939     5.33126    0.371104
          87     4.03174     5.31632    0.367139
          88     6.28052     5.32728    0.363131
          89     5.24052      5.3263    0.359052
          90     3.34757     5.30431    0.355735
          91     5.11375     5.30222    0.351832
          92     3.86763     5.28663    0.348353
          93     4.21079     5.27506    0.344799
          94     4.59654     5.26784    0.341207
          95     5.58847     5.27122    0.337632
          96     4.08441     5.25885    0.334341
          97     4.57563     5.25181    0.330969
          98     4.65429     5.24571    0.327647
          99     5.13394     5.24458     0.32434
         100     5.40994     5.24624    0.321101
