#   N_BLOCK:  ACCEPTANCE:
           1        0.63
           2       0.535
           3    0.483333
           4      0.4925
           5       0.498
           6       0.505
           7    0.492857
           8      0.4925
           9    0.488889
          10       0.484
          11    0.482727
          12    0.486667
          13    0.495385
          14         0.5
          15       0.496
          16    0.501875
          17    0.504706
          18    0.501667
          19    0.500526
          20       0.504
          21    0.502381
          22         0.5
          23     0.50087
          24    0.504583
          25      0.5092
          26    0.510769
          27    0.512593
          28    0.513214
          29    0.509655
          30    0.510333
          31    0.509032
          32    0.506875
          33    0.506364
          34    0.505294
          35    0.507429
          36    0.508056
          37    0.509189
          38    0.508684
          39    0.512308
          40     0.51175
          41    0.512195
          42    0.512143
          43    0.510465
          44    0.509545
          45    0.509778
          46    0.506304
          47    0.507234
          48    0.508333
          49    0.509184
          50      0.5076
          51    0.508039
          52    0.507885
          53    0.508302
          54    0.508889
          55    0.509455
          56    0.508929
          57    0.509298
          58        0.51
          59    0.508983
          60      0.5085
          61    0.509508
          62    0.509677
          63        0.51
          64    0.509062
          65    0.509538
          66    0.508182
          67     0.50791
          68    0.508529
          69    0.508406
          70    0.508714
          71     0.50831
          72     0.50875
          73    0.508219
          74    0.509054
          75      0.5072
          76    0.507763
          77    0.508052
          78    0.508077
          79    0.507722
          80    0.508125
          81    0.508148
          82    0.508293
          83    0.508434
          84    0.507738
          85    0.506706
          86    0.506628
          87    0.505977
          88    0.505909
          89    0.505393
          90    0.504667
          91    0.503956
          92     0.50413
          93    0.504086
          94    0.503191
          95    0.503263
          96    0.502917
          97    0.503196
          98    0.502857
          99    0.502525
         100      0.5026
