#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     22.6887     22.6887           0
           2     3.42722      13.058     6.80996
           3     4.35463     10.1568     5.12077
           4     5.72761     9.04954     3.95849
           5     5.07185       8.254     3.24575
           6     5.18714     7.74286     2.74474
           7     4.09944     7.22237     2.40148
           8     5.93352     7.06126     2.10669
           9     5.01533     6.83394     1.88484
          10     3.61473     6.51202     1.72363
          11      3.9349     6.27773     1.58278
          12     5.78315     6.23652     1.45142
          13     7.13578     6.30569     1.34142
          14     4.29359     6.16197     1.25328
          15      5.7578     6.13503     1.17001
          16     5.51334     6.09617     1.09753
          17     4.71614     6.01499     1.03597
          18     4.06805     5.90683    0.984046
          19     6.75385     5.95141    0.933264
          20     6.54946     5.98131    0.887079
          21     3.99983     5.88696    0.849841
          22     6.18751     5.90062    0.811322
          23      5.1287     5.86706    0.776741
          24     4.84623     5.82452     0.74554
          25     5.25198     5.80162     0.71607
          26      5.1621     5.77702    0.688951
          27     4.50878     5.73005    0.665034
          28     4.38393     5.68197    0.643018
          29     4.13016     5.62846    0.623068
          30     5.31277     5.61794    0.602388
          31     5.89374     5.62684    0.583021
          32     4.20452     5.58239    0.566494
          33      4.5526     5.55118    0.550186
          34     3.99918     5.50554    0.535894
          35     5.45119     5.50398    0.520585
          36     5.28625     5.49794     0.50616
          37     4.31129     5.46586    0.493495
          38     5.05015     5.45492    0.480629
          39     6.01502     5.46929     0.46852
          40     5.60349     5.47264    0.456819
          41     5.72366     5.47876    0.445718
          42      5.6914     5.48383    0.435135
          43     4.99119     5.47237    0.425166
          44     5.06913     5.46321    0.415602
          45     4.66551     5.44548    0.406744
          46     3.56083     5.40451     0.39996
          47     5.15782     5.39926    0.391485
          48     7.57839     5.44466    0.385952
          49     4.74941     5.43047    0.378336
          50     5.52339     5.43233    0.370774
          51     6.30397     5.44942    0.363898
          52     3.88958     5.41942    0.358134
          53     5.43749     5.41976    0.351377
          54     4.98459      5.4117    0.344962
          55      4.7075      5.3989    0.338928
          56     5.21408      5.3956    0.332891
          57     6.84348       5.421    0.328019
          58     5.45138     5.42152    0.322364
          59     3.52722     5.38942    0.318495
          60     4.98393     5.38266    0.313258
          61     5.65239     5.38708    0.308154
          62     5.67671     5.39175    0.303219
          63      5.9627     5.40082    0.298542
          64     4.74655     5.39059    0.294052
          65     5.99067     5.39982    0.289673
          66     3.65755     5.37343    0.286484
          67     3.84067     5.35055     0.28312
          68     5.36264     5.35073    0.278957
          69     6.29777     5.36445    0.275252
          70     3.91748     5.34378    0.272094
          71     4.90829     5.33765    0.268331
          72     7.01035     5.36088    0.265608
          73      3.7957     5.33944    0.262834
          74     7.78703     5.37251    0.261355
          75     4.74709     5.36418    0.258003
          76     4.61464     5.35431    0.254797
          77     5.62347     5.35781    0.251512
          78     6.07147     5.36696    0.248453
          79     5.38006     5.36712    0.245309
          80     5.06262     5.36332    0.242272
          81      4.3311     5.35057    0.239616
          82     4.46603     5.33979    0.236936
          83     4.50032     5.32967    0.234297
          84       4.538     5.32025    0.231698
          85     4.81411     5.31429    0.229048
          86     5.21068     5.31309    0.226388
          87     3.86474     5.29644    0.224397
          88     4.52657     5.28769    0.222018
          89      4.9988     5.28445    0.219547
          90     4.91357     5.28033    0.217146
          91     4.72602     5.27424    0.214845
          92     6.22904     5.28461     0.21276
          93     6.01443     5.29246    0.210617
          94     4.83745     5.28762    0.208432
          95     5.25121     5.28724    0.206239
          96     4.49558     5.27899    0.204255
          97     5.13685     5.27753    0.202155
          98     3.83525     5.26281    0.200627
          99     4.87513     5.25889    0.198639
         100     4.51295     5.25143    0.196792
