#   N_BLOCK:  ACCEPTANCE:
           1        0.66
           2       0.615
           3    0.563333
           4        0.55
           5       0.538
           6    0.531667
           7        0.53
           8       0.525
           9    0.515556
          10       0.509
          11    0.500909
          12    0.501667
          13    0.504615
          14    0.502143
          15    0.505333
          16    0.510625
          17    0.506471
          18    0.512222
          19    0.514737
          20       0.513
          21    0.515238
          22    0.518636
          23    0.515652
          24    0.515417
          25       0.514
          26    0.513077
          27    0.512963
          28    0.509286
          29    0.508276
          30    0.504333
          31    0.503871
          32    0.502812
          33    0.504848
          34    0.505294
          35    0.506571
          36    0.507222
          37    0.507568
          38        0.51
          39    0.511795
          40     0.51425
          41    0.512927
          42    0.512381
          43    0.513023
          44    0.514773
          45    0.512444
          46     0.51413
          47    0.516383
          48    0.517083
          49     0.51551
          50      0.5134
          51    0.514706
          52    0.513654
          53    0.513774
          54    0.513333
          55    0.511636
          56    0.511607
          57    0.511404
          58    0.510345
          59        0.51
          60    0.508667
          61    0.508197
          62    0.507903
          63    0.505397
          64       0.505
          65    0.505231
          66    0.505909
          67    0.506866
          68    0.506324
          69    0.505652
          70    0.506429
          71    0.505211
          72    0.505972
          73    0.506027
          74    0.504459
          75       0.504
          76    0.503553
          77    0.504675
          78    0.505128
          79    0.505696
          80    0.505375
          81    0.505556
          82    0.506341
          83    0.506145
          84    0.505238
          85    0.504353
          86    0.504302
          87    0.503563
          88    0.501705
          89    0.502247
          90       0.501
          91    0.501099
          92    0.501087
          93    0.501075
          94     0.50117
          95    0.500842
          96    0.500833
          97    0.502165
          98    0.502857
          99    0.502222
         100      0.5028
