#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1      42.346      42.346           0
           2     17.4794     29.9127     8.79167
           3     1.07028     20.2986     9.79663
           4     1.32818      15.556     8.41751
           5     1.54993     12.7548     7.18501
           6     1.50653     10.8801     6.22728
           7     1.58655     9.55242     5.47737
           8      2.2342     8.63764     4.86848
           9     1.86567      7.8852      4.3853
          10     1.65122      7.2618     3.99084
          11     1.12508     6.70392     3.66682
          12     1.38981     6.26108     3.38789
          13     1.83967     5.92097     3.14431
          14     1.23812     5.58648     2.93745
          15     1.71564     5.32842     2.75293
          16     1.65562     5.09887     2.59043
          17     1.62692     4.89464     2.44609
          18     1.82549     4.72413     2.31613
          19     1.63737     4.56167     2.19992
          20     1.47711     4.40744     2.09532
          21     1.66046     4.27663     1.99962
          22     2.00662     4.17345     1.91139
          23     1.12063     4.04072     1.83289
          24      1.1578      3.9206     1.76045
          25      1.5017     3.82384     1.69269
          26     1.33132     3.72798      1.6303
          27      1.6826     3.65222     1.57168
          28     1.07515     3.56018     1.51824
          29     1.69665     3.49592     1.46724
          30     1.65681     3.43462     1.41962
          31      1.8645     3.38397     1.37472
          32     1.04667     3.31093      1.3337
          33     1.29352      3.2498     1.29469
          34     1.53905     3.19948     1.25759
          35     1.86139     3.16125     1.22224
          36     1.05231     3.10267     1.18969
          37     1.68933     3.06447     1.15815
          38     2.41246     3.04731      1.1278
          39     1.24509      3.0011     1.09983
          40     1.42768     2.96176     1.07303
          41     1.41554     2.92405     1.04752
          42      1.4223      2.8883     1.02319
          43     1.42026     2.85416    0.999968
          44     1.34436     2.81984     0.97783
          45     1.07285     2.78102     0.95687
          46      1.8663     2.76113    0.936275
          47      1.8411     2.74156    0.916559
          48     2.08631     2.72791    0.897566
          49     1.44707     2.70177    0.879629
          50     1.01612     2.66806    0.862682
          51     1.96645      2.6543    0.845876
          52     1.02143      2.6229    0.830192
          53      1.3695     2.59925    0.814865
          54      1.2027     2.57339    0.800185
          55      1.2416     2.54917    0.786003
          56     2.21282     2.54317     0.77199
          57     1.27333     2.52089    0.758767
          58     1.12623     2.49684    0.746066
          59     1.31649     2.47684    0.733689
          60      1.7258     2.46432    0.721568
          61     1.39102     2.44672    0.709953
          62     1.66528     2.43412    0.698614
          63    0.853338     2.40903    0.687976
          64     1.16776     2.38963    0.677499
          65     1.15388     2.37062    0.667343
          66     1.43405     2.35643    0.657383
          67     1.94516     2.35029      0.6476
          68     1.23619     2.33391    0.638283
          69     1.44818     2.32107    0.629162
          70     1.81098     2.31379    0.620216
          71     2.10144     2.31079    0.611488
          72     2.84446     2.31821     0.60304
          73     1.32901     2.30466    0.594931
          74     1.41619     2.29265    0.587013
          75     1.27865     2.27913    0.579342
          76     1.49272     2.26878    0.571811
          77      1.7339     2.26184    0.564427
          78     1.72374     2.25494    0.557233
          79     1.58671     2.24648    0.550244
          80      1.5695     2.23802    0.543431
          81     1.63596     2.23058    0.536773
          82     1.21717     2.21822    0.530369
          83     1.32816      2.2075    0.524087
          84     1.35002     2.19729    0.517947
          85     1.15671     2.18505    0.511999
          86     1.30491     2.17482    0.506147
          87     0.94298     2.16066    0.500528
          88    0.852671     2.14579     0.49506
          89     1.48744      2.1384    0.489553
          90      1.0923     2.12677    0.484252
          91     1.64408     2.12147    0.478959
          92     2.01153     2.12027    0.473755
          93     1.37135     2.11222    0.468729
          94      1.8641     2.10958     0.46375
          95     1.47844     2.10294    0.458916
          96     1.66249     2.09835    0.454159
          97     2.02329     2.09758    0.449477
          98      1.3574     2.09002    0.444954
          99     1.49618     2.08403      0.4405
         100     1.42712     2.07746    0.436144
