#   N_BLOCK:  ACCEPTANCE:
           1        0.74
           2        0.74
           3    0.716667
           4      0.7175
           5       0.698
           6       0.685
           7    0.668571
           8     0.65125
           9    0.643333
          10       0.642
          11    0.629091
          12    0.626667
          13    0.623077
          14    0.621429
          15        0.62
          16    0.611875
          17    0.610588
          18    0.612222
          19    0.604737
          20       0.601
          21     0.60381
          22    0.601818
          23    0.599565
          24    0.598333
          25      0.5988
          26    0.600385
          27     0.60037
          28    0.603571
          29    0.603793
          30    0.601333
          31    0.598065
          32    0.597187
          33    0.592121
          34    0.592647
          35    0.587714
          36    0.588611
          37    0.588649
          38    0.588158
          39    0.586667
          40     0.58425
          41     0.58439
          42    0.584048
          43    0.580465
          44    0.581364
          45    0.580444
          46        0.58
          47    0.580426
          48    0.580417
          49        0.58
          50      0.5784
          51    0.578235
          52    0.577692
          53     0.57717
          54    0.576852
          55    0.576364
          56    0.576429
          57    0.575965
          58    0.576724
          59    0.577458
          60    0.577167
          61    0.576066
          62    0.576613
          63    0.576667
          64    0.575781
          65    0.576769
          66    0.574394
          67    0.575075
          68    0.574118
          69    0.574783
          70       0.576
          71    0.575211
          72    0.574722
          73    0.573973
          74    0.574865
          75      0.5756
          76       0.575
          77    0.575584
          78    0.575128
          79    0.575443
          80     0.57475
          81    0.574568
          82       0.575
          83    0.575542
          84    0.575238
          85    0.574706
          86    0.574535
          87    0.574828
          88    0.574205
          89    0.575281
          90    0.575111
          91    0.573846
          92     0.57337
          93    0.572366
          94    0.572128
          95    0.571368
          96    0.570833
          97    0.571443
          98    0.571837
          99    0.572626
         100       0.573
