#     BLOCK:  ACTUAL_POSITION:     POSITION_AVE:      ERROR:
           1     39.3662     39.3662           0
           2     24.8495     32.1079     5.13243
           3     14.3562     26.1906      5.9203
           4      5.9095     21.1203     6.24471
           5     2.26804     17.3499      6.0275
           6     1.35772     14.6845     5.58121
           7     1.28037     12.7696     5.10182
           8     1.45234      11.355     4.65609
           9      2.0692     10.3232     4.25153
          10     2.23666     9.51457     3.90252
          11      1.3593     8.77318     3.61749
          12     1.96779     8.20607     3.36019
          13     1.56852     7.69549     3.14026
          14     1.21117     7.23232     2.94992
          15     1.30729     6.83732     2.77958
          16     1.05943      6.4762     2.62921
          17      1.4522     6.18067      2.4911
          18     1.50001     5.92063     2.36624
          19     1.11551     5.66773     2.25518
          20     1.81666     5.47518     2.15062
          21     1.26999     5.27493     2.05751
          22      3.6294     5.20014     1.96535
          23     1.84698     5.05435      1.8853
          24      1.5142     4.90684     1.81251
          25     1.23069     4.75979     1.74596
          26     1.47934     4.63362     1.68336
          27     1.37012     4.51275     1.62535
          28     3.46978      4.4755     1.56773
          29     1.20327     4.36267     1.51772
          30      1.4102     4.26425     1.47032
          31     1.10414     4.16231     1.42642
          32     2.16806     4.09999      1.3832
          33     1.17069     4.01123     1.34413
          34     1.59545     3.94017     1.30648
          35    0.816087     3.85091     1.27219
          36     1.26219     3.77901     1.23889
          37     1.50256     3.71748     1.20693
          38     1.54952     3.66043     1.17652
          39     1.54592     3.60621      1.1476
          40      1.1082     3.54376      1.1206
          41     1.33827     3.48997     1.09456
          42     1.54209     3.44359     1.06948
          43       1.138     3.38997     1.04596
          44     1.49973     3.34701     1.02307
          45     1.18638       3.299     1.00146
          46     1.02236     3.24951    0.980909
          47     1.62605     3.21496    0.960646
          48     1.36845     3.17649    0.941403
          49     1.34719     3.13916     0.92293
          50     1.40188     3.10442    0.905126
          51     1.23122     3.06769    0.888123
          52     1.47273     3.03701    0.871573
          53     1.84933     3.01461    0.855416
          54     1.08354     2.97885    0.840323
          55     1.11239     2.94491    0.825729
          56     1.67212     2.92218    0.811296
          57       1.712     2.90095    0.797341
          58     2.10309     2.88719    0.783712
          59     1.36293     2.86136    0.770855
          60     1.09264     2.83188    0.758571
          61    0.950061     2.80103    0.746762
          62     2.66872      2.7989    0.734721
          63     1.65679     2.78077    0.723282
          64     1.20821      2.7562    0.712398
          65     1.77926     2.74117    0.701597
          66     1.08076     2.71601    0.691417
          67     1.40846     2.69649    0.681373
          68     1.10969     2.67316    0.671752
          69     2.74881     2.67425    0.662018
          70     1.95712     2.66401    0.652639
          71     1.48962     2.64747    0.643657
          72     1.25518     2.62813    0.635008
          73     1.42787     2.61169    0.626522
          74     2.14582     2.60539    0.618087
          75     1.79797     2.59463    0.609939
          76     1.63557     2.58201    0.602044
          77     1.38536     2.56647    0.594426
          78     1.35138     2.55089    0.587009
          79     1.37031     2.53595    0.579769
          80     1.14352     2.51854    0.572783
          81     1.15351     2.50169     0.56596
          82       2.156     2.49747    0.559073
          83     1.64273     2.48718    0.552432
          84     1.97561     2.48109    0.545889
          85     1.40485     2.46842    0.539614
          86     2.17468     2.46501     0.53335
          87     2.21538     2.46214    0.527228
          88     1.07414     2.44637    0.521472
          89     1.57007     2.43652    0.515706
          90     1.61348     2.42738    0.510057
          91     1.17973     2.41366    0.504636
          92     1.85284     2.40757    0.499188
          93    0.743647     2.38968    0.494141
          94     1.76924     2.38308    0.488928
          95     1.44269     2.37318    0.483882
          96     1.24391     2.36141    0.478984
          97     1.76312     2.35525    0.474086
          98     1.47913     2.34631    0.469332
          99     1.38828     2.33663    0.464691
         100      2.5449     2.33871    0.460049
