#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                 1          0.471244          0.471244                 0
                 2          0.370527          0.420886         0.0356087
                 3         0.0385813          0.293451          0.106724
                 4          0.501501          0.345463         0.0918468
                 5         0.0738306          0.291137         0.0880911
                 6          0.358865          0.302425         0.0741289
                 7          0.198833          0.287626         0.0649995
                 8          0.027253          0.255079         0.0645104
                 9          0.499976           0.28229         0.0628198
                10          0.355512          0.289612         0.0569629
                11          0.194005          0.280921         0.0524434
                12         0.0854158          0.264629         0.0505404
                13          0.316014          0.268581          0.046807
                14          0.381337          0.276635         0.0441511
                15         0.0561981           0.26194         0.0435849
                16          0.492384          0.276342         0.0431751
                17         0.0472661          0.262867         0.0426864
                18          0.436367          0.272506         0.0413889
                19          0.387884          0.278579         0.0396535
                20          0.146452          0.271972         0.0382172
                21          0.107011          0.264117         0.0371959
                22          0.313595          0.266366         0.0355731
                23          0.419615          0.273029         0.0346448
                24          0.122982          0.266777         0.0337607
                25          0.351163          0.270153         0.0325785
                26          0.153079           0.26565         0.0316352
                27          0.270734          0.265838          0.030464
                28         0.0460686          0.257989         0.0303703
                29          0.444985          0.264437         0.0299998
                30           0.14319          0.260396         0.0292708
                31         0.0168825           0.25254         0.0293617
                32         0.0884361          0.247412         0.0288885
                33          0.432655          0.253026         0.0285533
                34          0.192872          0.251256         0.0277682
                35         0.0310434          0.244965         0.0276785
                36          0.454114          0.250774         0.0275126
                37          0.321845          0.252695          0.026836
                38          0.458814          0.258119         0.0266723
                39          0.104664          0.254185          0.026277
                40         0.0714562          0.249616         0.0260142
                41         0.0357231          0.244399         0.0258975
                42         0.0259508          0.239198         0.0257979
                43         0.0361199          0.234475         0.0256266
                44          0.304226          0.236061         0.0250932
                45           0.19358          0.235117         0.0245533
                46          0.320605          0.236975         0.0240897
                47          0.186738          0.235906         0.0236009
                48           0.29831          0.237206          0.023145
                49          0.346353          0.239434         0.0227796
                50         0.0446539          0.235538         0.0226546
                51          0.181666          0.234482          0.022235
                52         0.0613172          0.231152         0.0220554
                53          0.483208          0.235908         0.0221461
                54         0.0659161           0.23276         0.0219586
                55         0.0677457          0.229759         0.0217633
                56          0.042373          0.226413         0.0216304
                57          0.095924          0.224124         0.0213717
                58          0.437579          0.227804         0.0213178
                59          0.269757          0.228515         0.0209683
                60           0.18441           0.22778         0.0206317
                61          0.215774          0.227583         0.0202944
                62          0.160649          0.226504         0.0199958
                63          0.171843          0.225636         0.0196972
                64          0.154742          0.224528         0.0194206
                65          0.371198          0.226785         0.0192524
                66          0.246071          0.227077         0.0189629
                67           0.26784          0.227685         0.0186897
                68          0.194968          0.227204          0.018421
                69          0.488594          0.230993         0.0185395
                70          0.324104          0.232323         0.0183223
                71         0.0422212          0.229645         0.0182588
                72         0.0815914          0.227589         0.0181206
                73          0.209556          0.227342         0.0178741
                74          0.168934          0.226553           0.01765
                75          0.285884          0.227344         0.0174324
                76          0.103616          0.225716         0.0172788
                77         0.0441743          0.223358         0.0172145
                78         0.0638759          0.221313         0.0171148
                79          0.266913          0.221891         0.0169079
                80           0.15571          0.221063         0.0167168
                81          0.208785          0.220912         0.0165111
                82          0.124239          0.219733         0.0163518
                83          0.263441          0.220259         0.0161632
                84           0.26668          0.220812         0.0159803
                85          0.344162          0.222263          0.015858
                86          0.166145          0.221611          0.015687
                87          0.196036          0.221317         0.0155095
                88          0.407334          0.223431         0.0154766
                89          0.520459          0.226768         0.0156584
                90         0.0504215          0.224809         0.0156066
                91           0.21477          0.224698         0.0154355
                92          0.160649          0.224002         0.0152834
                93          0.637479          0.228448         0.0157524
                94          0.409121           0.23037         0.0157017
                95          0.267638          0.230762         0.0155413
                96          0.283113          0.231308          0.015389
                97          0.109918          0.230056         0.0152811
                98           0.43845          0.232183         0.0152724
                99         0.0813807          0.230659         0.0151939
               100          0.602219          0.234375         0.0154897
