#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                 1           85.3944           85.3944                 0
                 2           83.4501           84.4222          0.687421
                 3           99.5979           89.4808           4.15564
                 4           73.1896            85.408           4.70689
                 5           98.5435           88.0351           4.43851
                 6           83.3226           87.2497           3.76761
                 7           94.3405           88.2627            3.3628
                 8            99.717           89.6944           3.23292
                 9           68.9122           87.3853           3.60526
                10            84.624           87.1092           3.25529
                11            92.855           87.6315           3.00097
                12           98.1102           88.5047           2.87513
                13           85.5162           88.2749           2.66314
                14           81.0779           87.7608           2.52204
                15           99.2805           88.5288           2.46807
                16           60.7936           86.7953           2.85846
                17           99.1685           87.5232           2.78143
                18           53.6984            85.644           3.19932
                19           80.7904           85.3885           3.04112
                20           95.7914           85.9087           2.93321
                21           98.0269           86.4857           2.84973
                22           87.3142           86.5234           2.72044
                23           74.9834           86.0217           2.64803
                24           97.8726           86.5155           2.58332
                25           89.7176           86.6435           2.48316
                26           96.5754           87.0255           2.41686
                27           91.1331           87.1777           2.33213
                28           98.8912            87.596           2.28605
                29           65.0957           86.8201           2.33518
                30           96.1765            87.132           2.27807
                31           99.8611           87.5426           2.24129
                32           98.7523           87.8929           2.19845
                33           77.8357           87.5882           2.15285
                34           94.1253           87.7804            2.0981
                35           99.6784           88.1204           2.06551
                36            73.092           87.7029           2.04989
                37           83.9717           87.6021           1.99696
                38           75.3861           87.2806           1.97012
                39           97.8608           87.5519           1.93819
                40           98.2952           87.8205           1.90825
                41           99.4867            88.105           1.88281
                42           99.7405            88.382           1.85825
                43           99.6104           88.6432           1.83329
                44           85.1104           88.5629           1.79338
                45            94.288           88.6901           1.75803
                46           85.7768           88.6268           1.72095
                47           94.5147           88.7521           1.68889
                48           87.7811           88.7318           1.65383
                49           83.9066           88.6333           1.62301
                50           99.5618           88.8519            1.6052
                51           95.5221           88.9827           1.57904
                52           99.1501           89.1782           1.56073
                53           83.0981           89.0635           1.53549
                54           99.2614           89.2524           1.51863
                55           98.6453           89.4231           1.50059
                56           99.5336           89.6037           1.48461
                57           97.9019           89.7493           1.46569
                58            78.761           89.5598           1.45261
                59           87.7331           89.5289           1.42832
                60           93.6845           89.5981           1.40619
                61           93.6184            89.664           1.38468
                62           95.4974           89.7581           1.36554
                63            94.379           89.8315           1.34584
                64           94.6008            89.906           1.32687
                65           86.2299           89.8494           1.30766
                66            95.329           89.9324           1.29048
                67           86.3414           89.8788           1.27233
                68           92.8781            89.923           1.25439
                69             43.18           89.2455           1.40729
                70            95.383           89.3332           1.38992
                71           99.5774           89.4775           1.37781
                72           98.1514            89.598           1.36393
                73           93.9398           89.6574           1.34654
                74           95.9688           89.7427           1.33104
                75           90.3728           89.7511           1.31332
                76           98.3947           89.8649           1.30096
                77           99.4379           89.9892           1.28999
                78           98.6291           90.0999            1.2782
                79           89.4832           90.0921           1.26204
                80           97.9744           90.1907           1.25011
                81           92.9691            90.225           1.23514
                82           96.5453            90.302           1.22248
                83           92.7014            90.331            1.2081
                84           90.1854           90.3292           1.19372
                85           91.1194           90.3385           1.17971
                86           94.1683           90.3831           1.16683
                87           94.8256           90.4341           1.15454
                88           64.4101           90.1384           1.17868
                89           52.8613           89.7195           1.23762
                90           99.2643           89.8256           1.22841
                91           93.7222           89.8684           1.21565
                92           94.6605           89.9205           1.20355
                93           74.3182           89.7527           1.20225
                94             72.98           89.5743           1.20263
                95           90.0971           89.5798           1.18998
                96           87.0987            89.554           1.17787
                97           98.0918            89.642           1.16901
                98           70.5862           89.4475           1.17314
                99           98.6944           89.5409             1.165
               100           81.9662           89.4652           1.15581
