#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                 1              0.44              0.44                 0
                 2              0.16               0.3         0.0989949
                 3              0.32          0.306667         0.0662207
                 4               0.2              0.28         0.0547723
                 5              0.16             0.256         0.0487934
                 6              0.24          0.253333          0.040734
                 7              0.16              0.24         0.0370328
                 8              0.04             0.215         0.0399609
                 9              0.16          0.208889         0.0359851
                10              0.16             0.204          0.032717
                11              0.24          0.207273         0.0299059
                12               0.2          0.206667         0.0274199
                13              0.32          0.215385         0.0266606
                14              0.52          0.237143         0.0324419
                15              0.56          0.258667         0.0367317
                16              0.56            0.2775         0.0389661
                17               0.6          0.296471         0.0410329
                18              0.48          0.306667              0.04
                19              0.48          0.315789         0.0389212
                20              0.56             0.328         0.0388433
                21              0.64          0.342857         0.0397335
                22              0.64          0.356364         0.0401575
                23              0.52          0.363478         0.0390366
                24              0.44          0.366667         0.0375401
                25               0.4             0.368         0.0360622
                26              0.36          0.367692         0.0346765
                27              0.36          0.367407         0.0333933
                28              0.32          0.365714         0.0322436
                29              0.24          0.361379         0.0314218
                30              0.28          0.358667         0.0304913
                31              0.44           0.36129         0.0296204
                32              0.36           0.36125         0.0286947
                33              0.44          0.363636         0.0279243
                34              0.48          0.367059         0.0273119
                35              0.56          0.372571         0.0270822
                36              0.56          0.377778         0.0268257
                37              0.64          0.384865         0.0270206
                38               0.6          0.390526         0.0268961
                39              0.44          0.391795         0.0262363
                40               0.4             0.392         0.0255812
                41              0.44          0.393171         0.0249841
                42              0.48          0.395238         0.0244746
                43               0.4          0.395349         0.0239057
                44               0.4          0.395455         0.0233626
                45              0.36          0.394667         0.0228567
                46              0.44          0.395652         0.0223811
                47              0.52          0.398298         0.0220607
                48              0.44          0.399167         0.0216182
                49              0.36          0.398367         0.0211918
                50              0.44            0.3992         0.0207843
                51              0.48          0.400784         0.0204371
                52              0.48          0.402308         0.0201007
                53              0.52          0.404528         0.0198438
                54              0.48          0.405926         0.0195254
                55              0.48          0.407273         0.0192168
                56               0.4          0.407143         0.0188741
                57              0.36          0.406316         0.0185611
                58              0.32          0.404828         0.0183006
                59              0.32           0.40339         0.0180468
                60              0.36          0.402667         0.0177605
                61              0.32          0.401311          0.017521
                62              0.32               0.4         0.0172874
                63              0.32           0.39873         0.0170596
                64              0.32            0.3975         0.0168373
                65              0.44          0.398154          0.016591
                66              0.44          0.398788         0.0163517
                67               0.4          0.398806         0.0161077
                68              0.32          0.397647         0.0159124
                69              0.32          0.396522         0.0157216
                70              0.24          0.394286         0.0156552
                71              0.24          0.392113         0.0155848
                72              0.32          0.391111         0.0154005
                73              0.32          0.390137         0.0152203
                74              0.36           0.38973           0.01502
                75              0.24          0.387733         0.0149519
                76              0.28          0.386316         0.0148222
                77               0.4          0.386494         0.0146307
                78              0.44          0.387179         0.0144592
                79              0.36          0.386835         0.0142803
                80              0.36            0.3865         0.0141057
                81              0.36          0.386173         0.0139354
                82               0.4          0.386341         0.0137665
                83              0.48           0.38747         0.0136468
                84              0.52          0.389048         0.0135752
                85              0.64             0.392         0.0137328
                86              0.68          0.395349         0.0139755
                87              0.76           0.39954         0.0144297
                88              0.64          0.402273         0.0145221
                89              0.68          0.405393         0.0146904
                90              0.72          0.408889         0.0149373
                91              0.76          0.412747         0.0152633
                92              0.72          0.416087         0.0154585
                93               0.8          0.420215         0.0158338
                94              0.88          0.425106         0.0164035
                95                 1          0.431158         0.0173111
                96                 1          0.437083         0.0181166
                97                 1          0.442887         0.0188364
                98                 1          0.448571         0.0194831
                99                 1          0.454141         0.0200667
               100                 1            0.4596         0.0205951
               101                 1           0.46495         0.0210748
               102                 1          0.470196         0.0215111
               103                 1           0.47534         0.0219086
               104                 1          0.480385         0.0222712
               105                 1          0.485333         0.0226022
               106                 1          0.490189         0.0229045
               107                 1          0.494953         0.0231807
               108                 1           0.49963          0.023433
               109                 1           0.50422         0.0236634
               110                 1          0.508727         0.0238737
               111                 1          0.513153         0.0240653
               112                 1            0.5175         0.0242399
               113                 1           0.52177         0.0243985
               114                 1          0.525965         0.0245425
               115                 1          0.530087         0.0246728
               116                 1          0.534138         0.0247905
               117                 1           0.53812         0.0248963
               118                 1          0.542034         0.0249911
               119                 1          0.545882         0.0250757
               120                 1          0.549667         0.0251506
               121                 1          0.553388         0.0252166
               122                 1          0.557049         0.0252743
               123                 1           0.56065         0.0253241
               124                 1          0.564194         0.0253665
               125                 1           0.56768          0.025402
               126                 1          0.571111         0.0254311
               127                 1          0.574488         0.0254541
               128                 1          0.577812         0.0254714
               129                 1          0.581085         0.0254833
               130                 1          0.584308         0.0254902
               131                 1          0.587481         0.0254924
               132                 1          0.590606         0.0254901
               133                 1          0.593684         0.0254836
               134                 1          0.596716         0.0254732
               135                 1          0.599704         0.0254591
               136                 1          0.602647         0.0254414
               137                 1          0.605547         0.0254205
               138                 1          0.608406         0.0253965
               139                 1          0.611223         0.0253696
               140                 1             0.614         0.0253399
               141                 1          0.616738         0.0253076
               142                 1          0.619437         0.0252729
               143                 1          0.622098         0.0252359
               144                 1          0.624722         0.0251967
               145                 1           0.62731         0.0251555
               146                 1          0.629863         0.0251124
               147                 1          0.632381         0.0250675
               148                 1          0.634865         0.0250209
               149                 1          0.637315         0.0249727
               150                 1          0.639733          0.024923
               151                 1          0.642119         0.0248719
               152                 1          0.644474         0.0248194
               153                 1          0.646797         0.0247657
               154                 1          0.649091         0.0247109
               155                 1          0.651355          0.024655
               156                 1           0.65359          0.024598
               157                 1          0.655796         0.0245401
               158                 1          0.657975         0.0244813
               159                 1          0.660126         0.0244216
               160                 1           0.66225         0.0243612
               161                 1          0.664348         0.0243001
               162                 1           0.66642         0.0242382
               163                 1          0.668466         0.0241758
               164                 1          0.670488         0.0241127
               165                 1          0.672485         0.0240491
               166                 1          0.674458         0.0239851
               167                 1          0.676407         0.0239205
               168                 1          0.678333         0.0238556
               169                 1          0.680237         0.0237902
               170                 1          0.682118         0.0237245
               171                 1          0.683977         0.0236585
               172                 1          0.685814         0.0235922
               173                 1           0.68763         0.0235256
               174                 1          0.689425         0.0234588
               175                 1            0.6912         0.0233918
               176                 1          0.692955         0.0233246
               177                 1          0.694689         0.0232572
               178                 1          0.696404         0.0231897
               179                 1          0.698101         0.0231221
               180                 1          0.699778         0.0230544
               181                 1          0.701436         0.0229866
               182                 1          0.703077         0.0229188
               183                 1          0.704699         0.0228509
               184                 1          0.706304          0.022783
               185                 1          0.707892         0.0227151
               186                 1          0.709462         0.0226472
               187                 1          0.711016         0.0225793
               188                 1          0.712553         0.0225115
               189                 1          0.714074         0.0224437
               190                 1          0.715579          0.022376
               191                 1          0.717068         0.0223083
               192                 1          0.718542         0.0222407
               193                 1              0.72         0.0221733
               194                 1          0.721443         0.0221059
               195                 1          0.722872         0.0220386
               196                 1          0.724286         0.0219715
               197                 1          0.725685         0.0219045
               198                 1          0.727071         0.0218376
               199                 1          0.728442         0.0217709
               200                 1            0.7298         0.0217044
               201                 1          0.731144          0.021638
               202                 1          0.732475         0.0215718
               203                 1          0.733793         0.0215057
               204                 1          0.735098         0.0214398
               205                 1           0.73639         0.0213742
               206                 1           0.73767         0.0213087
               207                 1          0.738937         0.0212434
               208                 1          0.740192         0.0211783
               209                 1          0.741435         0.0211134
               210                 1          0.742667         0.0210488
               211                 1          0.743886         0.0209843
               212                 1          0.745094         0.0209201
               213                 1          0.746291          0.020856
               214                 1          0.747477         0.0207923
               215                 1          0.748651         0.0207287
               216                 1          0.749815         0.0206654
               217                 1          0.750968         0.0206023
               218                 1           0.75211         0.0205394
               219                 1          0.753242         0.0204768
               220                 1          0.754364         0.0204144
               221                 1          0.755475         0.0203523
               222                 1          0.756577         0.0202904
               223                 1          0.757668         0.0202287
               224                 1           0.75875         0.0201673
               225                 1          0.759822         0.0201062
               226                 1          0.760885         0.0200453
               227                 1          0.761938         0.0199846
               228                 1          0.762982         0.0199242
               229                 1          0.764017         0.0198641
               230                 1          0.765043         0.0198042
               231                 1          0.766061         0.0197446
               232                 1          0.767069         0.0196852
               233                 1          0.768069         0.0196261
               234                 1           0.76906         0.0195672
               235                 1          0.770043         0.0195086
               236                 1          0.771017         0.0194503
               237                 1          0.771983         0.0193922
               238                 1          0.772941         0.0193344
               239                 1          0.773891         0.0192768
               240                 1          0.774833         0.0192195
               241                 1          0.775768         0.0191624
               242                 1          0.776694         0.0191056
               243                 1          0.777613         0.0190491
               244                 1          0.778525         0.0189928
               245                 1          0.779429         0.0189368
               246                 1          0.780325          0.018881
               247                 1          0.781215         0.0188255
               248                 1          0.782097         0.0187703
               249                 1          0.782972         0.0187153
               250                 1           0.78384         0.0186606
               251                 1          0.784701         0.0186061
               252                 1          0.785556         0.0185518
