#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                 1           32.2667           32.2667                 0
                 2           4.26667           18.2667           9.89949
                 3           17.0667           17.8667           6.60774
                 4           6.66667           15.0667           5.51725
                 5           4.26667           12.9067            4.8181
                 6               9.6           12.3556           4.04648
                 7           4.26667              11.2           3.62966
                 8          0.266667           9.83333           3.42359
                 9           4.26667           9.21481           3.09856
                10           4.26667              8.72           2.82794
                11               9.6               8.8           2.57198
                12           6.66667           8.62222           2.36379
                13           17.0667           9.27179           2.26945
                14           45.0667           11.8286           3.24208
                15           52.2667           14.5244           3.99244
                16           52.2667           16.8833           4.38474
                17                60           19.4196           4.80467
                18              38.4           20.4741           4.65202
                19              38.4           21.4175           4.50183
                20           52.2667             22.96           4.53329
                21           68.2667           25.1175           4.80345
                22           68.2667           27.0788           4.96942
                23           45.0667           27.8609           4.81451
                24           32.2667           28.0444            4.6174
                25           26.6667           27.9893           4.43304
                26              21.6           27.7436           4.26934
                27              21.6            27.516           4.11728
                28           17.0667           27.1429           3.98711
                29               9.6           26.5379           3.89524
                30           13.0667           26.0889           3.79119
                31           32.2667           26.2882           3.67413
                32              21.6           26.1417           3.56223
                33           32.2667           26.3273           3.45912
                34              38.4           26.6824           3.37556
                35           52.2667           27.4133           3.35733
                36           52.2667           28.1037           3.33429
                37           68.2667           29.1892            3.4163
                38                60                30           3.42126
                39           32.2667           30.0581           3.33403
                40           26.6667           29.9733           3.25176
                41           32.2667           30.0293           3.17293
                42              38.4           30.2286           3.10364
                43           26.6667           30.1457           3.03256
                44           26.6667           30.0667           2.96467
                45              21.6           29.8785           2.90476
                46           32.2667           29.9304           2.84207
                47           45.0667           30.2525           2.79979
                48           32.2667           30.2944           2.74177
                49              21.6            30.117           2.69156
                50           32.2667             30.16           2.63807
                51              38.4           30.3216           2.59128
                52              38.4           30.4769            2.5461
                53           45.0667           30.7522            2.5129
                54              38.4           30.8938           2.47035
                55              38.4           31.0303           2.42921
                56           26.6667           30.9524           2.38708
                57              21.6           30.7883           2.35083
                58           17.0667           30.5517           2.32217
                59           17.0667           30.3232           2.29403
                60              21.6           30.1778            2.2604
                61           17.0667           29.9628           2.23354
                62           17.0667           29.7548           2.20718
                63           17.0667           29.5534           2.18132
                64           17.0667           29.3583           2.15594
                65           32.2667           29.4031           2.12324
                66           32.2667           29.4465           2.09151
                67           26.6667            29.405            2.0607
                68           17.0667           29.2235           2.03837
                69           17.0667           29.0473           2.01643
                70               9.6           28.7695           2.00667
                71               9.6           28.4995           1.99649
                72           17.0667           28.3407           1.97507
                73           17.0667           28.1863           1.95404
                74              21.6           28.0973           1.92966
                75               9.6           27.8507           1.91963
                76           13.0667           27.6561            1.9042
                77           26.6667           27.6433           1.87951
                78           32.2667           27.7026           1.85635
                79              21.6           27.6253           1.83446
                80              21.6             27.55           1.81307
                81              21.6           27.4765           1.79218
                82           26.6667           27.4667           1.77035
                83              38.4           27.5984           1.75391
                84           45.0667           27.8063           1.74532
                85           68.2667           28.2824           1.78852
                86           77.0667           28.8496            1.8555
                87           96.2667           29.6245           1.98941
                88           68.2667           30.0636           2.01469
                89           77.0667           30.5918           2.06011
                90              86.4           31.2119            2.1285
                91           96.2667           31.9267           2.22192
                92              86.4           32.5188           2.27529
                93           106.667           33.3161           2.38643
                94           129.067           34.3348           2.56926
                95           166.667           35.7277            2.8953
                96           166.667           37.0917           3.17018
                97           166.667           38.4275           3.40733
                98           166.667           39.7361           3.61511
                99           166.667           41.0182           3.79916
               100           166.667           42.2747            3.9635
               101           166.667           43.5063           4.11116
               102           166.667           44.7137           4.24447
               103           166.667           45.8977           4.36528
               104           166.667            47.059           4.47509
               105           166.667           48.1981           4.57516
               106           166.667           49.3157           4.66651
               107           166.667           50.4125           4.75003
               108           166.667           51.4889           4.82647
               109           166.667           52.5456            4.8965
               110           166.667            53.583           4.96067
               111           166.667           54.6018           5.01951
               112           166.667           55.6024           5.07344
               113           166.667           56.5853           5.12286
               114           166.667           57.5509           5.16813
               115           166.667           58.4997           5.20956
               116           166.667           59.4322           5.24744
               117           166.667           60.3487           5.28202
               118           166.667           61.2497           5.31355
               119           166.667           62.1356           5.34223
               120           166.667           63.0067           5.36826
               121           166.667           63.8634           5.39182
               122           166.667            64.706           5.41307
               123           166.667            65.535           5.43216
               124           166.667           66.3505           5.44924
