#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                 1              0.56              0.56                 0
                 2              0.28              0.42         0.0989949
                 3              0.48              0.44         0.0679869
                 4              0.32              0.41         0.0572276
                 5              0.24             0.376         0.0549618
                 6              0.32          0.366667         0.0465872
                 7              0.28          0.354286         0.0415445
                 8               0.2             0.335         0.0405817
                 9               0.2              0.32         0.0387458
                10               0.2             0.308         0.0366824
                11              0.24          0.301818         0.0338645
                12              0.24          0.296667         0.0314319
                13              0.32          0.298462         0.0290652
                14              0.52          0.314286         0.0309989
                15              0.56          0.330667         0.0329777
                16              0.52            0.3425         0.0329713
                17              0.52          0.352941         0.0326432
                18               0.4          0.355556         0.0309342
                19               0.4          0.357895         0.0293944
                20              0.48             0.364         0.0285517
                21               0.6          0.375238         0.0293205
                22              0.64          0.387273         0.0303573
                23              0.44          0.389565         0.0291238
                24               0.4              0.39         0.0279136
                25               0.4            0.3904         0.0267999
                26               0.2          0.383077         0.0267509
                27              0.28          0.379259         0.0260311
                28              0.24          0.374286         0.0255722
                29              0.24          0.369655         0.0251061
                30              0.32             0.368         0.0243237
                31              0.36          0.367742         0.0235405
                32              0.36            0.3675         0.0228061
                33              0.28          0.364848         0.0222686
                34              0.44          0.367059         0.0217231
                35              0.36          0.366857         0.0211033
                36              0.36          0.366667          0.020518
                37              0.44          0.368649         0.0200589
                38              0.44          0.370526         0.0196188
                39              0.36          0.370256         0.0191176
                40              0.32             0.369         0.0186809
                41               0.4          0.369756         0.0182405
                42              0.44          0.371429         0.0178827
                43              0.52          0.374884         0.0177975
                44              0.56          0.379091         0.0178834
                45              0.56          0.383111         0.0179322
                46              0.56          0.386957         0.0179499
                47              0.84          0.396596         0.0199893
                48              0.88          0.406667         0.0219638
                49              0.88          0.416327         0.0235441
                50              0.92            0.4264          0.025136
                51               0.8          0.433725         0.0256885
                52              0.84          0.441538         0.0263558
                53              0.84          0.449057         0.0269095
                54               0.8          0.455556         0.0271846
                55              0.88          0.463273         0.0277641
                56              0.88          0.470714          0.028248
                57               0.8          0.476491          0.028337
                58              0.84          0.482759         0.0285331
                59              0.84          0.488814         0.0286847
                60              0.88          0.495333         0.0289381
                61              0.92          0.502295         0.0292892
                62              0.96          0.509677         0.0297326
                63              0.92           0.51619         0.0299655
                64                 1           0.52375         0.0304359
                65                 1          0.531077         0.0308369
                66                 1          0.538182         0.0311775
                67              0.88          0.543284         0.0311267
                68              0.84          0.547647         0.0309733
                69              0.72          0.550145          0.030625
                70               0.8          0.553714         0.0303948
                71              0.72          0.556056         0.0300568
