#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                 1             15.68             15.68                 0
                 2              3.92               9.8           4.15779
                 3             11.52           10.3733           2.81111
                 4              5.12              9.06           2.39556
                 5              2.88             7.824           2.21245
                 6              5.12           7.37333           1.88905
                 7              3.92              6.88           1.68237
                 8                 2              6.27           1.57879
                 9                 2           5.79556           1.47294
                10                 2             5.416           1.37367
                11              2.88           5.18545           1.26799
                12              2.88           4.99333           1.17679
                13              5.12           5.00308           1.08631
                14             13.52           5.61143           1.16669
                15             15.68           6.28267           1.26738
                16             13.52             6.735           1.26632
                17             13.52           7.13412           1.25315
                18                 8           7.18222           1.18445
                19                 8           7.22526           1.12289
                20             11.52              7.44           1.08709
                21                18           7.94286           1.14574
                22             20.48           8.51273           1.22722
                23              9.68           8.56348           1.17492
                24                 8              8.54            1.1262
                25                 8            8.5184           1.08135
                26                 2           8.26769           1.06843
                27              3.92           8.10667           1.04092
                28              2.88              7.92           1.02035
                29              2.88           7.74621          0.999855
                30              5.12           7.65867          0.970351
                31              6.48           7.62065          0.939794
                32              6.48             7.585          0.911101
                33              3.92           7.47394          0.890235
                34              9.68           7.53882          0.866413
                35              6.48           7.50857          0.842187
                36              6.48              7.48          0.819277
                37              9.68           7.53946          0.799289
                38              9.68           7.59579          0.780238
                39              6.48           7.56718          0.760756
                40              5.12             7.506          0.744193
                41                 8           7.51805          0.726139
                42              9.68           7.56952          0.710673
                43             13.52           7.70791           0.70749
                44             15.68           7.88909          0.714234
                45             15.68           8.06222           0.71904
                46             15.68           8.22783          0.722227
                47             35.28            8.8034          0.907686
                48             38.72           9.42667            1.0818
                49             38.72           10.0245           1.21372
                50             42.32           10.6704           1.35042
                51                32           11.0886           1.38719
                52             35.28           11.5538           1.43641
                53             35.28           12.0015           1.47742
                54                32           12.3719           1.49575
                55             38.72           12.8509           1.54337
                56             38.72           13.3129           1.58343
                57                32           13.6407           1.58923
                58             35.28           14.0138           1.60503
                59             35.28           14.3742           1.61779
                60             38.72             14.78           1.64092
                61             42.32           15.2315           1.67498
                62             46.08            15.729           1.72028
                63             42.32           16.1511           1.74398
                64                50             16.68           1.79514
                65                50           17.1926           1.83926
                66                50           17.6897           1.87736
                67             38.72           18.0036            1.8754
                68             35.28           18.2576           1.86495
                69             25.92           18.3687           1.84122
                70                32           18.5634           1.82519
                71             25.92            18.667           1.80242
                72             20.48           18.6922           1.77756
                73             13.52           18.6214           1.75462
                74                18            18.613           1.73093
