#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1             -0.52             -0.52                 0
                 2             -0.52             -0.52                 0
                 3             -0.68         -0.573333         0.0435465
                 4             -0.68              -0.6              0.04
                 5             -0.76            -0.632         0.0429325
                 6             -0.68             -0.64         0.0365148
                 7             -0.76         -0.657143         0.0350925
                 8             -0.76             -0.67         0.0329773
                 9             -0.84         -0.688889         0.0342988
                10             -0.76            -0.696         0.0315975
                11             -0.84         -0.709091         0.0313196
                12             -0.76         -0.713333         0.0289955
                13             -0.84         -0.723077          0.028355
                14             -0.84         -0.731429         0.0275321
                15             -0.84         -0.738667         0.0266311
                16             -0.76             -0.74             0.025
                17             -0.76         -0.741176         0.0235571
                18             -0.76         -0.742222         0.0222716
                19             -0.76         -0.743158          0.021119
                20             -0.76            -0.744         0.0200798
                21             -0.76         -0.744762         0.0191381
                22             -0.68         -0.741818         0.0184932
                23             -0.76         -0.742609          0.017706
                24             -0.68             -0.74         0.0171594
                25             -0.76           -0.7408         0.0164916
                26             -0.68         -0.738462         0.0160223
                27             -0.68         -0.736296         0.0155745
                28             -0.68         -0.734286         0.0151475
                29             -0.76         -0.735172         0.0146511
                30             -0.68         -0.733333         0.0142777
                31             -0.68         -0.731613         0.0139204
                32              -0.6           -0.7275         0.0140799
                33             -0.68         -0.726061         0.0137266
                34             -0.68         -0.724706         0.0133895
                35             -0.68         -0.723429         0.0130678
                36             -0.68         -0.722222         0.0127603
                37             -0.76         -0.723243         0.0124562
                38             -0.76         -0.724211         0.0121659
                39             -0.84         -0.727179         0.0122109
                40             -0.84             -0.73          0.012227
                41             -0.76         -0.730732         0.0119507
                42             -0.76         -0.731429         0.0116864
                43             -0.76         -0.732093         0.0114335
                44             -0.68         -0.730909         0.0112348
                45             -0.68         -0.729778          0.011042
                46             -0.76         -0.730435         0.0108214
                47             -0.84         -0.732766         0.0108394
                48             -0.84            -0.735         0.0108413
                49             -0.92         -0.738776         0.0112583
                50             -0.92           -0.7424         0.0116019
                51             -0.84         -0.744314         0.0115312
                52             -0.84         -0.746154         0.0114553
                53             -0.84         -0.747925         0.0113752
                54             -0.84          -0.74963         0.0112916
                55             -0.92         -0.752727         0.0115034
                56             -0.92         -0.755714         0.0116793
                57             -0.76         -0.755789         0.0114747
                58             -0.84         -0.757241         0.0113683
                59             -0.84         -0.758644         0.0112618
                60             -0.84             -0.76         0.0111555
                61             -0.92         -0.762623         0.0112767
                62             -0.92         -0.765161          0.011377
                63             -0.92         -0.767619         0.0114588
                64                -1          -0.77125          0.011841
                65                -1         -0.774769         0.0121706
                66                -1         -0.778182         0.0124554
