#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                 1              38.4              38.4                 0
                 2                60              49.2           7.63675
                 3           45.0667           47.8222           5.21397
                 4              21.6           41.2667           6.89372
                 5           26.6667           38.3467           6.10214
                 6              38.4           38.3556           5.08512
                 7              38.4           38.3619           4.35868
                 8              38.4           38.3667           3.81385
                 9           52.2667           39.9111           3.68957
                10           45.0667           40.4267           3.35644
                11              21.6           38.7152           3.46027
                12              21.6           37.2889           3.45337
                13           26.6667           36.4718           3.28297
                14           52.2667              37.6           3.23653
                15              38.4           37.6533            3.0212
                16                60             39.05           3.13865
                17           45.0667           39.4039           2.97391
                18           52.2667           40.1185           2.89327
                19           45.0667           40.3789           2.75269
                20           52.2667           40.9733           2.67846
                21           52.2667           41.5111           2.60434
                22                60           42.3515           2.61805
                23           52.2667           42.7826           2.53947
                24           45.0667           42.8778           2.43544
                25              38.4           42.6987            2.3446
                26           52.2667           43.0667           2.28312
                27           52.2667           43.4074           2.22384
                28                60                44           2.22197
                29           52.2667           44.2851           2.16356
                30           68.2667           45.0844           2.23424
                31           52.2667           45.3161           2.17415
                32                60            45.775           2.15409
                33                60           46.2061            2.1315
                34           77.0667           47.1137            2.2538
                35              86.4           48.2362           2.45304
                36           106.667           49.8593            2.8721
                37           96.2667           51.1135           3.05609
                38             117.6           52.8632           3.44025
                39           141.067           55.1248            4.0274
                40           166.667           57.9133            4.7959
                41           166.667           60.5659           5.36252
                42           166.667           63.0921           5.79943
                43           166.667           65.5008           6.14444
                44           166.667              67.8           6.42058
                45           166.667            69.997           6.64318
                46           166.667           72.0986           6.82306
                47           166.667           74.1106           6.96826
                48           166.667           76.0389           7.08486
                49           166.667           77.8884           7.17763
                50           166.667            79.664           7.25036
                51           166.667           81.3699           7.30614
                52           166.667           83.0103           7.34746
                53           166.667           84.5887           7.37643
                54           166.667           86.1086           7.39477
                55           166.667           87.5733           7.40395
                56           166.667           88.9857           7.40523
                57           166.667           90.3485           7.39965
                58           166.667           91.6644           7.38814
                59           166.667           92.9356           7.37147
                60           166.667           94.1644           7.35033
                61           166.667            95.353            7.3253
                62           166.667           96.5032           7.29689
                63           166.667           97.6169           7.26556
                64           166.667           98.6958            7.2317
                65           166.667           99.7415           7.19565
                66           166.667           100.756           7.15772
                67           166.667           101.739           7.11817
                68           166.667           102.694           7.07724
                69           166.667           103.621           7.03513
                70           166.667           104.522           6.99205
                71           166.667           105.397           6.94813
                72           166.667           106.248           6.90355
                73           166.667           107.076           6.85841
                74           166.667           107.881           6.81284
                75           166.667           108.665           6.76694
                76           166.667           109.428            6.7208
                77           166.667           110.171            6.6745
                78           166.667           110.896           6.62811
                79           166.667           111.602            6.5817
                80           166.667            112.29           6.53532
                81           166.667           112.961           6.48903
                82           166.667           113.616           6.44286
                83           166.667           114.255           6.39686
                84           166.667           114.879           6.35106
                85           166.667           115.489            6.3055
                86           166.667           116.084            6.2602
                87           166.667           116.665           6.21518
                88           166.667           117.233           6.17048
                89           166.667           117.789           6.12609
                90           166.667           118.332           6.08205
                91           166.667           118.863           6.03836
                92           166.667           119.383           5.99504
                93           166.667           119.891            5.9521
                94           166.667           120.389           5.90954
                95           166.667           120.876           5.86738
                96           166.667           121.353           5.82562
                97           166.667            121.82           5.78426
                98           166.667           122.278           5.74331
                99           166.667           122.726           5.70277
               100           166.667           123.165           5.66265
               101           166.667           123.596           5.62294
               102           166.667           124.018           5.58365
               103           166.667           124.432           5.54477
               104           166.667           124.838            5.5063
               105           166.667           125.237           5.46825
               106           166.667           125.628           5.43062
               107           166.667           126.011           5.39339
               108           166.667           126.388           5.35657
               109           166.667           126.757           5.32016
               110           166.667            127.12           5.28415
               111           166.667           127.476           5.24854
               112           166.667           127.826           5.21333
               113           166.667            128.17           5.17852
               114           166.667           128.508           5.14409
               115           166.667           128.839           5.11005
               116           166.667           129.166           5.07639
               117           166.667           129.486           5.04311
               118           166.667           129.801           5.01021
               119           166.667           130.111           4.97767
               120           166.667           130.416            4.9455
               121           166.667           130.715            4.9137
               122           166.667            131.01           4.88225
               123           166.667             131.3           4.85116
               124           166.667           131.585           4.82041
               125           166.667           131.866           4.79001
               126           166.667           132.142           4.75995
               127           166.667           132.414           4.73023
               128           166.667           132.681           4.70084
               129           166.667           132.945           4.67177
               130           166.667           133.204           4.64303
               131           166.667            133.46           4.61461
               132           166.667           133.711            4.5865
               133           166.667           133.959           4.55871
               134           166.667           134.203           4.53122
               135           166.667           134.443           4.50403
               136           166.667            134.68           4.47714
               137           166.667           134.914           4.45054
               138           166.667           135.144           4.42424
               139           166.667           135.371           4.39822
               140           166.667           135.594           4.37248
               141           166.667           135.815           4.34702
               142           166.667           136.032           4.32183
               143           166.667           136.246           4.29691
               144           166.667           136.457           4.27226
               145           166.667           136.666           4.24788
               146           166.667           136.871           4.22375
               147           166.667           137.074           4.19988
               148           166.667           137.274           4.17626
               149           166.667           137.471           4.15288
               150           166.667           137.666           4.12976
               151           166.667           137.858           4.10687
               152           166.667           138.047           4.08422
               153           166.667           138.234           4.06181
               154           166.667           138.419           4.03963
               155           166.667           138.601           4.01767
               156           166.667           138.781           3.99595
               157           166.667           138.959           3.97444
               158           166.667           139.134           3.95315
               159           166.667           139.307           3.93208
               160           166.667           139.478           3.91122
               161           166.667           139.647           3.89057
               162           166.667           139.814           3.87013
               163           166.667           139.979           3.84989
               164           166.667           140.141           3.82985
               165           166.667           140.302           3.81001
               166           166.667           140.461           3.79037
               167           166.667           140.618           3.77092
               168           166.667           140.773           3.75166
               169           166.667           140.926           3.73259
               170           166.667           141.078            3.7137
               171           166.667           141.227             3.695
               172           166.667           141.375           3.67648
               173           166.667           141.521           3.65813
               174           166.667           141.666           3.63996
               175           166.667           141.809           3.62196
               176           166.667            141.95           3.60414
               177           166.667            142.09           3.58648
               178           166.667           142.228           3.56899
               179           166.667           142.364           3.55166
               180           166.667           142.499           3.53449
               181           166.667           142.633           3.51748
               182           166.667           142.765           3.50064
               183           166.667           142.895           3.48394
               184           166.667           143.025            3.4674
               185           166.667           143.152           3.45101
               186           166.667           143.279           3.43478
               187           166.667           143.404           3.41868
               188           166.667           143.528           3.40274
               189           166.667            143.65           3.38694
               190           166.667           143.771           3.37128
               191           166.667           143.891           3.35575
               192           166.667            144.01           3.34037
               193           166.667           144.127           3.32513
               194           166.667           144.243           3.31002
               195           166.667           144.358           3.29504
               196           166.667           144.472           3.28019
               197           166.667           144.585           3.26548
               198           166.667           144.696           3.25089
               199           166.667           144.807           3.23643
               200           166.667           144.916           3.22209
               201           166.667           145.024           3.20788
               202           166.667           145.131           3.19378
               203           166.667           145.237           3.17981
               204           166.667           145.342           3.16596
               205           166.667           145.447           3.15222
               206           166.667            145.55            3.1386
               207           166.667           145.652            3.1251
               208           166.667           145.753           3.11171
               209           166.667           145.853           3.09843
               210           166.667           145.952           3.08526
               211           166.667            146.05            3.0722
               212           166.667           146.147           3.05925
               213           166.667           146.244            3.0464
               214           166.667           146.339           3.03366
               215           166.667           146.433           3.02102
               216           166.667           146.527           3.00849
               217           166.667            146.62           2.99605
               218           166.667           146.712           2.98372
               219           166.667           146.803           2.97149
               220           166.667           146.893           2.95935
               221           166.667           146.983           2.94731
               222           166.667           147.071           2.93537
               223           166.667           147.159           2.92352
               224           166.667           147.246           2.91177
               225           166.667           147.333           2.90011
               226           166.667           147.418           2.88854
               227           166.667           147.503           2.87705
               228           166.667           147.587           2.86566
               229           166.667            147.67           2.85436
               230           166.667           147.753           2.84315
               231           166.667           147.835           2.83202
               232           166.667           147.916           2.82097
               233           166.667           147.997           2.81001
               234           166.667           148.076           2.79914
               235           166.667           148.155           2.78834
               236           166.667           148.234           2.77763
               237           166.667           148.312             2.767
               238           166.667           148.389           2.75645
               239           166.667           148.465           2.74598
               240           166.667           148.541           2.73558
               241           166.667           148.616           2.72526
               242           166.667           148.691           2.71502
               243           166.667           148.765           2.70486
               244           166.667           148.838           2.69477
               245           166.667           148.911           2.68475
               246           166.667           148.983           2.67481
               247           166.667           149.055           2.66494
               248           166.667           149.126           2.65514
               249           166.667           149.196           2.64541
               250           166.667           149.266           2.63575
               251           166.667           149.335           2.62616
               252           166.667           149.404           2.61664
               253           166.667           149.472           2.60718
               254           166.667            149.54            2.5978
               255           166.667           149.607           2.58848
               256           166.667           149.674           2.57923
               257           166.667            149.74           2.57004
               258           166.667           149.806           2.56091
               259           166.667           149.871           2.55185
               260           166.667           149.935           2.54286
               261           166.667           149.999           2.53392
               262           166.667           150.063           2.52505
               263           166.667           150.126           2.51624
               264           166.667           150.189           2.50748
               265           166.667           150.251           2.49879
               266           166.667           150.313           2.49016
               267           166.667           150.374           2.48159
               268           166.667           150.435           2.47307
               269           166.667           150.495           2.46462
               270           166.667           150.555           2.45621
               271           166.667           150.615           2.44787
               272           166.667           150.674           2.43958
               273           166.667           150.732           2.43135
               274           166.667            150.79           2.42317
               275           166.667           150.848           2.41505
               276           166.667           150.905           2.40698
               277           166.667           150.962           2.39896
               278           166.667           151.019             2.391
               279           166.667           151.075           2.38308
               280           166.667            151.13           2.37522
               281           166.667           151.186           2.36741
               282           166.667           151.241           2.35966
               283           166.667           151.295           2.35195
               284           166.667           151.349           2.34429
               285           166.667           151.403           2.33668
               286           166.667           151.456           2.32912
               287           166.667           151.509            2.3216
               288           166.667           151.562           2.31414
               289           166.667           151.614           2.30672
               290           166.667           151.666           2.29935
               291           166.667           151.718           2.29203
               292           166.667           151.769           2.28475
               293           166.667            151.82           2.27752
               294           166.667            151.87           2.27033
               295           166.667            151.92           2.26319
               296           166.667            151.97           2.25609
               297           166.667            152.02           2.24904
               298           166.667           152.069           2.24203
               299           166.667           152.118           2.23506
               300           166.667           152.166           2.22814
               301           166.667           152.214           2.22126
               302           166.667           152.262           2.21442
               303           166.667            152.31           2.20762
               304           166.667           152.357           2.20086
               305           166.667           152.404           2.19415
               306           166.667           152.451           2.18747
               307           166.667           152.497           2.18083
               308           166.667           152.543           2.17424
               309           166.667           152.589           2.16768
               310           166.667           152.634           2.16117
               311           166.667           152.679           2.15469
               312           166.667           152.724           2.14825
               313           166.667           152.768           2.14185
               314           166.667           152.813           2.13548
               315           166.667           152.857           2.12916
               316           166.667             152.9           2.12287
               317           166.667           152.944           2.11661
               318           166.667           152.987            2.1104
               319           166.667            153.03           2.10422
               320           166.667           153.072           2.09807
               321           166.667           153.115           2.09197
               322           166.667           153.157           2.08589
               323           166.667           153.199           2.07985
               324           166.667            153.24           2.07385
               325           166.667           153.282           2.06788
               326           166.667           153.323           2.06194
               327           166.667           153.364           2.05604
               328           166.667           153.404           2.05017
               329           166.667           153.444           2.04434
               330           166.667           153.484           2.03854
               331           166.667           153.524           2.03277
               332           166.667           153.564           2.02703
               333           166.667           153.603           2.02132
               334           166.667           153.642           2.01565
               335           166.667           153.681           2.01001
               336           166.667            153.72            2.0044
               337           166.667           153.758           1.99882
               338           166.667           153.796           1.99327
               339           166.667           153.834           1.98775
               340           166.667           153.872           1.98226
               341           166.667            153.91           1.97681
               342           166.667           153.947           1.97138
               343           166.667           153.984           1.96598
               344           166.667           154.021           1.96061
               345           166.667           154.058           1.95527
               346           166.667           154.094           1.94996
               347           166.667            154.13           1.94467
               348           166.667           154.166           1.93942
               349           166.667           154.202           1.93419
               350           166.667           154.238           1.92899
               351           166.667           154.273           1.92382
               352           166.667           154.308           1.91868
               353           166.667           154.343           1.91356
               354           166.667           154.378           1.90848
               355           166.667           154.413           1.90341
               356           166.667           154.447           1.89838
               357           166.667           154.481           1.89337
               358           166.667           154.515           1.88839
               359           166.667           154.549           1.88343
               360           166.667           154.583            1.8785
               361           166.667           154.616           1.87359
               362           166.667            154.65           1.86871
               363           166.667           154.683           1.86386
               364           166.667           154.716           1.85903
               365           166.667           154.748           1.85422
               366           166.667           154.781           1.84944
               367           166.667           154.813           1.84469
               368           166.667           154.846           1.83996
               369           166.667           154.878           1.83525
               370           166.667            154.91           1.83057
               371           166.667           154.941           1.82591
               372           166.667           154.973           1.82127
               373           166.667           155.004           1.81666
               374           166.667           155.035           1.81207
               375           166.667           155.066            1.8075
               376           166.667           155.097           1.80296
               377           166.667           155.128           1.79843
               378           166.667           155.158           1.79394
               379           166.667           155.189           1.78946
               380           166.667           155.219           1.78501
               381           166.667           155.249           1.78057
               382           166.667           155.279           1.77616
               383           166.667           155.309           1.77177
               384           166.667           155.338           1.76741
               385           166.667           155.368           1.76306
               386           166.667           155.397           1.75874
               387           166.667           155.426           1.75443
               388           166.667           155.455           1.75015
               389           166.667           155.484           1.74589
               390           166.667           155.512           1.74165
               391           166.667           155.541           1.73743
