#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1              -0.6              -0.6                 0
                 2             -0.68             -0.64         0.0282843
                 3             -0.68         -0.653333         0.0217732
                 4             -0.84              -0.7          0.043589
                 5             -0.84            -0.728         0.0429325
                 6             -0.84         -0.746667         0.0396279
                 7             -0.84             -0.76         0.0361403
                 8             -0.92             -0.78         0.0367423
                 9             -0.92         -0.795556         0.0358016
                10             -0.92            -0.808         0.0343162
                11             -0.92         -0.818182         0.0326721
                12             -0.92         -0.826667         0.0310316
                13             -0.92         -0.833846         0.0294634
                14             -0.92             -0.84         0.0279942
                15             -0.92         -0.845333         0.0266311
                16             -0.92             -0.85         0.0253722
                17             -0.92         -0.854118         0.0242116
                18             -0.92         -0.857778         0.0231415
                19             -0.92         -0.861053          0.022154
                20             -0.92            -0.864         0.0212415
                21             -0.92         -0.866667         0.0203967
                22             -0.92         -0.869091         0.0196131
                23             -0.92         -0.871304         0.0188848
                24             -0.92         -0.873333         0.0182066
                25             -0.92           -0.8752         0.0175738
                26             -0.92         -0.876923         0.0169821
                27             -0.92         -0.878519          0.016428
                28             -0.92             -0.88         0.0159079
                29             -0.92         -0.881379          0.015419
                30             -0.92         -0.882667         0.0149587
                31             -0.92         -0.883871         0.0145246
                32             -0.92            -0.885         0.0141145
                33             -0.92         -0.886061         0.0137266
                34             -0.92         -0.887059         0.0133591
                35             -0.92            -0.888         0.0130105
                36             -0.92         -0.888889         0.0126794
                37             -0.92          -0.88973         0.0123646
                38             -0.92         -0.890526         0.0120648
                39             -0.92         -0.891282         0.0117791
                40                -1            -0.894         0.0117941
                41                -1         -0.896585         0.0117864
                42                -1         -0.899048         0.0117601
                43                -1         -0.901395         0.0117186
                44                -1         -0.903636         0.0116646
                45                -1         -0.905778         0.0116003
                46                -1         -0.907826         0.0115275
                47                -1         -0.909787         0.0114479
                48                -1         -0.911667         0.0113626
                49                -1         -0.913469         0.0112728
                50                -1           -0.9152         0.0111794
                51                -1         -0.916863         0.0110832
                52                -1         -0.918462         0.0109847
                53                -1             -0.92         0.0108847
                54                -1         -0.921481         0.0107835
                55                -1         -0.922909         0.0106815
                56                -1         -0.924286         0.0105791
                57                -1         -0.925614         0.0104765
                58                -1         -0.926897         0.0103741
                59                -1         -0.928136          0.010272
                60                -1         -0.929333         0.0101704
                61                -1         -0.930492         0.0100694
                62                -1         -0.931613        0.00996924
                63                -1         -0.932698        0.00986992
                64                -1          -0.93375        0.00977156
                65                -1         -0.934769        0.00967424
                66                -1         -0.935758        0.00957801
                67                -1         -0.936716        0.00948293
                68                -1         -0.937647        0.00938903
                69                -1         -0.938551        0.00929634
                70                -1         -0.939429        0.00920489
                71                -1         -0.940282        0.00911469
                72                -1         -0.941111        0.00902576
                73                -1         -0.941918         0.0089381
                74                -1         -0.942703        0.00885171
                75                -1         -0.943467        0.00876659
                76                -1         -0.944211        0.00868274
                77                -1         -0.944935        0.00860016
                78                -1         -0.945641        0.00851882
                79                -1         -0.946329        0.00843873
                80                -1            -0.947        0.00835987
                81                -1         -0.947654        0.00828223
                82                -1         -0.948293        0.00820579
                83                -1         -0.948916        0.00813054
                84                -1         -0.949524        0.00805646
                85                -1         -0.950118        0.00798354
