#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                 1              0.48              0.48                 0
                 2               0.6              0.54         0.0424264
                 3              0.52          0.533333         0.0288033
                 4              0.36              0.49         0.0433013
                 5               0.4             0.472         0.0381995
                 6              0.48          0.473333         0.0318562
                 7              0.48          0.474286         0.0273195
                 8              0.48             0.475         0.0239139
                 9              0.56          0.484444         0.0230464
                10              0.52             0.488         0.0210143
                11              0.36          0.476364         0.0220919
                12              0.36          0.466667         0.0222777
                13               0.4          0.461538          0.021146
                14              0.56          0.468571         0.0207723
                15              0.48          0.469333         0.0194014
                16               0.6            0.4775         0.0198333
                17              0.52              0.48         0.0188235
                18              0.56          0.484444         0.0182949
                19              0.52          0.486316         0.0174275
                20              0.56              0.49         0.0169411
                21              0.56          0.493333          0.016459
                22               0.6          0.498182         0.0164095
                23              0.56           0.50087         0.0159146
                24              0.52          0.501667         0.0152715
                25              0.48            0.5008         0.0146852
                26              0.56          0.503077         0.0142958
                27              0.56          0.505185         0.0139209
                28               0.6          0.508571         0.0138294
                29              0.56          0.510345         0.0134658
                30              0.64          0.514667         0.0136929
                31              0.56          0.516129         0.0133291
                32               0.6           0.51875         0.0131677
                33               0.6          0.521212         0.0129968
                34              0.68          0.525882         0.0134275
                35              0.72          0.531429          0.014143
                36               0.8          0.538889         0.0155941
                37              0.76          0.544865         0.0162775
                38              0.84          0.552632         0.0176048
                39              0.92          0.562051         0.0195114
                40                 1             0.573         0.0218809
                41                 1          0.583415         0.0236965
                42              0.96          0.592381         0.0247706
                43              0.88           0.59907         0.0250814
                44              0.92          0.606364         0.0255499
                45              0.84          0.611556         0.0255042
                46              0.96           0.61913         0.0260504
                47                 1          0.627234         0.0267268
                48                 1             0.635          0.027275
                49                 1          0.642449         0.0277169
                50                 1            0.6496         0.0280699
                51                 1          0.656471         0.0283478
                52                 1          0.663077         0.0285621
                53                 1          0.669434         0.0287219
                54                 1          0.675556          0.028835
                55                 1          0.681455         0.0289079
                56                 1          0.687143         0.0289459
                57                 1          0.692632         0.0289538
