#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                 1              0.48              0.48                 0
                 2              0.64              0.56         0.0565685
                 3              0.68               0.6         0.0498888
                 4              0.56              0.59         0.0384057
                 5               0.6             0.592         0.0307766
                 6              0.48          0.573333          0.030792
                 7              0.68          0.588571          0.029927
                 8              0.72             0.605         0.0303624
                 9              0.88          0.635556         0.0394753
                10              0.92             0.664         0.0446139
                11              0.68          0.665455         0.0405818
                12              0.68          0.666667         0.0372181
                13              0.56          0.658462          0.035248
                14              0.52          0.648571         0.0340896
                15              0.56          0.642667         0.0323243
                16              0.48            0.6325         0.0318627
                17              0.28          0.611765         0.0361105
                18              0.32          0.595556         0.0375666
                19               0.4          0.585263         0.0369725
                20               0.2             0.566         0.0398271
                21                 0          0.539048         0.0461581
                22             -0.08          0.510909         0.0519333
                23             -0.04          0.486957          0.054922
                24             -0.08          0.463333         0.0574899
                25                 0            0.4448         0.0581009
                26             -0.04          0.426154         0.0587822
                27                 0           0.41037         0.0586858
                28              0.08          0.398571         0.0577638
                29              0.16          0.390345         0.0563548
                30                 0          0.377333         0.0559582
                31              0.16          0.370323         0.0545905
                32                 0           0.35875         0.0540973
                33                 0          0.347879         0.0535391
                34                 0          0.337647         0.0529331
                35                 0             0.328         0.0522924
                36              0.12          0.322222         0.0511581
                37             -0.16          0.309189         0.0514088
                38              0.12          0.304211         0.0502964
                39               0.2          0.301538         0.0490777
                40              0.28             0.301         0.0478537
                41              0.36          0.302439         0.0467082
                42               0.2               0.3         0.0456597
                43              0.24          0.298605         0.0446192
                44              0.08          0.293636         0.0438808
                45             -0.04          0.286222         0.0435275
                46                 0              0.28         0.0430237
                47              0.04          0.274894         0.0424103
                48             -0.08            0.2675         0.0421663
                49               0.2          0.266122         0.0413282
                50               0.2            0.2648         0.0405228
                51              0.24          0.264314         0.0397312
                52              0.36          0.266154         0.0390097
                53              0.52          0.270943         0.0385666
                54              0.48          0.274815         0.0380462
                55               0.6          0.280727         0.0378111
                56              0.68          0.287857         0.0378021
                57              0.68          0.294737         0.0377598
                58              0.64           0.30069          0.037575
                59              0.68          0.307119         0.0374841
                60               0.8          0.315333         0.0377488
                61               0.8          0.323279         0.0379569
                62              0.64          0.328387         0.0376869
                63              0.68          0.333968         0.0374997
                64              0.76          0.340625         0.0374999
                65              0.64          0.345231         0.0372048
                66              0.64          0.349697         0.0369082
                67              0.88          0.357612         0.0371963
                68              0.84          0.364706         0.0373196
                69              0.72          0.369855         0.0371323
                70               0.6          0.373143         0.0367471
                71              0.56          0.375775         0.0363236
                72              0.48          0.377222          0.035848
                73              0.48           0.37863         0.0353846
                74              0.48              0.38         0.0349329
                75              0.56            0.3824         0.0345495
                76              0.32          0.381579         0.0341046
                77              0.28           0.38026         0.0336872
                78              0.28          0.378974         0.0332798
                79              0.28          0.377722         0.0328821
                80              0.28            0.3765         0.0324938
                81              0.48          0.377778         0.0321178
                82               0.2           0.37561         0.0317992
                83              0.28          0.374458         0.0314369
                84              0.16          0.371905         0.0311661
                85              0.08          0.368471         0.0309881
                86              0.04          0.364651         0.0308623
                87              0.08          0.361379         0.0306805
                88              0.16          0.359091         0.0304171
                89             -0.16          0.353258         0.0306294
                90                 0          0.349333         0.0305395
                91              0.04          0.345934         0.0303925
                92             -0.04          0.341739         0.0303503
                93             -0.12          0.336774         0.0304273
                94             -0.04          0.332766         0.0303665
                95             -0.36          0.325474           0.03091
                96             -0.32           0.31875         0.0313108
                97             -0.12          0.314227          0.031313
                98             -0.24          0.308571         0.0315001
                99             -0.32          0.302222         0.0318153
               100             -0.16            0.2976         0.0318312
               101             -0.08          0.293861         0.0317348
               102              0.04          0.291373         0.0315211
               103             -0.04          0.288155         0.0313788
               104              0.04          0.285769         0.0311677
               105              -0.2          0.281143         0.0312123
               106              -0.2          0.276604         0.0312462
               107              -0.2           0.27215           0.03127
               108             -0.28          0.267037         0.0313957
               109             -0.32          0.261651         0.0315662
               110             -0.32          0.256364          0.031719
               111             -0.28          0.251532         0.0317992
               112             -0.36          0.246071         0.0319806
               113             -0.56          0.238938         0.0324834
               114             -0.28          0.234386         0.0325158
               115             -0.36          0.229217         0.0326413
               116             -0.32          0.224483         0.0327015
               117             -0.36          0.219487         0.0328013
               118             -0.12           0.21661         0.0326493
               119             -0.28          0.212437         0.0326405
               120             -0.52          0.206333         0.0329343
               121             -0.68          0.199008         0.0334668
               122             -0.64          0.192131         0.0338917
               123             -0.56          0.186016         0.0341633
               124             -0.32          0.181935         0.0341307
               125              -0.4           0.17728         0.0341737
               126             -0.44          0.172381         0.0342518
               127             -0.32          0.168504         0.0342008
               128             -0.08          0.166563         0.0339887
               129             -0.16          0.164031         0.0338193
               130              -0.2          0.161231         0.0336749
               131             -0.36          0.157252         0.0336521
               132             -0.24          0.154242         0.0335315
               133             -0.24          0.151278         0.0334101
               134             -0.04          0.149851         0.0331913
               135              0.08          0.149333         0.0329494
               136              0.16          0.149412         0.0327072
               137              0.32          0.150657         0.0324922
               138              0.32          0.151884         0.0322799
               139              0.36          0.153381         0.0320824
               140              0.28          0.154286          0.031866
               141              0.08          0.153759         0.0316443
               142             -0.36          0.150141         0.0316276
               143             -0.28          0.147133         0.0315492
               144             -0.16             0.145         0.0314021
               145             -0.12          0.143172         0.0312387
               146             -0.12           0.14137         0.0310767
               147             -0.24          0.138776         0.0309734
               148             -0.12          0.137027         0.0308134
               149              -0.4          0.133423         0.0308167
               150              -0.4          0.129867         0.0308157
               151             -0.08          0.128477          0.030643
