#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                 1             11.52             11.52                 0
                 2             20.48                16           3.16784
                 3             23.12           18.3733           2.86622
                 4             15.68              17.7           2.22735
                 5                18             17.76           1.78269
                 6             11.52             16.72           1.76303
                 7             23.12           17.6343           1.73209
                 8             25.92             18.67           1.79877
                 9             38.72           20.8978           2.63971
                10             42.32             23.04           3.12639
                11             23.12           23.0473           2.84218
                12             23.12           23.0533           2.60534
                13             15.68           22.4862            2.4659
                14             13.52           21.8457           2.37147
                15             15.68           21.4347           2.24871
                16             11.52            20.815           2.19189
                17              3.92           19.8212           2.27714
                18              5.12           19.0044           2.29242
                19                 8           18.4253           2.24374
                20                 2            17.604            2.2769
                21                 0           16.7657           2.31766
                22              0.32           16.0182           2.32975
                23              0.08           15.3252           2.32923
                24              0.32              14.7           2.31457
                25                 0            14.112           2.29546
                26              0.08           13.5723           2.26973
                27                 0           13.0696           2.24064
                28              0.32           12.6143            2.2064
                29              1.28           12.2234           2.16466
                30                 0            11.816           2.13051
                31              1.28           11.4761           2.08871
                32                 0           11.1175             2.054
                33                 0           10.7806           2.01919
                34                 0           10.4635           1.98455
                35                 0           10.1646           1.95023
                36              0.72           9.90222           1.91362
                37              1.28           9.66919           1.87604
                38              0.72           9.43368           1.84139
                39                 2           9.24308           1.80402
                40              3.92              9.11           1.76382
                41              6.48           9.04585           1.72196
                42                 2            8.8781           1.68912
                43              2.88            8.7386           1.65558
                44              0.32           8.54727           1.62898
                45              0.08           8.35911           1.60361
                46                 0           8.17739           1.57901
                47              0.08           8.00511           1.55478
                48              0.32             7.845           1.53061
                49                 2           7.72571           1.50402
                50                 2            7.6112           1.47829
                51              2.88           7.51843           1.45221
                52              6.48           7.49846           1.42442
                53             13.52           7.61208           1.40207
                54             11.52           7.68444           1.37797
                55                18             7.872           1.36562
                56             23.12           8.14429           1.36811
                57             23.12           8.40702            1.3691
                58             20.48           8.61517           1.36123
                59             23.12           8.86102           1.36018
                60                32           9.24667           1.39111
                61                32           9.61967           1.41743
                62             20.48           9.79484           1.40535
                63             23.12           10.0063           1.39887
                64             28.88           10.3012           1.40775
                65             20.48           10.4578           1.39478
                66             20.48           10.6097           1.38188
                67             38.72           11.0293           1.42353
                68             35.28           11.3859           1.44657
                69             25.92           11.5965           1.44086
                70                18            11.688           1.42318
                71             15.68           11.7442           1.40425
                72             11.52           11.7411           1.38475
                73             11.52           11.7381           1.36578
                74             11.52           11.7351           1.34733
                75             15.68           11.7877           1.33039
                76              5.12              11.7           1.31577
                77              3.92            11.599           1.30256
                78              3.92           11.5005           1.28957
                79              3.92           11.4046           1.27682
                80              3.92            11.311           1.26428
                81             11.52           11.3136           1.24867
                82                 2              11.2            1.2386
                83              3.92           11.1123           1.22678
                84              1.28           10.9952           1.21775
                85              0.32           10.8696           1.20988
                86              0.08           10.7442            1.2023
                87              0.32           10.6244           1.19443
                88              1.28           10.5182           1.18557
                89              1.28           10.4144           1.17679
                90                 0           10.2987           1.16939
                91              0.08           10.1864           1.16191
                92              0.08           10.0765           1.15447
                93              0.72           9.97591           1.14643
                94              0.08           9.87064           1.13905
                95              6.48           9.83495           1.12762
                96              5.12           9.78583           1.11695
                97              0.72           9.69237           1.10934
                98              2.88           9.62286           1.10019
                99              5.12           9.57737           1.09002
               100              1.28            9.4944           1.08227
               101              0.32           9.40356           1.07536
               102              0.08           9.31216            1.0687
               103              0.08           9.22252           1.06207
               104              0.08           9.13462           1.05549
               105                 2           9.06667           1.04762
               106                 2                 9           1.03986
               107                 2           8.93458            1.0322
               108              3.92           8.88815           1.02368
               109              5.12           8.85358           1.01488
