#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1              -0.6              -0.6                 0
                 2              -0.6              -0.6                 0
                 3             -0.68         -0.626667         0.0217732
                 4             -0.84             -0.68         0.0489898
                 5             -0.84            -0.712         0.0485304
                 6             -0.68         -0.706667          0.040734
                 7             -0.76         -0.714286         0.0356203
                 8             -0.92             -0.74           0.03937
                 9             -0.92             -0.76         0.0397523
                10             -0.92            -0.776         0.0388639
                11             -0.84         -0.781818         0.0357636
                12             -0.76             -0.78         0.0328295
                13             -0.68         -0.772308         0.0311924
                14             -0.76         -0.771429         0.0289767
                15             -0.76         -0.770667          0.027055
                16             -0.76             -0.77         0.0253722
                17             -0.84         -0.774118         0.0242116
                18             -0.84         -0.777778         0.0231415
                19             -0.84         -0.781053          0.022154
                20             -0.84            -0.784         0.0212415
                21             -0.68         -0.779048         0.0207993
                22             -0.68         -0.774545         0.0203353
                23             -0.68         -0.770435         0.0198623
                24              -0.6         -0.763333         0.0202645
                25             -0.76           -0.7632         0.0194543
                26             -0.76         -0.763077         0.0187065
                27             -0.68             -0.76         0.0182649
                28             -0.76             -0.76         0.0176126
                29             -0.76             -0.76         0.0170053
                30             -0.76             -0.76         0.0164384
                31              -0.6         -0.754839         0.0166988
                32             -0.68           -0.7525         0.0163399
                33             -0.68         -0.750303         0.0159918
                34             -0.76         -0.750588          0.015524
                35             -0.68         -0.748571         0.0152109
                36             -0.68         -0.746667         0.0149071
                37             -0.68         -0.744865         0.0146127
                38             -0.68         -0.743158         0.0143275
                39             -0.76          -0.74359         0.0139667
                40             -0.84            -0.746         0.0138239
                41             -0.76         -0.746341         0.0134909
                42              -0.6         -0.742857         0.0136122
                43             -0.68         -0.741395         0.0133739
                44             -0.76         -0.741818         0.0130767
                45             -0.84            -0.744         0.0129668
                46             -0.76         -0.744348         0.0126896
                47             -0.84         -0.746383         0.0125817
                48             -0.76         -0.746667         0.0123228
                49             -0.76         -0.746939         0.0120743
                50             -0.68           -0.7456         0.0119068
                51             -0.68         -0.744314         0.0117426
                52             -0.76         -0.744615         0.0115207
                53             -0.76         -0.744906          0.011307
                54             -0.76         -0.745185          0.011101
                55             -0.84         -0.746909         0.0110323
                56             -0.84         -0.748571         0.0109598
                57             -0.92         -0.751579         0.0111725
                58             -0.92         -0.754483          0.011351
                59             -0.84         -0.755932         0.0112508
                60             -0.92         -0.758667         0.0113907
                61             -0.84             -0.76         0.0112817
                62             -0.84          -0.76129         0.0111733
                63             -0.76          -0.76127          0.010996
                64             -0.76          -0.76125         0.0108242
                65             -0.84         -0.762462         0.0107253
                66             -0.84         -0.763636         0.0106269
                67             -0.92          -0.76597         0.0107215
                68             -0.92         -0.768235         0.0108004
                69             -0.84         -0.769275         0.0106939
                70             -0.84         -0.770286         0.0105887
                71             -0.76         -0.770141         0.0104406
                72             -0.76             -0.77         0.0102965
                73             -0.76         -0.769863         0.0101564
                74             -0.84         -0.770811         0.0100633
