#   N_BLOCK:  ACCEPTANCE:
                 1          0.511899
                 2          0.511823
                 3          0.511681
                 4          0.511624
                 5          0.511234
                 6          0.511198
                 7          0.511397
                 8          0.511452
                 9          0.511514
                10          0.511302
                11          0.511246
                12          0.511248
                13          0.511221
                14          0.511235
                15          0.510908
                16          0.510842
                17          0.510753
                18          0.510891
                19          0.510838
                20          0.510969
                21          0.510879
                22          0.510891
                23          0.510812
                24          0.510849
                25          0.510867
                26          0.510789
                27          0.510799
                28          0.510814
                29          0.510937
                30          0.510902
                31          0.510847
                32           0.51087
                33          0.510908
                34          0.510977
                35          0.510934
                36          0.510899
                37           0.51093
                38           0.51093
                39          0.510846
                40          0.510761
                41          0.510792
                42          0.510704
                43          0.510672
                44          0.510701
                45          0.510692
                46          0.510709
                47           0.51068
                48          0.510653
                49          0.510661
                50          0.510594
                51          0.510583
                52          0.510572
                53          0.510577
                54          0.510596
                55          0.510547
                56           0.51051
                57          0.510461
                58           0.51049
                59           0.51049
                60          0.510437
                61          0.510464
                62          0.510463
                63          0.510506
                64          0.510471
                65          0.510491
                66          0.510552
                67          0.510575
                68          0.510568
                69          0.510534
                70           0.51051
                71           0.51048
                72          0.510505
                73          0.510499
                74          0.510477
                75           0.51045
                76          0.510437
                77          0.510404
                78          0.510395
                79          0.510425
                80          0.510447
                81          0.510442
                82          0.510431
                83          0.510398
                84          0.510396
                85          0.510348
                86           0.51036
                87          0.510378
                88          0.510339
                89          0.510348
                90          0.510336
                91          0.510308
                92          0.510256
                93          0.510242
                94           0.51028
                95          0.510285
                96          0.510287
                97           0.51026
                98          0.510246
                99           0.51025
               100          0.510205
