#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1          0.463613          0.463613                 0
                 2          0.464359          0.463986       0.000263612
                 3          0.477754          0.468575         0.0037513
                 4          0.522394           0.48203          0.011987
                 5          0.714592          0.528543         0.0426929
                 6          0.530212          0.528821         0.0355784
                 7          0.298296          0.495889         0.0431229
                 8          0.534668          0.500736          0.038004
                 9          0.373728          0.486624          0.036307
                10          0.617739          0.499736         0.0349637
                11          0.521177          0.501685         0.0318395
                12          0.443013          0.496795         0.0295592
                13          0.477876           0.49534         0.0273212
                14           0.52496          0.497456         0.0254515
                15           0.66883          0.508881         0.0261938
                16          0.597041          0.514391         0.0251295
                17          0.507275          0.513972         0.0236548
                18          0.495573           0.51295         0.0223627
                19          0.556931          0.515265         0.0213052
                20          0.392688          0.509136         0.0211031
                21          0.512536          0.509298         0.0200988
                22          0.469731          0.507499         0.0192655
                23          0.592116          0.511178         0.0187759
                24          0.576618          0.513905         0.0181904
                25          0.490293          0.512961         0.0174873
                26          0.623041          0.517194         0.0173197
                27          0.540679          0.518064            0.0167
                28          0.456468          0.515864         0.0162479
                29          0.371007          0.510869         0.0164375
                30          0.575152          0.513012         0.0160286
                31          0.569187          0.514824         0.0156137
                32          0.548615           0.51588         0.0151614
                33          0.403753          0.512482         0.0150779
                34          0.369183          0.508268         0.0152121
                35          0.471973          0.507231         0.0148128
                36          0.477929          0.506417         0.0144236
                37          0.407742           0.50375         0.0142782
                38          0.427501          0.501743         0.0140428
                39          0.569022          0.503468         0.0137882
                40          0.667327          0.507565         0.0140389
                41          0.458783          0.506375         0.0137468
                42          0.657111          0.509964         0.0138801
                43          0.442225          0.508389         0.0136464
                44           0.48926          0.507954         0.0133432
                45          0.548576          0.508857         0.0130772
                46          0.481074          0.508253         0.0128068
                47          0.448197          0.506975         0.0125979
                48          0.546709          0.507803         0.0123626
                49          0.601147          0.509708         0.0122562
                50          0.608769          0.511689         0.0121702
                51          0.455866          0.510594         0.0119807
                52          0.526359          0.510897         0.0117541
                53          0.523089          0.511127         0.0115346
                54          0.367633           0.50847          0.011623
                55          0.646702          0.510983         0.0116803
                56          0.563561          0.511922         0.0115094
                57          0.672381          0.514737         0.0116466
                58          0.515443           0.51475         0.0114458
                59          0.416917          0.513091         0.0113713
                60          0.546606           0.51365         0.0111955
                61          0.372495          0.511336         0.0112486
                62          0.548183           0.51193         0.0110828
                63          0.373698          0.509736          0.011122
                64           0.58101           0.51085         0.0110038
                65          0.459926          0.510066         0.0108624
                66          0.469695          0.509455          0.010715
                67          0.386225          0.507615         0.0107118
                68          0.413207          0.506227         0.0106438
                69          0.577984          0.507267         0.0105403
                70          0.495745          0.507102          0.010391
                71          0.547637          0.507673         0.0102603
                72          0.525124          0.507916         0.0101207
                73          0.461097          0.507274         0.0100023
                74          0.507874          0.507282        0.00986716
                75          0.624048          0.508839        0.00985766
                76          0.593119          0.509948        0.00979013
                77          0.582696          0.510893        0.00970846
                78          0.587382          0.511874        0.00963339
                79          0.409118          0.510573        0.00959886
                80          0.523953           0.51074        0.00948033
                81          0.614188          0.512017        0.00944892
                82          0.531903           0.51226         0.0093368
                83          0.650222          0.513922         0.0093711
                84          0.469938          0.513398        0.00927416
                85          0.673082          0.515277        0.00935339
                86           0.36903          0.513576        0.00939795
                87          0.530751          0.513774          0.009292
                88          0.736814          0.516308        0.00952581
                89          0.458216          0.515656        0.00944111
                90          0.457124          0.515005        0.00935858
                91            0.5368          0.515245        0.00925881
                92          0.661814          0.516838        0.00929422
                93          0.576707          0.517482        0.00921655
                94          0.341387          0.515608        0.00930694
                95           0.40856          0.514482        0.00927694
                96          0.512507          0.514461        0.00918033
                97          0.647854          0.515836        0.00918811
                98          0.620148          0.516901         0.0091558
                99          0.593237          0.517672        0.00909572
               100          0.665835          0.519153        0.00912464
