#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1          -5.46785          -5.46785                 0
                 2          -5.47261          -5.47023        0.00168258
                 3          -5.47042          -5.47029        0.00112294
                 4          -5.46202          -5.46822        0.00197948
                 5          -5.42342          -5.45926        0.00816874
                 6          -5.45903          -5.45922        0.00680737
                 7          -5.51004          -5.46648        0.00890014
                 8          -5.45905          -5.46555        0.00783593
                 9          -5.48897          -5.46816        0.00738472
                10          -5.43736          -5.46508        0.00725984
                11          -5.45944          -5.46456        0.00661791
                12          -5.47313          -5.46528        0.00610478
                13          -5.47265          -5.46584        0.00566142
                14          -5.46833          -5.46602        0.00525982
                15          -5.43941          -5.46425        0.00519986
                16          -5.45105          -5.46342        0.00493986
                17          -5.46556          -5.46355        0.00465089
                18          -5.46248          -5.46349        0.00439289
                19          -5.45307          -5.46294        0.00419577
                20          -5.48485          -5.46404        0.00412653
                21          -5.46996          -5.46432        0.00393967
                22          -5.47125          -5.46463        0.00377316
                23           -5.4501            -5.464        0.00366164
                24          -5.44884          -5.46337        0.00356316
                25          -5.47738          -5.46393        0.00346439
                26          -5.44334          -5.46314        0.00342045
                27          -5.44951          -5.46263        0.00333079
                28          -5.48431          -5.46341        0.00330057
                29          -5.48818          -5.46426        0.00329545
                30          -5.46616          -5.46433         0.0031862
                31          -5.45431            -5.464        0.00309975
                32          -5.47001          -5.46419        0.00300857
                33          -5.49046          -5.46499         0.0030209
                34          -5.49015          -5.46573        0.00302134
                35          -5.45923          -5.46554        0.00294071
                36          -5.46787          -5.46561        0.00285973
                37          -5.47659           -5.4659        0.00279782
                38           -5.4837          -5.46637        0.00276314
                39          -5.45886          -5.46618        0.00269899
                40          -5.43537          -5.46541        0.00273918
                41          -5.46791          -5.46547        0.00267305
                42          -5.43762          -5.46481        0.00269037
                43          -5.47922          -5.46514         0.0026486
                44          -5.46628          -5.46517        0.00258853
                45          -5.45554          -5.46495        0.00253983
                46          -5.46492          -5.46495        0.00248462
                47          -5.47308          -5.46513        0.00243777
                48          -5.45519          -5.46492        0.00239575
                49          -5.43531          -5.46431        0.00242185
                50          -5.45533          -5.46413        0.00238008
                51          -5.47831          -5.46441        0.00234959
                52          -5.45899          -5.46431        0.00230672
                53           -5.4629          -5.46428        0.00226335
                54            -5.499          -5.46493        0.00231093
                55          -5.43813          -5.46444        0.00231968
                56          -5.45388          -5.46425        0.00228591
                57          -5.43591          -5.46375        0.00229922
                58          -5.46119          -5.46371           0.00226
                59          -5.48017          -5.46399        0.00223885
                60          -5.45427          -5.46383        0.00220739
                61          -5.50149          -5.46444         0.0022559
                62          -5.45826          -5.46434        0.00222172
                63          -5.48687           -5.4647        0.00221504
                64          -5.46095          -5.46464         0.0021812
                65          -5.47147          -5.46475        0.00215018
                66          -5.46652          -5.46477        0.00211776
                67          -5.48641           -5.4651        0.00211064
                68          -5.48843          -5.46544        0.00210732
                69          -5.46004          -5.46536        0.00207823
                70          -5.47299          -5.46547         0.0020514
                71          -5.45304           -5.4653        0.00202997
                72           -5.4602          -5.46522          0.002003
                73           -5.4741          -5.46535        0.00197925
                74          -5.46039          -5.46528        0.00195364
                75          -5.44649          -5.46503        0.00194359
                76          -5.45088          -5.46484        0.00192691
                77          -5.45378           -5.4647        0.00190723
                78          -5.44771          -5.46448        0.00189517
                79          -5.49124          -5.46482        0.00190121
                80          -5.45901          -5.46475        0.00187883
                81          -5.44845          -5.46455        0.00186638
                82          -5.46094           -5.4645        0.00184414
                83          -5.43938           -5.4642        0.00184658
                84          -5.47522          -5.46433        0.00182925
                85          -5.43674          -5.46401        0.00183631
                86          -5.49504          -5.46437        0.00185007
                87          -5.45857           -5.4643        0.00183001
                88          -5.42346          -5.46384        0.00186713
                89          -5.47454          -5.46396        0.00185003
                90          -5.47472          -5.46408        0.00183333
                91          -5.46441          -5.46408        0.00181319
                92          -5.43336          -5.46375        0.00182396
                93          -5.45001           -5.4636        0.00181032
                94          -5.49987          -5.46398        0.00183172
                95          -5.49349          -5.46429        0.00183858
                96          -5.46659          -5.46432        0.00181959
                97          -5.44697          -5.46414        0.00180959
                98          -5.44304          -5.46392        0.00180389
                99          -5.45005          -5.46378         0.0017911
               100          -5.42792          -5.46343        0.00180873
