#   N_BLOCK:  ACCEPTANCE:
                 1          0.512057
                 2          0.512038
                 3          0.511943
                 4          0.511794
                 5          0.511869
                 6          0.511762
                 7          0.511748
                 8          0.511825
                 9          0.511863
                10          0.511899
                11          0.511877
                12          0.511755
                13          0.511802
                14          0.511936
                15          0.511909
                16          0.511869
                17           0.51188
                18          0.511848
                19          0.511842
                20          0.511823
                21          0.511739
                22          0.511845
                23          0.511713
                24          0.511698
                25          0.511695
                26          0.511697
                27           0.51167
                28          0.511694
                29          0.511764
                30          0.511681
                31          0.511641
                32          0.511645
                33          0.511597
                34          0.511604
                35          0.511551
                36          0.511612
                37           0.51169
                38          0.511677
                39          0.511644
                40          0.511624
                41          0.511677
                42          0.511744
                43          0.511711
                44          0.511603
                45          0.511533
                46          0.511454
                47          0.511431
                48          0.511362
                49          0.511268
                50          0.511234
                51          0.511194
                52          0.511116
                53          0.511037
                54          0.510965
                55          0.511043
                56          0.511078
                57          0.511173
                58           0.51117
                59          0.511159
                60          0.511198
                61          0.511226
                62          0.511219
                63          0.511203
                64          0.511174
                65          0.511227
                66          0.511223
                67          0.511273
                68          0.511283
                69          0.511345
                70          0.511397
                71          0.511427
                72          0.511385
                73          0.511386
                74          0.511304
                75          0.511306
                76          0.511357
                77          0.511318
                78          0.511371
                79          0.511368
                80          0.511452
                81          0.511461
                82          0.511431
                83          0.511412
                84          0.511395
                85           0.51135
                86          0.511383
                87          0.511435
                88          0.511471
                89          0.511482
                90          0.511514
                91           0.51148
                92           0.51142
                93          0.511356
                94          0.511209
                95          0.511199
                96          0.511219
                97          0.511269
                98          0.511291
                99           0.51128
               100          0.511302
