#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1          0.489795          0.489795                 0
                 2          0.476099          0.482947        0.00484239
                 3          0.651824          0.539239         0.0460756
                 4          0.926943          0.636165         0.0907752
                 5          0.119855          0.532903          0.117491
                 6          0.429257          0.515629         0.0991709
                 7          0.877173          0.567278         0.0975303
                 8         0.0884391          0.507423          0.102066
                 9          0.136213          0.466178         0.0987082
                10          0.440534          0.463613         0.0888707
                11          0.346053          0.452926         0.0814316
                12          0.682612          0.472066         0.0768622
                13          0.243378          0.454475         0.0729351
                14          0.284719           0.44235         0.0687259
                15          0.375822          0.437914         0.0642872
                16          0.403188          0.435744         0.0603058
                17          0.368885          0.431811         0.0568865
                18          0.587012          0.440433         0.0543757
                19          0.523057          0.444782         0.0516874
                20          0.828863          0.463986         0.0525496
                21          0.456897          0.463648         0.0500483
                22          0.178432          0.450684          0.049424
                23          0.910978          0.470697         0.0511668
                24          0.565074          0.474629         0.0491857
                25          0.583414          0.478981         0.0474104
                26          0.615235          0.484221         0.0458756
                27          0.358404          0.479561         0.0444126
                28          0.348603          0.474884          0.043072
                29          0.211788          0.465812         0.0425314
                30          0.548716          0.468575         0.0412034
                31          0.444505          0.467799         0.0398816
                32          0.455259          0.467407         0.0386372
                33           0.51847          0.468954         0.0374974
                34          0.691784          0.475508         0.0369628
                35          0.381237          0.472815         0.0360047
                36          0.330737          0.468868         0.0352202
                37          0.273829          0.463597         0.0346606
                38          0.556339          0.466037         0.0338342
                39           0.81602          0.475011          0.034136
                40          0.755765           0.48203         0.0339966
                41          0.172169          0.474473         0.0339971
                42           0.31282          0.470624         0.0334048
                43          0.695665          0.475857         0.0330353
                44          0.791459           0.48303          0.033054
                45          0.658345          0.486926         0.0325483
                46          0.578615          0.488919         0.0319017
                47          0.909334          0.497864         0.0324528
                48           1.17728          0.512019         0.0347265
                49           1.21975          0.526462         0.0368994
                50          0.630494          0.528543           0.03622
                51          0.428249          0.526576         0.0355632
                52           1.07288          0.537082          0.036398
                53          0.835928          0.542721         0.0361454
                54          0.598012          0.543745         0.0354905
                55           0.35314          0.540279          0.035014
                56          0.196313          0.534137         0.0349234
                57          0.169217          0.527735         0.0348926
                58           0.58187          0.528668         0.0343034
                59          0.561607          0.529226         0.0337266
                60          0.504898          0.528821         0.0331669
                61          0.175571           0.52303         0.0331249
                62          0.822271          0.527856         0.0329404
                63           0.31432          0.524467         0.0325914
                64          0.335526          0.521515         0.0322156
                65         0.0282578          0.513926         0.0326015
                66          0.363908          0.511653         0.0321867
                67          0.228242          0.507423          0.031983
                68           0.31149          0.504542         0.0316422
                69          0.255428          0.500931         0.0313889
                70          0.147948          0.495889         0.0313429
                71          0.646615          0.498012         0.0309733
                72          0.702104          0.500846         0.0306725
                73          0.644131          0.502809         0.0303151
                74          0.624759          0.504457         0.0299502
                75          0.435042          0.503532         0.0295652
                76          0.327072           0.50121         0.0292672
                77           0.84211          0.505637           0.02922
                78          0.468484          0.505161         0.0288493
                79          0.444282           0.50439         0.0284944
                80          0.212077          0.500736         0.0283715
                81          0.169125          0.496642         0.0283151
                82          0.104338          0.491858         0.0283711
                83           0.60472          0.493218         0.0280618
                84          0.450862          0.492714         0.0277323
                85          0.773029          0.496011         0.0276014
                86          0.387414          0.494749         0.0273093
                87           0.31008          0.492626         0.0270778
                88          0.377052          0.491313         0.0268019
                89          0.323204          0.489424         0.0265673
                90          0.237455          0.486624         0.0264192
                91           0.56976          0.487538         0.0261447
                92          0.468248          0.487328         0.0258613
                93           1.01759           0.49303         0.0262042
                94           1.52893           0.50405         0.0281475
                95          0.535396           0.50438         0.0278532
                96          0.347766          0.502749         0.0276108
                97          0.193599          0.499561         0.0275095
                98          0.572838          0.500309         0.0272389
                99           0.40888          0.499386         0.0269794
               100          0.534379          0.499736         0.0267119
