#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                 1          -5.46861          -5.46861                 0
                 2          -5.46561          -5.46711        0.00105893
                 3          -5.43373          -5.45598        0.00911326
                 4          -5.37708          -5.43626         0.0183989
                 5           -5.5677          -5.46255         0.0277403
                 6          -5.48574          -5.46641         0.0233847
                 7          -5.35714           -5.4508         0.0247114
                 8          -5.51843          -5.45926         0.0230231
                 9          -5.52356           -5.4664         0.0215451
                10          -5.48086          -5.46785          0.019439
                11          -5.51311          -5.47196         0.0181021
                12          -5.41606           -5.4673         0.0171825
                13          -5.51302          -5.47082         0.0162167
                14          -5.50773          -5.47346         0.0152712
                15          -5.49193          -5.47469         0.0143027
                16          -5.49108          -5.47571         0.0134454
                17           -5.4933          -5.47675         0.0126943
                18          -5.42721          -5.47399         0.0122837
                19           -5.4564          -5.47307         0.0116721
                20          -5.41621          -5.47023         0.0114295
                21           -5.4925          -5.47129         0.0109343
                22          -5.53103            -5.474         0.0107692
                23          -5.39161          -5.47042         0.0108804
                24          -5.44418          -5.46933         0.0104819
                25          -5.43295          -5.46787         0.0101631
                26          -5.42973           -5.4664        0.00987754
                27          -5.49178          -5.46734        0.00955632
                28          -5.49655          -5.46839        0.00927177
                29          -5.53113          -5.47055        0.00920102
                30          -5.46273          -5.47029        0.00889801
                31          -5.49903          -5.47122        0.00865915
                32          -5.48558          -5.47167        0.00840017
                33          -5.46965           -5.4716        0.00814584
                34          -5.44302          -5.47076        0.00794954
                35          -5.49579          -5.47148        0.00775451
                36          -5.49648          -5.47217        0.00757015
                37          -5.48753          -5.47259        0.00737692
                38          -5.42646          -5.47137          0.007282
                39           -5.4034          -5.46963        0.00730087
                40          -5.41321          -5.46822        0.00725335
                41          -5.53314           -5.4698        0.00724722
                42           -5.4889          -5.47026        0.00708891
                43          -5.41291          -5.46893        0.00704839
                44          -5.42303          -5.46788        0.00696496
                45          -5.44403          -5.46735        0.00683033
                46          -5.46645          -5.46733        0.00668187
                47          -5.36695           -5.4652        0.00687256
                48           -5.3383          -5.46255        0.00722001
                49          -5.30162          -5.45927        0.00778396
                50          -5.45891          -5.45926        0.00762829
                51          -5.50064          -5.46007        0.00752173
                52          -5.35423          -5.45804        0.00764754
                53          -5.39489          -5.45685        0.00759548
                54          -5.45765          -5.45686        0.00745484
                55          -5.47376          -5.45717        0.00732563
                56           -5.5206           -5.4583        0.00728185
                57          -5.53167          -5.45959        0.00726699
                58          -5.44062          -5.45926        0.00714905
                59          -5.44992           -5.4591        0.00702963
                60          -5.46632          -5.45922         0.0069135
                61          -5.53555          -5.46047        0.00691246
                62          -5.38384          -5.45924         0.0069106
                63          -5.50842          -5.46002        0.00684486
                64          -5.48941          -5.46048         0.0067533
                65          -5.55429          -5.46192        0.00680187
                66          -5.49144          -5.46237        0.00671349
                67            -5.516          -5.46317        0.00666084
                68          -5.51414          -5.46392        0.00660493
                69           -5.5486          -5.46515        0.00662224
                70          -5.55868          -5.46648        0.00666108
                71          -5.46538          -5.46647        0.00656728
                72          -5.45112          -5.46625        0.00647953
                73           -5.4324          -5.46579        0.00640734
                74          -5.43103          -5.46532        0.00633795
                75          -5.47493          -5.46545        0.00625474
                76          -5.51196          -5.46606         0.0062023
                77          -5.38943          -5.46506        0.00620108
                78          -5.46385          -5.46505         0.0061216
                79          -5.46037          -5.46499         0.0060444
                80          -5.51003          -5.46555        0.00599501
                81          -5.53022          -5.46635        0.00597392
                82          -5.53764          -5.46722        0.00596398
                83            -5.446          -5.46697         0.0058976
                84          -5.48105          -5.46713        0.00582978
                85          -5.41894          -5.46657         0.0057887
                86          -5.47953          -5.46672        0.00572335
                87          -5.50778          -5.46719          0.005677
                88          -5.50272          -5.46759        0.00562683
                89          -5.49745          -5.46793         0.0055736
                90           -5.4884          -5.46816        0.00551631
                91          -5.44123          -5.46786        0.00546363
                92          -5.47585          -5.46795        0.00540493
                93           -5.3774          -5.46697        0.00543379
                94          -5.26553          -5.46483        0.00578314
                95          -5.44933          -5.46467        0.00572457
                96          -5.49925          -5.46503        0.00567626
                97          -5.49681          -5.46535        0.00562719
                98           -5.4357          -5.46505         0.0055779
                99          -5.48058          -5.46521        0.00552376
               100          -5.45197          -5.46508        0.00547011
