# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088              0.04              0.04                 0
          0.897737              0.54              0.54                 0
          0.923387              4.44              4.44                 0
          0.949037              14.5              14.5                 0
          0.974686             31.38             31.38                 0
           1.00034             53.74             53.74                 0
           1.02599             69.56             69.56                 0
           1.05164             81.86             81.86                 0
           1.07728              82.5              82.5                 0
           1.10293             84.52             84.52                 0
           1.12858             81.72             81.72                 0
           1.15423             73.68             73.68                 0
           1.17988             70.06             70.06                 0
           1.20553              64.3              64.3                 0
           1.23118             61.24             61.24                 0
           1.25683             54.18             54.18                 0
           1.28248             52.42             52.42                 0
           1.30813              49.2              49.2                 0
           1.33378             48.96             48.96                 0
           1.35943             48.88             48.88                 0
           1.38508              45.1              45.1                 0
           1.41073             44.62             44.62                 0
           1.43638             42.38             42.38                 0
           1.46203             41.68             41.68                 0
           1.48768              41.2              41.2                 0
           1.51333             43.04             43.04                 0
           1.53898             41.64             41.64                 0
           1.56463             43.78             43.78                 0
           1.59028             47.22             47.22                 0
           1.61593             50.28             50.28                 0
           1.64158             52.14             52.14                 0
           1.66723             56.54             56.54                 0
           1.69288             61.14             61.14                 0
           1.71853             65.64             65.64                 0
           1.74418             69.06             69.06                 0
           1.76983              79.6              79.6                 0
           1.79547             81.96             81.96                 0
           1.82112             89.74             89.74                 0
           1.84677             95.24             95.24                 0
           1.87242            105.38            105.38                 0
           1.89807               110               110                 0
           1.92372            118.34            118.34                 0
           1.94937            119.98            119.98                 0
           1.97502            129.96            129.96                 0
           2.00067            132.76            132.76                 0
           2.02632            140.18            140.18                 0
           2.05197            144.48            144.48                 0
           2.07762             150.9             150.9                 0
           2.10327             149.3             149.3                 0
           2.12892             149.5             149.5                 0
           2.15457            152.16            152.16                 0
           2.18022            150.78            150.78                 0
           2.20587            154.42            154.42                 0
           2.23152            151.84            151.84                 0
           2.25717            150.78            150.78                 0
           2.28282            149.28            149.28                 0
           2.30847            145.88            145.88                 0
           2.33412            150.94            150.94                 0
           2.35977            152.16            152.16                 0
           2.38542            147.96            147.96                 0
           2.41107            148.88            148.88                 0
           2.43672             151.3             151.3                 0
           2.46237             150.6             150.6                 0
           2.48802            154.62            154.62                 0
           2.51366            161.14            161.14                 0
           2.53931            160.46            160.46                 0
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0              0.02         0.0141421
          0.897737              0.48              0.51         0.0212132
          0.923387               4.9              4.67          0.162635
          0.949037             15.06             14.78           0.19799
          0.974686             31.54             31.46         0.0565685
           1.00034             53.26              53.5          0.169706
           1.02599             69.86             69.71          0.106066
           1.05164             78.14                80           1.31522
           1.07728             83.04             82.77          0.190919
           1.10293             79.46             81.99           1.78898
           1.12858             78.58             80.15           1.11016
           1.15423             77.38             75.53           1.30815
           1.17988             69.64             69.85          0.148492
           1.20553             65.38             64.84          0.381838
           1.23118             62.22             61.73          0.346482
           1.25683              59.9             57.04           2.02233
           1.28248             55.18              53.8          0.975807
           1.30813             52.52             50.86            1.1738
           1.33378             48.98             48.97        0.00707107
           1.35943             46.28             47.58          0.919239
           1.38508             46.02             45.56          0.325269
           1.41073             46.88             45.75          0.799031
           1.43638             43.72             43.05          0.473762
           1.46203             41.68             41.68                 0
           1.48768             42.06             41.63          0.304056
           1.51333             41.84             42.44          0.424264
           1.53898             43.28             42.46          0.579828
           1.56463             41.98             42.88          0.636396
           1.59028              44.7             45.96          0.890955
           1.61593             50.02             50.15         0.0919239
           1.64158              52.2             52.17         0.0212132
           1.66723             57.68             57.11          0.403051
           1.69288             60.94             61.04         0.0707107
           1.71853             61.38             63.51           1.50614
           1.74418             66.04             67.55           1.06773
           1.76983             74.36             76.98           1.85262
           1.79547             83.86             82.91          0.671751
           1.82112             88.28             89.01          0.516188
           1.84677             93.32             94.28          0.678823
           1.87242             99.42             102.4           2.10718
           1.89807            110.08            110.04         0.0282843
           1.92372            115.26             116.8           1.08894
           1.94937            123.54            121.76           1.25865
           1.97502            129.22            129.59           0.26163
           2.00067            134.22            133.49          0.516188
           2.02632             140.9            140.54          0.254558
           2.05197            145.08            144.78          0.212132
           2.07762            149.44            150.17          0.516188
           2.10327            148.56            148.93           0.26163
           2.12892            156.06            152.78           2.31931
           2.15457            151.64             151.9          0.183848
           2.18022            159.02             154.9           2.91328
           2.20587            152.82            153.62          0.565685
           2.23152            153.58            152.71          0.615183
           2.25717            153.56            152.17          0.982878
           2.28282            157.98            153.63           3.07591
           2.30847            144.42            145.15          0.516188
           2.33412               162            156.47            3.9103
           2.35977            150.68            151.42          0.523259
           2.38542            154.54            151.25           2.32638
           2.41107            150.44            149.66          0.551543
           2.43672            148.02            149.66           1.15966
           2.46237            153.54            152.07           1.03945
           2.48802            154.66            154.64         0.0141421
           2.51366            153.78            157.46           2.60215
           2.53931            157.86            159.16          0.919239
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0         0.0133333         0.0108866
          0.897737               0.5          0.506667         0.0144016
          0.923387              4.58              4.64          0.111156
          0.949037             14.74           14.7667          0.132441
          0.974686             34.24           32.3867          0.757559
           1.00034              55.1           54.0333          0.449922
           1.02599              69.5             69.64         0.0909212
           1.05164             80.88           80.2933          0.908935
           1.07728             82.68             82.74          0.129615
           1.10293             81.12              81.7           1.21593
           1.12858              78.7           79.6667          0.838747
           1.15423              73.6           74.8867           1.01807
           1.17988             69.34             69.68          0.170489
           1.20553             65.68             65.12           0.34215
           1.23118             57.52           60.3267           1.16887
           1.25683             54.44           56.1733           1.52264
           1.28248             54.06           53.8867          0.654376
           1.30813              48.5           50.0733           1.01238
