#   N_BLOCK:  ACCEPTANCE:
                 1          0.561093
                 2          0.561078
                 3          0.561167
                 4          0.561377
                 5          0.561375
                 6          0.561339
                 7          0.561213
                 8          0.561106
                 9          0.561039
                10           0.56108
                11          0.561048
                12          0.560902
                13          0.561002
                14          0.561046
                15          0.561141
                16          0.561182
                17           0.56124
                18           0.56124
                19          0.561178
                20          0.561123
                21          0.561138
                22          0.561152
                23          0.561156
                24          0.561183
                25          0.561226
                26          0.561185
                27          0.561173
                28          0.561171
                29          0.561151
                30          0.561111
                31          0.561088
                32          0.561056
                33          0.561009
                34          0.561007
                35           0.56098
                36          0.560982
                37          0.560986
                38          0.560999
                39          0.560975
                40          0.560954
                41          0.560972
                42          0.561018
                43           0.56105
                44          0.561053
                45          0.561027
                46          0.561034
                47          0.561073
                48          0.561032
                49           0.56107
                50          0.561043
                51          0.561043
                52          0.561022
                53          0.561023
                54          0.561003
                55          0.560951
                56          0.560956
                57          0.560958
                58          0.560985
                59          0.560972
                60          0.560945
                61          0.560953
                62          0.560936
                63          0.560935
                64          0.560912
                65          0.560897
                66          0.560904
                67          0.560915
                68          0.560911
                69           0.56092
                70          0.560922
                71          0.560927
                72          0.560905
                73          0.560912
                74          0.560924
                75          0.560899
                76          0.560902
                77          0.560898
                78          0.560888
                79          0.560863
                80          0.560868
                81          0.560844
                82          0.560849
                83          0.560854
                84          0.560832
                85          0.560825
                86          0.560833
                87          0.560834
                88          0.560836
                89          0.560835
                90          0.560848
                91          0.560875
                92          0.560869
                93          0.560863
                94          0.560875
                95          0.560872
                96          0.560864
                97          0.560842
                98          0.560847
                99           0.56085
               100          0.560855
