# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438            0.0376            0.0376                 0
          0.872088            0.5864            0.5864                 0
          0.897737              3.72              3.72                 0
          0.923387           12.4768           12.4768                 0
          0.949037           27.1932           27.1932                 0
          0.974686           44.3636           44.3636                 0
           1.00034           58.7916           58.7916                 0
           1.02599             68.56             68.56                 0
           1.05164           73.3632           73.3632                 0
           1.07728           73.7032           73.7032                 0
           1.10293           72.6044           72.6044                 0
           1.12858           69.3696           69.3696                 0
           1.15423           65.4836           65.4836                 0
           1.17988             62.41             62.41                 0
           1.20553           58.0896           58.0896                 0
           1.23118           55.4568           55.4568                 0
           1.25683           52.8356           52.8356                 0
           1.28248             50.72             50.72                 0
           1.30813           49.6776           49.6776                 0
           1.33378           48.1092           48.1092                 0
           1.35943           46.8912           46.8912                 0
           1.38508           46.2768           46.2768                 0
           1.41073            45.984            45.984                 0
           1.43638           45.7456           45.7456                 0
           1.46203           46.2436           46.2436                 0
           1.48768            46.756            46.756                 0
           1.51333            47.906            47.906                 0
           1.53898            49.248            49.248                 0
           1.56463           50.7812           50.7812                 0
           1.59028           52.6952           52.6952                 0
           1.61593           54.8916           54.8916                 0
           1.64158           57.6236           57.6236                 0
           1.66723           60.5432           60.5432                 0
           1.69288           64.5736           64.5736                 0
           1.71853           68.1972           68.1972                 0
           1.74418           73.1916           73.1916                 0
           1.76983           78.0376           78.0376                 0
           1.79547           83.0808           83.0808                 0
           1.82112           89.0812           89.0812                 0
           1.84677           94.7868           94.7868                 0
           1.87242           101.526           101.526                 0
           1.89807           107.721           107.721                 0
           1.92372           113.756           113.756                 0
           1.94937           119.645           119.645                 0
           1.97502           125.465           125.465                 0
           2.00067           130.307           130.307                 0
           2.02632           135.237           135.237                 0
           2.05197            138.09            138.09                 0
           2.07762           141.487           141.487                 0
           2.10327           144.096           144.096                 0
           2.12892           145.871           145.871                 0
           2.15457           146.802           146.802                 0
           2.18022           148.187           148.187                 0
           2.20587           148.758           148.758                 0
           2.23152           149.192           149.192                 0
           2.25717           149.943           149.943                 0
           2.28282            150.59            150.59                 0
           2.30847           150.739           150.739                 0
           2.33412           151.497           151.497                 0
           2.35977           153.196           153.196                 0
           2.38542           153.129           153.129                 0
           2.41107           154.943           154.943                 0
           2.43672           157.421           157.421                 0
           2.46237           159.358           159.358                 0
           2.48802           160.962           160.962                 0
           2.51366           162.934           162.934                 0
           2.53931           165.934           165.934                 0
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438            0.0316            0.0346        0.00212132
          0.872088            0.5868            0.5866       0.000141421
          0.897737            3.8932            3.8066         0.0612354
          0.923387           12.5852            12.531         0.0383252
          0.949037           27.7264           27.4598          0.188515
          0.974686           44.6188           44.4912         0.0902268
           1.00034           58.8368           58.8142         0.0159806
           1.02599            68.264            68.412          0.104652
           1.05164           73.3408            73.352         0.0079196
           1.07728           73.8384           73.7708         0.0478004
           1.10293             72.34           72.4722         0.0934795
           1.12858           69.0276           69.1986          0.120915
           1.15423           65.6912           65.5874         0.0733977
           1.17988             61.87             62.14          0.190919
           1.20553             58.68           58.3848          0.208738
           1.23118            55.526           55.4914         0.0244659
           1.25683            53.208           53.0218          0.131663
           1.28248           51.2292           50.9746          0.180029
           1.30813           48.8836           49.2806          0.280721
           1.33378           47.6772           47.8932          0.152735
           1.35943            46.518           46.7046          0.131946
           1.38508           46.0268           46.1518         0.0883883
           1.41073           45.5564           45.7702          0.151179
           1.43638           45.4464            45.596          0.105783
           1.46203           45.8528           46.0482          0.138169
           1.48768           46.3088           46.5324          0.158109
           1.51333           47.2504           47.5782           0.23179
           1.53898           48.9864           49.1172         0.0924896
           1.56463           50.6656           50.7234         0.0408708
           1.59028           52.3716           52.5334           0.11441
           1.61593           54.7632           54.8274         0.0453963
           1.64158           57.9836           57.8036          0.127279
           1.66723            61.028           60.7856          0.171403
           1.69288           64.7208           64.6472         0.0520431
           1.71853            68.864           68.5306          0.235749
           1.74418           74.3072           73.7494          0.394424
           1.76983            78.624           78.3308          0.207324
           1.79547           84.0804           83.5806          0.353412
           1.82112           90.1544           89.6178          0.379433
           1.84677           95.8232            95.305          0.366423
           1.87242           101.588           101.557         0.0219203
           1.89807           108.092           107.906          0.130956
           1.92372           114.601           114.179          0.298823
           1.94937           119.683           119.664          0.013435
           1.97502           125.522           125.494         0.0203647
           2.00067           129.875           130.091          0.152876
           2.02632            134.44           134.838          0.281853
           2.05197           138.958           138.524          0.306743
           2.07762            141.44           141.463         0.0168291
           2.10327           143.619           143.858          0.168857
           2.12892           145.323           145.597          0.193747
           2.15457           146.196           146.499          0.214112
           2.18022           147.029           147.608          0.409415
           2.20587           147.558           148.158          0.424123
           2.23152           148.092           148.642           0.38905
           2.25717           148.531           149.237          0.499217
           2.28282           149.529           150.059          0.375191
           2.30847           150.008           150.374          0.258235
           2.33412           151.788           151.643          0.102813
           2.35977           151.808           152.502          0.490591
           2.38542           153.711            153.42          0.205768
           2.41107           155.063           155.003         0.0425678
           2.43672           156.955           157.188          0.164897
           2.46237           159.523           159.441         0.0582656
           2.48802           161.372           161.167          0.145098
           2.51366           164.462           163.698          0.540088
           2.53931            167.15           166.542          0.429921
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788            0.0004       0.000133333       0.000108866
          0.846438            0.0424            0.0372        0.00255082
          0.872088            0.5716            0.5816        0.00408357
          0.897737            3.7972           3.80347         0.0409037
          0.923387           12.8236           12.6285          0.083634
          0.949037           27.1656           27.3617          0.149017
          0.974686           44.3232           44.4352         0.0755568
           1.00034            58.926           58.8515         0.0322393
           1.02599           68.1508           68.3249         0.0996057
           1.05164           73.3492           73.3511        0.00533444
           1.07728           73.9476           73.8297         0.0577142
