#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1          -4.91152          -4.91152                 0
                 2          -4.89813          -4.90483        0.00473697
                 3          -4.90571          -4.90512        0.00316717
                 4            -4.917          -4.90809        0.00350098
                 5          -4.91637          -4.90975        0.00316836
                 6          -4.89893          -4.90794        0.00311149
                 7          -4.90433          -4.90743        0.00270951
                 8          -4.89635          -4.90604        0.00270159
                 9          -4.90979          -4.90646        0.00243333
                10          -4.92035          -4.90785        0.00255572
                11          -4.90634          -4.90771        0.00232703
                12          -4.90572          -4.90755        0.00213901
                13          -4.91695          -4.90827        0.00209313
                14          -4.91747          -4.90893        0.00204417
                15          -4.91807          -4.90954        0.00199676
                16          -4.91052           -4.9096        0.00187291
                17          -4.91687          -4.91002        0.00181093
                18          -4.91595          -4.91035        0.00174004
                19          -4.90634          -4.91014        0.00166121
                20          -4.90106          -4.90969        0.00163908
                21          -4.91739          -4.91006        0.00160155
                22          -4.89928          -4.90957        0.00160192
                23          -4.91727           -4.9099        0.00156687
                24           -4.9238          -4.91048        0.00160499
                25          -4.91484          -4.91065        0.00155026
                26          -4.91051          -4.91065        0.00149064
                27          -4.91386          -4.91077        0.00144017
                28          -4.90411          -4.91053         0.0014082
                29          -4.91181          -4.91057        0.00136034
                30          -4.90978          -4.91055        0.00131525
                31          -4.90931          -4.91051        0.00127343
                32          -4.91673           -4.9107         0.0012484
                33          -4.89906          -4.91035        0.00125942
                34          -4.91922          -4.91061         0.0012491
                35          -4.91294          -4.91068        0.00121518
                36          -4.90726          -4.91058        0.00118512
                37          -4.92096          -4.91086        0.00118583
                38          -4.92847          -4.91133        0.00124187
                39          -4.90556          -4.91118        0.00121879
                40          -4.90041          -4.91091        0.00121771
                41          -4.91736          -4.91107        0.00119813
                42          -4.93124          -4.91155        0.00126226
                43          -4.91074          -4.91153        0.00123304
                44          -4.92029          -4.91173          0.001221
                45           -4.9012          -4.91149        0.00121605
                46            -4.895          -4.91113        0.00124137
                47          -4.92135          -4.91135        0.00123384
                48          -4.90884           -4.9113        0.00120925
                49          -4.92433          -4.91157        0.00121344
                50          -4.90733          -4.91148        0.00119212
                51          -4.91081          -4.91147        0.00116882
                52          -4.90986          -4.91144        0.00114675
                53          -4.91074          -4.91142        0.00112519
                54          -4.90075          -4.91123        0.00112158
                55           -4.8833          -4.91072        0.00121065
                56          -4.91223          -4.91075        0.00118933
                57          -4.90571          -4.91066        0.00117174
                58          -4.91083          -4.91066        0.00115154
                59          -4.91858          -4.91079        0.00113982
                60          -4.89524          -4.91053        0.00114991
                61          -4.91778          -4.91065        0.00113717
                62           -4.9063          -4.91058          0.001121
                63          -4.90143          -4.91044        0.00111259
                64          -4.90981          -4.91043        0.00109525
                65          -4.91757          -4.91054        0.00108389
                66          -4.90267          -4.91042          0.001074
                67          -4.90222           -4.9103        0.00106491
                68          -4.91475          -4.91036        0.00105126
                69          -4.92086          -4.91051        0.00104699
                70          -4.91683           -4.9106        0.00103591
                71           -4.9255          -4.91081        0.00104236
                72          -4.90353          -4.91071        0.00103277
                73          -4.89874          -4.91055        0.00103156
                74          -4.92326          -4.91072        0.00103183
                75          -4.90233          -4.91061        0.00102411
                76          -4.90058          -4.91048        0.00101911
                77           -4.9039          -4.91039        0.00100944
                78          -4.90334           -4.9103        0.00100055
                79          -4.89672          -4.91013        0.00100254
                80          -4.90285          -4.91004       0.000994127
                81          -4.90966          -4.91003       0.000981865
                82          -4.90119          -4.90993       0.000975798
                83          -4.90849          -4.90991       0.000964195
                84          -4.90159          -4.90981       0.000957785
                85          -4.90581          -4.90976       0.000947669
                86          -4.90349          -4.90969       0.000939449
                87          -4.90558          -4.90964       0.000929835
                88          -4.91704          -4.90973       0.000923058
                89          -4.91792          -4.90982       0.000917264
                90          -4.92858          -4.91003       0.000930454
                91          -4.93834          -4.91034       0.000970843
                92          -4.92409          -4.91049       0.000971731
                93           -4.9038          -4.91042       0.000963943
                94          -4.92709          -4.91059       0.000969869
                95          -4.90251          -4.91051       0.000963382
                96          -4.89534          -4.91035       0.000966215
                97          -4.89426          -4.91018       0.000970391
                98          -4.90822          -4.91016       0.000960696
                99          -4.91515          -4.91021       0.000952309
               100          -4.91287          -4.91024       0.000943155
