#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1           2.96587           2.96587                 0
                 2           3.03278           2.99933         0.0236561
                 3            3.0008           2.99982         0.0157759
                 4           2.95125           2.98768         0.0158295
                 5           2.93671           2.97748         0.0156037
                 6           3.03815            2.9876         0.0159464
                 7           2.99096           2.98808         0.0136756
                 8           3.02967           2.99328         0.0129169
                 9           2.98333           2.99217         0.0115288
                10           2.92333           2.98529         0.0122601
                11           2.98431            2.9852         0.0111459
                12           3.00661           2.98698         0.0103589
                13           2.93723           2.98316         0.0102447
                14           2.94583           2.98049        0.00985381
                15           2.95557           2.97883        0.00933587
                16            2.9775           2.97874        0.00875275
                17            2.9392           2.97642        0.00854145
                18           2.95558           2.97526        0.00814503
                19           3.00586           2.97687        0.00787396
                20            3.0323           2.97964        0.00795309
                21           2.91872           2.97674        0.00808614
                22           3.02465           2.97892         0.0080064
                23           2.96492           2.97831        0.00768139
                24           2.91715           2.97576        0.00777259
                25           2.94843           2.97467        0.00753816
                26           2.98606           2.97511        0.00726094
                27           2.96469           2.97472        0.00700226
                28           3.01318           2.97609        0.00688554
                29           2.99155           2.97663        0.00666871
                30            3.0101           2.97774        0.00653909
                31           3.00605           2.97866        0.00639157
                32            2.9457           2.97763        0.00627423
                33           3.02707           2.97913        0.00626041
                34           2.93875           2.97794        0.00618789
                35           2.99861           2.97853        0.00603921
                36           2.98856           2.97881        0.00587787
                37           2.92708           2.97741        0.00588291
                38           2.90729           2.97556        0.00601051
                39           2.99361           2.97603        0.00587418
                40           3.04669           2.97779         0.0059871
                41           2.93194           2.97667        0.00594459
                42           2.86742           2.97407        0.00634673
                43           2.97439           2.97408        0.00619913
                44           2.92815           2.97304        0.00614549
                45           3.02445           2.97418        0.00611421
                46           3.06053           2.97606        0.00626284
                47           2.91583           2.97478        0.00625929
                48           2.99191           2.97513        0.00613906
                49           2.90092           2.97362         0.0061978
                50           2.99941           2.97413        0.00609528
                51           2.97837           2.97422        0.00597633
                52           2.99834           2.97468        0.00587938
                53           2.98336           2.97484        0.00577073
                54           3.03984           2.97605        0.00578801
                55           3.13067           2.97886        0.00632882
                56            2.9665           2.97864        0.00621965
                57           3.00242           2.97906        0.00612451
                58           2.97249           2.97894        0.00601996
                59           2.95207           2.97849        0.00593514
                60           3.05636           2.97979        0.00597646
                61           2.94633           2.97924         0.0059036
                62           3.01004           2.97973        0.00582925
                63           3.04081            2.9807        0.00581677
                64           2.97758           2.98065        0.00572609
                65           2.94475            2.9801        0.00566458
                66           3.03525           2.98094        0.00564005
                67           3.01117           2.98139        0.00557389
                68           2.96708           2.98118        0.00549589
                69           2.94137            2.9806        0.00544644
                70           2.95704           2.98026        0.00537902
                71           2.92796           2.97953        0.00535346
                72           3.01845           2.98007        0.00530633
                73           3.02685           2.98071        0.00527219
                74           2.90074           2.97963        0.00531054
                75            3.0278           2.98027        0.00527843
                76            3.0266           2.98088        0.00524406
                77           3.00964           2.98125        0.00518924
                78           3.02136           2.98177        0.00514812
                79           3.04924           2.98262        0.00515331
                80           3.02761           2.98318        0.00511948
                81           2.99607           2.98334        0.00505875
                82            3.0151           2.98373        0.00501186
                83            2.9925           2.98384        0.00495259
                84           3.06352           2.98479        0.00498366
                85            3.0047           2.98502        0.00493053
                86           3.01863           2.98541        0.00488866
                87           3.01855           2.98579        0.00484728
                88           2.95576           2.98545         0.0048042
                89           2.94712           2.98502        0.00476948
                90           2.89091           2.98397        0.00482975
                91           2.87155           2.98274        0.00493214
                92            2.9244            2.9821        0.00491913
                93           3.03568           2.98268        0.00489985
                94           2.89586           2.98176        0.00493401
                95            3.0138           2.98209        0.00489358
                96           3.05982            2.9829        0.00490912
                97           3.07539           2.98386        0.00495023
                98            2.9776           2.98379        0.00490013
                99           2.94312           2.98338        0.00486783
               100           2.98028           2.98335        0.00481925
