#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1           1.49993           1.49993                 0
                 2           1.45979           1.47986         0.0141906
                 3           1.49575           1.48516         0.0104024
                 4           1.46188           1.47934        0.00928856
                 5           1.45595           1.47466        0.00852734
                 6           1.49049            1.4773        0.00750333
                 7           1.46328            1.4753         0.0066935
                 8           1.47294             1.475        0.00586326
                 9           1.48667            1.4763        0.00535323
                10           1.45075           1.47374        0.00539342
                11           1.48846           1.47508        0.00506631
                12           1.47738           1.47527        0.00464774
                13           1.44596           1.47302        0.00480632
                14           1.48376           1.47379         0.0045238
                15           1.46047            1.4729        0.00430846
                16           1.45735           1.47193         0.0041473
                17           1.50389           1.47381        0.00430858
                18           1.49095           1.47476         0.0041731
                19           1.49503           1.47583        0.00408752
                20           1.49334            1.4767        0.00397581
                21            1.4691           1.47634         0.0038029
                22           1.46258           1.47571        0.00368114
                23           1.48436           1.47609        0.00354024
                24           1.49954           1.47707        0.00352496
                25           1.49002           1.47758        0.00342184
                26           1.48195           1.47775        0.00329434
                27           1.45646           1.47696        0.00326535
                28             1.495           1.47761        0.00321162
                29            1.4831            1.4778        0.00310645
                30           1.48328           1.47798        0.00300827
                31           1.47481           1.47788        0.00291297
                32           1.48764           1.47818        0.00283786
                33           1.49614           1.47873        0.00280354
                34            1.4546           1.47802        0.00280945
                35           1.44072           1.47695        0.00292434
                36           1.49299            1.4774        0.00287684
                37           1.46675           1.47711        0.00281344
                38           1.45506           1.47653         0.0027986
                39           1.48595           1.47677        0.00273724
                40           1.45123           1.47613        0.00274225
                41            1.4517           1.47554        0.00273933
                42           1.43469           1.47456        0.00284148
                43           1.46476           1.47434        0.00278453
                44           1.49526           1.47481        0.00276158
                45           1.46048           1.47449        0.00271851
                46           1.44981           1.47396        0.00271183
                47           1.49758           1.47446        0.00270031
                48           1.47293           1.47443        0.00264424
                49           1.47331            1.4744        0.00259037
                50            1.4935           1.47479        0.00256658
                51           1.47586           1.47481        0.00251634
                52           1.46385            1.4746        0.00247676
                53           1.45329           1.47419        0.00246242
                54            1.4584            1.4739        0.00243412
                55           1.47415           1.47391        0.00238987
                56           1.49945           1.47436        0.00239033
                57           1.47197           1.47432        0.00234876
                58           1.48127           1.47444        0.00231132
                59           1.49872           1.47485         0.0023085
                60           1.43417           1.47417        0.00236749
                61           1.44969           1.47377        0.00236247
                62            1.4852           1.47396        0.00233154
                63           1.49286           1.47426        0.00231375
                64           1.46711           1.47415        0.00228029
                65           1.48011           1.47424        0.00224706
                66           1.43711           1.47367        0.00228233
                67           1.46941           1.47361        0.00224915
                68            1.4731            1.4736        0.00221609
                69           1.49385            1.4739        0.00220331
                70           1.44403           1.47347        0.00221276
                71           1.47061           1.47343        0.00218196
                72           1.47127            1.4734        0.00215186
                73            1.4903           1.47363         0.0021348
                74           1.47187           1.47361        0.00210608
                75           1.47698           1.47365        0.00207848
                76           1.50078           1.47401        0.00208154
                77           1.49499           1.47428        0.00207227
                78           1.45548           1.47404        0.00205967
                79           1.50187           1.47439         0.0020635
                80           1.48395           1.47451        0.00204117
                81           1.44719           1.47418        0.00204365
                82           1.44946           1.47387        0.00204083
                83           1.48362           1.47399        0.00201962
                84           1.46749           1.47391        0.00199706
                85           1.48157             1.474         0.0019756
                86            1.4729           1.47399        0.00195266
                87           1.44415           1.47365        0.00196012
                88           1.48265           1.47375        0.00194052
                89           1.48718            1.4739        0.00192457
                90           1.47123           1.47387        0.00190341
                91           1.48643           1.47401        0.00188749
                92           1.43521           1.47359        0.00191352
                93           1.47746           1.47363         0.0018934
                94           1.48684           1.47377        0.00187847
                95           1.45945           1.47362        0.00186473
                96           1.48006           1.47369        0.00184651
                97            1.4817           1.47377        0.00182932
                98           1.49244           1.47396        0.00182055
                99           1.49102           1.47413         0.0018103
               100             1.457           1.47396        0.00180029
